player,pos,template_pool_key,target_capped_year_exp,template_count,weighted_played_games,template_extended_absence_prob,raw_template_perf_cliff_prob,weighted_template_raw_exp,min_template_raw_exp,max_template_raw_exp
Josh Allen,QB,2026|beta|final_ensemble|QB|josh_allen,8.0,80,13.883794523846602,0.06751067667216915,0.1377983400226646,0.0,,
Jalen Hurts,QB,2026|beta|final_ensemble|QB|jalen_hurts,6.0,80,13.419512773811528,0.08260967532263372,0.16807425522460953,0.0,,
Lamar Jackson,QB,2026|beta|final_ensemble|QB|lamar_jackson,8.0,80,13.907412399184215,0.06946334163336482,0.13915489437838652,0.0,,
Drake Maye,QB,2026|beta|final_ensemble|QB|drake_maye,2.0,80,13.544642702047623,0.07781363127226701,0.17053857730539904,0.0,,
Jayden Daniels,QB,2026|beta|final_ensemble|QB|jayden_daniels,2.0,80,13.569694253267814,0.07035799975565293,0.12943337632741134,0.0,,
Joe Burrow,QB,2026|beta|final_ensemble|QB|joe_burrow,6.0,80,13.808326255508666,0.06681755330659583,0.22104344911072138,0.0,,
Dak Prescott,QB,2026|beta|final_ensemble|QB|dak_prescott,10.0,80,13.69295198368676,0.07265832494472109,0.1085061181705192,0.0,,
Patrick Mahomes,QB,2026|beta|final_ensemble|QB|patrick_mahomes,9.0,80,13.599220555241144,0.08694588133832551,0.10956228197224466,0.0,,
Brock Purdy,QB,2026|beta|final_ensemble|QB|brock_purdy,4.0,80,13.048849339982583,0.07533509218667662,0.20213570785092483,0.0,,
Jared Goff,QB,2026|beta|final_ensemble|QB|jared_goff,10.0,80,13.52924149925903,0.08170321325167532,0.10816547690945852,0.0,,
Bo Nix,QB,2026|beta|final_ensemble|QB|bo_nix,2.0,80,13.127909679419748,0.07786062941623421,0.21074941974991881,0.0,,
Trevor Lawrence,QB,2026|beta|final_ensemble|QB|trevor_lawrence,5.0,80,12.563129709140195,0.12422159525254661,0.18858976506265074,0.0,,
Caleb Williams,QB,2026|beta|final_ensemble|QB|caleb_williams,2.0,80,13.312048586360378,0.05420598981196312,0.2360863769654867,0.0,,
Jaxson Dart,QB,2026|beta|final_ensemble|QB|jaxson_dart,1.0,80,13.125189240429895,0.06433128040179367,0.19263050833343384,0.0,,
Justin Herbert,QB,2026|beta|final_ensemble|QB|justin_herbert,6.0,80,12.91937032308209,0.11372965795075624,0.154131708933058,0.0,,
Matthew Stafford,QB,2026|beta|final_ensemble|QB|matthew_stafford,13.0,80,12.840432069310912,0.15007711063733103,0.08960220943039232,0.0,,
Kyler Murray,QB,2026|beta|final_ensemble|QB|kyler_murray,7.0,80,12.004258196180814,0.18594899305912216,0.10391207877384791,0.0,,
Jordan Love,QB,2026|beta|final_ensemble|QB|jordan_love,6.0,80,12.279326958599002,0.1461574850676516,0.15115875555419883,0.0,,
Malik Willis,QB,2026|beta|final_ensemble|QB|malik_willis,2.0,80,12.006549244625585,0.12064093935792793,0.18005599027069316,0.0,,
Baker Mayfield,QB,2026|beta|final_ensemble|QB|baker_mayfield,8.0,80,11.969206631582042,0.19423387289492985,0.05527516565309,0.0,,
Justin Fields,QB,2026|beta|final_ensemble|QB|justin_fields,5.0,80,4.735186355580676,0.8143751537275581,0.0,0.0,,
Sam Darnold,QB,2026|beta|final_ensemble|QB|sam_darnold,8.0,80,11.85641716725564,0.18913979627812205,0.03432137731018995,0.0,,
Daniel Jones,QB,2026|beta|final_ensemble|QB|daniel_jones,7.0,80,11.686517659049288,0.1814466545384703,0.05812834689300495,0.0,,
Tyler Shough,QB,2026|beta|final_ensemble|QB|tyler_shough,1.0,80,12.314486634661867,0.07569277853477098,0.1601147136604601,0.0,,
Jahmyr Gibbs,RB,2026|beta|final_ensemble|RB|jahmyr_gibbs,3.0,80,12.909648255064102,0.08843215545177803,0.15554574204272917,2.9397251638367994,1.0,5.0
Bijan Robinson,RB,2026|beta|final_ensemble|RB|bijan_robinson,3.0,80,13.085509988349486,0.07875878161850064,0.15734674445128718,2.9224836987727736,1.0,5.0
Christian Mccaffrey,RB,2026|beta|final_ensemble|RB|christian_mccaffrey,8.0,80,13.091028980864913,0.07438310249423447,0.09176285006775989,6.295734638435654,3.0,10.0
Jonathan Taylor,RB,2026|beta|final_ensemble|RB|jonathan_taylor,6.0,80,13.249002635435785,0.07171302001307743,0.0586193706693548,5.474745206714294,2.0,10.0
Ashton Jeanty,RB,2026|beta|final_ensemble|RB|ashton_jeanty,1.0,80,12.60514366407455,0.14568163936040293,0.1279381937087027,1.430414094241959,0.0,7.0
James Cook,RB,2026|beta|final_ensemble|RB|james_cook,4.0,80,12.693669443618276,0.13190027962403794,0.10052257654632196,3.8916168045944453,1.0,6.0
Devon Achane,RB,2026|beta|final_ensemble|RB|devon_achane,3.0,80,12.962192826065115,0.10257649466371116,0.15162661289520396,2.7949692348187853,1.0,5.0
