pos,raw_year_exp,outcome,events,n,rate,ci95_low,ci95_high,avg_pred_ppg,avg_raw_year_exp
RB,0.0,current_ppg_cliff_30,39,166,0.23493975903614459,0.17689210933867777,0.30497805674548534,7.996229307994992,0.0
RB,0.0,current_ppg_cliff_50,17,166,0.10240963855421686,0.06492650342433197,0.15787874570191268,7.996229307994992,0.0
RB,0.0,extended_absence_8,51,217,0.2350230414746544,0.18351916537111318,0.29574561083047207,7.487932550401998,0.0
RB,0.0,current_any_bust,90,217,0.4147465437788018,0.35123273440477637,0.4812263675035597,7.487932550401998,0.0
RB,0.0,next_no_appearance,17,197,0.08629441624365482,0.05457453067073151,0.13384061838205438,7.448011853176941,0.0
RB,0.0,next_ppg_cliff_30,24,197,0.1218274111675127,0.0832494527329842,0.17487237063428632,7.448011853176941,0.0
RB,0.0,next_no_useful,64,197,0.3248730964467005,0.2633655433283084,0.39308013326458857,7.448011853176941,0.0
RB,1.0,current_ppg_cliff_30,34,181,0.1878453038674033,0.13765164482981987,0.25101411006518215,9.213330884542053,1.0
RB,1.0,current_ppg_cliff_50,20,181,0.11049723756906077,0.07267654040581858,0.1645081626047591,9.213330884542053,1.0
RB,1.0,extended_absence_8,63,244,0.2581967213114754,0.20732949550190438,0.31655995647064594,8.772239167781198,1.0
RB,1.0,current_any_bust,97,244,0.3975409836065574,0.33817947927894665,0.46007876308230355,8.772239167781198,1.0
RB,1.0,next_no_appearance,33,233,0.14163090128755365,0.10265870904039426,0.19222867560824852,8.845570844374375,1.0
RB,1.0,next_ppg_cliff_30,44,233,0.1888412017167382,0.14378759363343102,0.24398887806748637,8.845570844374375,1.0
RB,1.0,next_no_useful,95,233,0.40772532188841204,0.3466188107759246,0.4718252463491751,8.845570844374375,1.0
RB,2.0,current_ppg_cliff_30,41,188,0.21808510638297873,0.1650227666660072,0.2824380551786813,9.978999046364196,2.0
RB,2.0,current_ppg_cliff_50,10,188,0.05319148936170213,0.0291456057761509,0.09513192318524226,9.978999046364196,2.0
RB,2.0,extended_absence_8,39,227,0.17180616740088106,0.12830094808041426,0.22623480284142994,9.41686788760298,2.0
RB,2.0,current_any_bust,80,227,0.3524229074889868,0.29320210238597305,0.4165555842701583,9.41686788760298,2.0
RB,2.0,next_no_appearance,21,213,0.09859154929577464,0.06539131111585818,0.14601461837368623,9.460016853040004,2.0
