projection_scope,pos,threshold,outcome,n,events,above_threshold_n,above_threshold_events,status,threshold_step_odds_ratio,threshold_step_or_ci95_low,threshold_step_or_ci95_high,threshold_step_p_value,threshold_step_risk_pp,further_year_odds_ratio,further_year_or_ci95_low,further_year_or_ci95_high,further_year_p_value,further_year_risk_pp
all,RB,7,current_ppg_cliff_30,1131,232,92,21,ok,1.5523489160278463,0.7769724109014089,3.1015092985053383,0.21299439000379172,7.150312134792605,0.8926629099471628,0.6480946240399272,1.2295227289931123,0.4869948445941876,-1.8722285858614784
all,RB,7,current_ppg_cliff_50,1131,92,92,7,ok,1.8739704915240034,0.6321766016332606,5.555038566802201,0.25728124780535655,4.722994140149176,0.6511027822686457,0.3118393077665841,1.3594656687581295,0.25328747377854777,-2.4539408166875485
all,RB,7,extended_absence_8,1415,284,109,17,ok,0.6626222441162988,0.27341355986883104,1.6058758702690568,0.3621743030633878,-4.671389142069501,1.2490159449043376,0.8341821554069828,1.870144093245628,0.280290573162268,2.858227272539918
all,RB,7,current_any_bust,1415,516,109,38,ok,1.0990337499426317,0.5890956676138295,2.050388841604523,0.7666172380630257,1.9722596115896516,1.045669539213678,0.745132447672903,1.4674233938599532,0.7961677600494629,0.9662272839157101
all,RB,7,next_no_appearance,1330,212,101,31,ok,1.063650270790724,0.4901207850266435,2.308312426480095,0.8759570757547993,1.1177692366159477,1.094546969515093,0.8696632036232285,1.3775827969763197,0.44136354425407964,1.7460991814632516
all,RB,7,next_ppg_cliff_30,1330,240,101,17,ok,0.8698267629527088,0.39613654907365164,1.9099439304907897,0.7281937288434086,-2.0536092347520984,0.9468866704458406,0.661425567848954,1.3555483946347235,0.7655932437468986,-0.7244419436983918
all,RB,7,next_no_useful,1330,595,101,59,ok,0.9354220603186179,0.500556814827035,1.7480821457462026,0.8342462798744799,-1.5983360953249537,1.092224877946676,0.7730960720558161,1.5430878866494908,0.6168294984434373,2.055154929253104
all,WR,9,current_ppg_cliff_30,1667,300,91,23,ok,2.1145212977917835,0.9773308255503782,4.574909745936968,0.05720181284200444,10.118836885578235,1.1344214029167656,0.7903659898693403,1.628248097578679,0.49394833748544875,2.3717485539969454
all,WR,9,current_ppg_cliff_50,1667,96,91,9,ok,3.4970137045345298,1.0140495274696972,12.059672154492235,0.04746926426536603,5.559063086401493,1.1703691645663747,0.7394022654568858,1.8525287862370825,0.5019420983359021,1.453306375835381
all,WR,9,extended_absence_8,2015,348,109,18,ok,1.398012730159653,0.6950320448247054,2.812013644898024,0.3473766395494685,4.206644328393343,0.8957491259890931,0.6562542573219763,1.22264577754436,0.4879357896241904,-1.355512081582619
all,WR,9,current_any_bust,2015,648,109,41,ok,1.771508578166849,0.9303640481621864,3.373134042225645,0.08180152865093498,11.55484892647946,1.0495018696406153,0.741301770984865,1.4858377755064545,0.7853250406347289,1.094356004598709
all,WR,9,next_no_appearance,1888,262,101,34,ok,1.0679866603883088,0.5374821343371196,2.122108687713085,0.8510683313105301,1.0986244224818829,1.384342968286508,1.0580860557322038,1.8111999902674574,0.017703832322567163,6.292049853558917
