comparison,challenger,reference,challenger_rmse,reference_rmse,pooled_delta,mean_season_delta,recent_mean_delta,season_wins,season_count,sign_flip_pvalue,bootstrap_95_low,bootstrap_95_high
incumbent_equal_thirds_vs_tree,incumbent_equal_thirds,incumbent_tree_average,3.100055612217786,3.114326838449257,-0.014271226231470813,-0.014424660029786226,-0.011014420525331895,9,9,0.00390625,-0.022482428324941642,-0.007408012786498353
gap_raw_equal_thirds_vs_tree,gap_raw_equal_thirds,gap_raw_tree_average,3.097167464728635,3.109924395987051,-0.012756931258416149,-0.012938058806819185,-0.010528825232545724,8,9,0.01171875,-0.021684037810934684,-0.0055757226615837496
gap_shrunk_equal_thirds_vs_tree,gap_shrunk_equal_thirds,gap_shrunk_tree_average,3.0974307448980962,3.1090539111085795,-0.011623166210483316,-0.011830385253778343,-0.008980102336347459,7,9,0.02734375,-0.020699526599784347,-0.0037553945101376877
gap_raw_vs_incumbent_lightgbm,gap_raw_lightgbm,incumbent_lightgbm,3.113373687386706,3.1229738660388224,-0.009600178652116487,-0.009352224968969432,0.0036048832997372196,4,9,0.171875,-0.021179823536734817,0.0009906861118171325
gap_shrunk_vs_incumbent_lightgbm,gap_shrunk_lightgbm,incumbent_lightgbm,3.114145302207999,3.1229738660388224,-0.008828563830823644,-0.008356064102530671,0.002830815317211558,5,9,0.4375,-0.02778758349395181,0.009560059352611974
gap_shrunk_vs_incumbent_tree_average,gap_shrunk_tree_average,incumbent_tree_average,3.1090539111085795,3.114326838449257,-0.0052729273406773025,-0.005007041608424097,0.0005199132026440326,5,9,0.4609375,-0.016100455149214196,0.004473777893848616
gap_raw_vs_incumbent_tree_average,gap_raw_tree_average,incumbent_tree_average,3.109924395987051,3.114326838449257,-0.00440244246220578,-0.004144956084408531,0.0053073414269724966,5,9,0.4140625,-0.01290580997071691,0.0032039208573958343
gap_raw_vs_incumbent_equal_thirds,gap_raw_equal_thirds,incumbent_equal_thirds,3.097167464728635,3.100055612217786,-0.002888147489151116,-0.002658354861441491,0.005792936719758668,5,9,0.44921875,-0.00913674165241243,0.0034835016519373595
gap_shrunk_vs_incumbent_equal_thirds,gap_shrunk_equal_thirds,incumbent_equal_thirds,3.0974307448980962,3.100055612217786,-0.0026248673196898054,-0.0024127668324162143,0.00255423139162847,6,9,0.5390625,-0.009241628680330813,0.004103784818734734
gap_shrunk_vs_incumbent_causal_lasso_tree,gap_shrunk_causal_lasso_tree,incumbent_causal_lasso_tree,3.100186682480802,3.102790671322867,-0.0026039888420648083,-0.002326463096148491,0.002549580613963117,4,9,0.6171875,-0.010409587825324133,0.00497335093657357
gap_raw_vs_incumbent_causal_lasso_tree,gap_raw_causal_lasso_tree,incumbent_causal_lasso_tree,3.100237805536195,3.102790671322867,-0.0025528657866717985,-0.002276117816220946,0.005861172146627069,5,9,0.55859375,-0.00935549577661559,0.004030489685188739
gap_shrunk_vs_incumbent_random_forest,gap_shrunk_random_forest,incumbent_random_forest,3.1232558313073553,3.124253466483619,-0.0009976351762635005,-0.000967523247094457,-0.0008094628153645367,3,9,0.80859375,-0.011230313994826597,0.008619241080725173
gap_raw_vs_incumbent_random_forest,gap_raw_random_forest,incumbent_random_forest,3.1255478662684615,3.124253466483619,0.0012943997848426925,0.001587347739574252,0.007551301355838221,3,9,0.71875,-0.0067790179023833825,0.008943925546185134
gap_raw_vs_incumbent_lasso,gap_raw_lasso,incumbent_lasso,3.160229935868392,3.1584532391209064,0.0017766967474854845,0.001871540570636654,0.008809932135291612,3,9,0.6875,-0.0058837276773547305,0.010222811506433201
gap_shrunk_vs_incumbent_lasso,gap_shrunk_lasso,incumbent_lasso,3.1611201092857413,3.1584532391209064,0.0026668701648349113,0.002686234345556679,0.007751771980061791,5,9,0.609375,-0.004373231064790943,0.011407089815411832
