variant,slice_type,slice_value,n_rows,base_rmse,variant_rmse,delta_variant_minus_base
family_all_legacy,position,QB,380,3.5542832746901687,3.5551581368343528,0.0008748621441840854
family_all_legacy,position,RB,1016,3.5341047348252035,3.542346424742835,0.008241689917631412
family_all_legacy,position,TE,802,2.316663889789086,2.3111384443104486,-0.005525445478637536
family_all_legacy,position,WR,1503,3.1397589461348736,3.144944228707458,0.005185282572584438
family_all_legacy,season,2017,407,3.0876701968213047,3.1398785457491147,0.05220834892781001
family_all_legacy,season,2018,405,3.3567385278368245,3.4043941580839183,0.04765563024709385
family_all_legacy,season,2019,387,3.231893696301381,3.199044999515172,-0.03284869678620872
family_all_legacy,season,2020,420,3.21654205391773,3.212773455728899,-0.0037685981888309072
family_all_legacy,season,2021,417,3.119162868251882,3.0931771177914547,-0.025985750460427504
family_all_legacy,season,2022,426,2.912494131926024,2.8832546709977214,-0.029239460928302652
family_all_legacy,season,2023,415,3.2511888372285926,3.2442166775764183,-0.006972159652174348
family_all_legacy,season,2024,408,3.1651174604479353,3.184411524175304,0.019294063727368638
family_all_legacy,season,2025,416,2.956132799760705,2.967300363117292,0.011167563356587085
family_all_legacy,history_depth,other_no_history,27,2.683229893444979,2.6765950143355326,-0.006634879109446601
family_all_legacy,history_depth,rookie,532,3.470501815737368,3.4884754607704487,0.017973645033080743
family_all_legacy,history_depth,second_year,568,3.258843318101201,3.2663412404380128,0.00749792233681168
family_all_legacy,history_depth,veteran_with_history,2574,3.052062651537221,3.051853861565133,-0.0002087899720879527
family_all_legacy,provider_depth,one,119,2.8932176885280905,2.903453396477054,0.010235707948963668
family_all_legacy,provider_depth,three_plus,3047,3.2706088405011813,3.2740608746122084,0.0034520341110271247
family_all_legacy,provider_depth,two,535,2.3765663836214497,2.382140374795445,0.005573991173995374
family_all_legacy,provider_era,2017_2019,1199,3.227010522814891,3.2503250768206744,0.023314554005783528
family_all_legacy,provider_era,2020_2022,1263,3.0844595250220497,3.065187541735697,-0.0192719832863526
family_all_legacy,provider_era,2023_plus,1239,3.126249113214146,3.133818232033497,0.007569118819350962
family_experience_context,position,QB,380,3.5542832746901687,3.5716501173306368,0.01736684264046806
family_experience_context,position,RB,1016,3.5341047348252035,3.5428627682582214,0.008758033433017953
family_experience_context,position,TE,802,2.316663889789086,2.316369859052686,-0.0002940307363998862
family_experience_context,position,WR,1503,3.1397589461348736,3.1319957488161863,-0.007763197318687354
family_experience_context,season,2017,407,3.0876701968213047,3.1042231111441847,0.016552914322879975
family_experience_context,season,2018,405,3.3567385278368245,3.3840974135058772,0.027358885669052757
family_experience_context,season,2019,387,3.231893696301381,3.2207451545154893,-0.011148541785891641
family_experience_context,season,2020,420,3.21654205391773,3.2284674569912153,0.011925403073485441
family_experience_context,season,2021,417,3.119162868251882,3.1168393226983726,-0.002323545553509554
family_experience_context,season,2022,426,2.912494131926024,2.8805694877486374,-0.03192464417738661
family_experience_context,season,2023,415,3.2511888372285926,3.2343250615192685,-0.01686377570932418
family_experience_context,season,2024,408,3.1651174604479353,3.187024330644934,0.021906870196998884
family_experience_context,season,2025,416,2.956132799760705,2.9513802598864363,-0.004752539874268713
family_experience_context,history_depth,other_no_history,27,2.683229893444979,2.6194692796364927,-0.06376061380848652
family_experience_context,history_depth,rookie,532,3.470501815737368,3.4874476184218692,0.0169458026845013
family_experience_context,history_depth,second_year,568,3.258843318101201,3.2482725307639324,-0.010570787337268683
family_experience_context,history_depth,veteran_with_history,2574,3.052062651537221,3.053411561193586,0.0013489096563650271
family_experience_context,provider_depth,one,119,2.8932176885280905,2.8922200161117377,-0.000997672416352735
family_experience_context,provider_depth,three_plus,3047,3.2706088405011813,3.2739582027803893,0.0033493622792080124
family_experience_context,provider_depth,two,535,2.3765663836214497,2.364590613518621,-0.011975770102828687
family_experience_context,provider_era,2017_2019,1199,3.227010522814891,3.2384353433387894,0.011424820523898482
family_experience_context,provider_era,2020_2022,1263,3.0844595250220497,3.0777079426634897,-0.006751582358559993
family_experience_context,provider_era,2023_plus,1239,3.126249113214146,3.1262113325173098,-3.7780696836353655e-05
family_market_room,position,QB,380,3.5542832746901687,3.575004086530592,0.02072081184042318
family_market_room,position,RB,1016,3.5341047348252035,3.5226330949573734,-0.011471639867830064
family_market_room,position,TE,802,2.316663889789086,2.309859612382577,-0.006804277406509129
family_market_room,position,WR,1503,3.1397589461348736,3.1366225682507047,-0.0031363778841688728
family_market_room,season,2017,407,3.0876701968213047,3.085867491035946,-0.0018027057853586825
family_market_room,season,2018,405,3.3567385278368245,3.380521043907112,0.023782516070287585
family_market_room,season,2019,387,3.231893696301381,3.2265130691063577,-0.005380627195023191
family_market_room,season,2020,420,3.21654205391773,3.2141162025533525,-0.0024258513643773405
family_market_room,season,2021,417,3.119162868251882,3.104053916781063,-0.015108951470819143
family_market_room,season,2022,426,2.912494131926024,2.893662183132006,-0.01883194879401806
family_market_room,season,2023,415,3.2511888372285926,3.2404920957586025,-0.010696741469990112
family_market_room,season,2024,408,3.1651174604479353,3.168250017863976,0.003132557416040793
family_market_room,season,2025,416,2.956132799760705,2.9501101364799087,-0.006022663280796259
family_market_room,history_depth,other_no_history,27,2.683229893444979,2.681247747269313,-0.0019821461756661662
family_market_room,history_depth,rookie,532,3.470501815737368,3.4715509261684017,0.0010491104310337285
family_market_room,history_depth,second_year,568,3.258843318101201,3.2595383690046864,0.000695050903485317
