method,slice_type,slice_value,metric,n_rows,value
projection_prediction,pooled,all,rmse,3696,3.1326400202596614
projection_prediction,pooled,all,mae,3696,2.4469552295644723
projection_prediction,pooled,all,bias,3696,0.16343682575737115
projection_prediction,pooled,all,spearman,3696,0.8009815801253903
full_prediction,pooled,all,rmse,3696,3.1229683424927983
full_prediction,pooled,all,mae,3696,2.4468077403671087
full_prediction,pooled,all,bias,3696,0.21014023706203014
full_prediction,pooled,all,spearman,3696,0.8039490431700631
no_prior_hybrid,pooled,all,rmse,3696,3.1158682682375862
no_prior_hybrid,pooled,all,mae,3696,2.4340789528339557
no_prior_hybrid,pooled,all,bias,3696,0.14373602136180272
no_prior_hybrid,pooled,all,spearman,3696,0.8041480040582916
limited_history_hybrid,pooled,all,rmse,3696,3.1111064726271738
limited_history_hybrid,pooled,all,mae,3696,2.4278959035687735
limited_history_hybrid,pooled,all,bias,3696,0.12518508303571493
limited_history_hybrid,pooled,all,spearman,3696,0.8041773817461599
causal_router_min_25,pooled,all,rmse,3696,3.1133111116812002
causal_router_min_25,pooled,all,mae,3696,2.4332152907980724
causal_router_min_25,pooled,all,bias,3696,0.18365402925566288
causal_router_min_25,pooled,all,spearman,3696,0.8041828822371206
causal_router_min_50,pooled,all,rmse,3696,3.115770351390395
causal_router_min_50,pooled,all,mae,3696,2.4342923324280337
causal_router_min_50,pooled,all,bias,3696,0.18339876476632608
causal_router_min_50,pooled,all,spearman,3696,0.8041333408016738
causal_router_min_100,pooled,all,rmse,3696,3.1174242521993287
causal_router_min_100,pooled,all,mae,3696,2.4358177219138994
causal_router_min_100,pooled,all,bias,3696,0.1904553402005641
causal_router_min_100,pooled,all,spearman,3696,0.8044832806504436
projection_prediction,season,2017,rmse,407,3.1425673554325293
projection_prediction,season,2017,mae,407,2.45551120961756
projection_prediction,season,2017,bias,407,0.4247547637581609
projection_prediction,season,2017,spearman,407,0.7823115638918787
full_prediction,season,2017,rmse,407,3.1321055322393154
full_prediction,season,2017,mae,407,2.4569435373733097
full_prediction,season,2017,bias,407,0.4648641196494399
full_prediction,season,2017,spearman,407,0.7849762124550681
no_prior_hybrid,season,2017,rmse,407,3.145025590946245
no_prior_hybrid,season,2017,mae,407,2.459179366537808
no_prior_hybrid,season,2017,bias,407,0.40153207453281703
no_prior_hybrid,season,2017,spearman,407,0.7798990169082651
limited_history_hybrid,season,2017,rmse,407,3.1388803088669417
limited_history_hybrid,season,2017,mae,407,2.454768369481434
limited_history_hybrid,season,2017,bias,407,0.3972615429340763
limited_history_hybrid,season,2017,spearman,407,0.7818108137420134
causal_router_min_25,season,2017,rmse,407,3.1321055322393154
causal_router_min_25,season,2017,mae,407,2.4569435373733097
causal_router_min_25,season,2017,bias,407,0.4648641196494399
causal_router_min_25,season,2017,spearman,407,0.7849762124550681
causal_router_min_50,season,2017,rmse,407,3.1321055322393154
causal_router_min_50,season,2017,mae,407,2.4569435373733097
causal_router_min_50,season,2017,bias,407,0.4648641196494399
causal_router_min_50,season,2017,spearman,407,0.7849762124550681
causal_router_min_100,season,2017,rmse,407,3.1321055322393154
causal_router_min_100,season,2017,mae,407,2.4569435373733097
causal_router_min_100,season,2017,bias,407,0.4648641196494399
causal_router_min_100,season,2017,spearman,407,0.7849762124550681
projection_prediction,season,2018,rmse,405,3.3968045133382936
projection_prediction,season,2018,mae,405,2.6431974658797492
projection_prediction,season,2018,bias,405,-0.4261222454703651
projection_prediction,season,2018,spearman,405,0.7915396764107432
full_prediction,season,2018,rmse,405,3.357804913382806
full_prediction,season,2018,mae,405,2.595774126108937
full_prediction,season,2018,bias,405,-0.35215444357880016
full_prediction,season,2018,spearman,405,0.7860371770514346
no_prior_hybrid,season,2018,rmse,405,3.352924536662649
no_prior_hybrid,season,2018,mae,405,2.5856097321729514
no_prior_hybrid,season,2018,bias,405,-0.43253651219226735
no_prior_hybrid,season,2018,spearman,405,0.7913105642769726
limited_history_hybrid,season,2018,rmse,405,3.363811178569715
limited_history_hybrid,season,2018,mae,405,2.594307554896431
limited_history_hybrid,season,2018,bias,405,-0.45430957681134215
limited_history_hybrid,season,2018,spearman,405,0.7907244956293804
causal_router_min_25,season,2018,rmse,405,3.357804913382806
causal_router_min_25,season,2018,mae,405,2.595774126108937
causal_router_min_25,season,2018,bias,405,-0.35215444357880016
causal_router_min_25,season,2018,spearman,405,0.7860371770514346
causal_router_min_50,season,2018,rmse,405,3.357804913382806
causal_router_min_50,season,2018,mae,405,2.595774126108937
causal_router_min_50,season,2018,bias,405,-0.35215444357880016
causal_router_min_50,season,2018,spearman,405,0.7860371770514346
causal_router_min_100,season,2018,rmse,405,3.357804913382806
causal_router_min_100,season,2018,mae,405,2.595774126108937
causal_router_min_100,season,2018,bias,405,-0.35215444357880016
causal_router_min_100,season,2018,spearman,405,0.7860371770514346
projection_prediction,season,2019,rmse,387,3.0877987431191967
projection_prediction,season,2019,mae,387,2.415537035479935
projection_prediction,season,2019,bias,387,-0.03180969334433359
projection_prediction,season,2019,spearman,387,0.7977147521461911
full_prediction,season,2019,rmse,387,3.141438181011097
full_prediction,season,2019,mae,387,2.491793879655002
full_prediction,season,2019,bias,387,-0.015831253402755024
full_prediction,season,2019,spearman,387,0.7867760245052516
no_prior_hybrid,season,2019,rmse,387,3.1098221061652227
no_prior_hybrid,season,2019,mae,387,2.4606640377400764
no_prior_hybrid,season,2019,bias,387,-0.09864871775140047
no_prior_hybrid,season,2019,spearman,387,0.7925267098060499
limited_history_hybrid,season,2019,rmse,387,3.0847781078675887
limited_history_hybrid,season,2019,mae,387,2.4333412371695764
limited_history_hybrid,season,2019,bias,387,-0.1188735824449172
limited_history_hybrid,season,2019,spearman,387,0.7959896488902536
causal_router_min_25,season,2019,rmse,387,3.0936116901518282
causal_router_min_25,season,2019,mae,387,2.436153683098248
causal_router_min_25,season,2019,bias,387,-0.04037236688710931
causal_router_min_25,season,2019,spearman,387,0.7979924263089991
causal_router_min_50,season,2019,rmse,387,3.0936116901518282
causal_router_min_50,season,2019,mae,387,2.436153683098248
causal_router_min_50,season,2019,bias,387,-0.04037236688710931
causal_router_min_50,season,2019,spearman,387,0.7979924263089991
causal_router_min_100,season,2019,rmse,387,3.097492575221962
causal_router_min_100,season,2019,mae,387,2.4458583228911843
causal_router_min_100,season,2019,bias,387,-0.0004033501037407259
causal_router_min_100,season,2019,spearman,387,0.799460787921721
projection_prediction,season,2020,rmse,419,3.212004217494456
projection_prediction,season,2020,mae,419,2.441164117433582
projection_prediction,season,2020,bias,419,-0.20238141248094535
projection_prediction,season,2020,spearman,419,0.8144789461691778
full_prediction,season,2020,rmse,419,3.2451170641033094
full_prediction,season,2020,mae,419,2.475084927898085
full_prediction,season,2020,bias,419,-0.17208129066315897
full_prediction,season,2020,spearman,419,0.807882688712551
no_prior_hybrid,season,2020,rmse,419,3.2368368669689955
no_prior_hybrid,season,2020,mae,419,2.4519085476367333
no_prior_hybrid,season,2020,bias,419,-0.22982430586041822
no_prior_hybrid,season,2020,spearman,419,0.8114240148884486
limited_history_hybrid,season,2020,rmse,419,3.2096200532970984
limited_history_hybrid,season,2020,mae,419,2.431206011113312
limited_history_hybrid,season,2020,bias,419,-0.2562765406491336
limited_history_hybrid,season,2020,spearman,419,0.81379081620981
causal_router_min_25,season,2020,rmse,419,3.203891670656981
causal_router_min_25,season,2020,mae,419,2.4317797038338376
causal_router_min_25,season,2020,bias,419,-0.19933014483140113
causal_router_min_25,season,2020,spearman,419,0.8163500966871954
causal_router_min_50,season,2020,rmse,419,3.2192809372919373
causal_router_min_50,season,2020,mae,419,2.441852387748704
causal_router_min_50,season,2020,bias,419,-0.20040219421093386
causal_router_min_50,season,2020,spearman,419,0.8161758705345529
causal_router_min_100,season,2020,rmse,419,3.2204599702435592
causal_router_min_100,season,2020,mae,419,2.439466332040609
causal_router_min_100,season,2020,bias,419,-0.17210126835492628
causal_router_min_100,season,2020,spearman,419,0.8171751905886668
projection_prediction,season,2021,rmse,417,3.103263010873156
projection_prediction,season,2021,mae,417,2.3880887395971286
projection_prediction,season,2021,bias,417,0.2439828164661686
projection_prediction,season,2021,spearman,417,0.8026963896410485
full_prediction,season,2021,rmse,417,3.0581951743355527
full_prediction,season,2021,mae,417,2.3685482796948945
full_prediction,season,2021,bias,417,0.2119254566926046
full_prediction,season,2021,spearman,417,0.8083547338054956
no_prior_hybrid,season,2021,rmse,417,3.060032505887487
no_prior_hybrid,season,2021,mae,417,2.3730712572441366
no_prior_hybrid,season,2021,bias,417,0.16495928088451475
no_prior_hybrid,season,2021,spearman,417,0.8077738091062399
limited_history_hybrid,season,2021,rmse,417,3.0698814544062025
limited_history_hybrid,season,2021,mae,417,2.372423683761206
limited_history_hybrid,season,2021,bias,417,0.14822292814426835
limited_history_hybrid,season,2021,spearman,417,0.8072869663182043
causal_router_min_25,season,2021,rmse,417,3.0693520770570157
causal_router_min_25,season,2021,mae,417,2.379100167854666
causal_router_min_25,season,2021,bias,417,0.2533117247467391
causal_router_min_25,season,2021,spearman,417,0.8071447023741701
causal_router_min_50,season,2021,rmse,417,3.075284615994543
causal_router_min_50,season,2021,mae,417,2.3785253268570834
causal_router_min_50,season,2021,bias,417,0.25212642771421023
causal_router_min_50,season,2021,spearman,417,0.80675852774049
causal_router_min_100,season,2021,rmse,417,3.078257247462316
causal_router_min_100,season,2021,mae,417,2.3876518681091023
causal_router_min_100,season,2021,bias,417,0.2743880874063359
causal_router_min_100,season,2021,spearman,417,0.8060896934649301
projection_prediction,season,2022,rmse,425,2.872108478668414
projection_prediction,season,2022,mae,425,2.3398662611192704
projection_prediction,season,2022,bias,425,0.5979387593802958
projection_prediction,season,2022,spearman,425,0.8183697199928753
full_prediction,season,2022,rmse,425,2.8530855807463187
full_prediction,season,2022,mae,425,2.321565936709955
full_prediction,season,2022,bias,425,0.6516991724578063
full_prediction,season,2022,spearman,425,0.824280874475963
no_prior_hybrid,season,2022,rmse,425,2.8287073068335062
no_prior_hybrid,season,2022,mae,425,2.3125255151413886
no_prior_hybrid,season,2022,bias,425,0.5693521138914739
no_prior_hybrid,season,2022,spearman,425,0.826391057029634
limited_history_hybrid,season,2022,rmse,425,2.824285567656629
limited_history_hybrid,season,2022,mae,425,2.31253337178347
limited_history_hybrid,season,2022,bias,425,0.5603311828526046
limited_history_hybrid,season,2022,spearman,425,0.8252981638570834
causal_router_min_25,season,2022,rmse,425,2.853446948247264
causal_router_min_25,season,2022,mae,425,2.3282041766509924
causal_router_min_25,season,2022,bias,425,0.6178761142540257
causal_router_min_25,season,2022,spearman,425,0.8220370598339326
causal_router_min_50,season,2022,rmse,425,2.853446948247264
causal_router_min_50,season,2022,mae,425,2.3282041766509924
causal_router_min_50,season,2022,bias,425,0.6178761142540257
causal_router_min_50,season,2022,spearman,425,0.8220370598339326
causal_router_min_100,season,2022,rmse,425,2.855503387285165
causal_router_min_100,season,2022,mae,425,2.3276550694699303
causal_router_min_100,season,2022,bias,425,0.614148184094668
causal_router_min_100,season,2022,spearman,425,0.8219645268257472
projection_prediction,season,2023,rmse,413,3.247802833814017
projection_prediction,season,2023,mae,413,2.5047012617589615
projection_prediction,season,2023,bias,413,0.35469271030140426
projection_prediction,season,2023,spearman,413,0.7880028585941264
full_prediction,season,2023,rmse,413,3.2213311834136884
full_prediction,season,2023,mae,413,2.501403255016204
full_prediction,season,2023,bias,413,0.4650907891515946
full_prediction,season,2023,spearman,413,0.8047725709022564
no_prior_hybrid,season,2023,rmse,413,3.2353173785019678
no_prior_hybrid,season,2023,mae,413,2.493319645663386
no_prior_hybrid,season,2023,bias,413,0.37793940629467043
no_prior_hybrid,season,2023,spearman,413,0.7964310051060753
limited_history_hybrid,season,2023,rmse,413,3.2305857974401095
limited_history_hybrid,season,2023,mae,413,2.4800293485622245
limited_history_hybrid,season,2023,bias,413,0.35349681641887526
limited_history_hybrid,season,2023,spearman,413,0.795789102776381
causal_router_min_25,season,2023,rmse,413,3.2209298353679543
causal_router_min_25,season,2023,mae,413,2.4788368654032
causal_router_min_25,season,2023,bias,413,0.3727795815138646
causal_router_min_25,season,2023,spearman,413,0.7972704388952259
causal_router_min_50,season,2023,rmse,413,3.2209298353679543
causal_router_min_50,season,2023,mae,413,2.4788368654032
causal_router_min_50,season,2023,bias,413,0.3727795815138646
causal_router_min_50,season,2023,spearman,413,0.7972704388952259
causal_router_min_100,season,2023,rmse,413,3.221844010062941
causal_router_min_100,season,2023,mae,413,2.4818470365053695
causal_router_min_100,season,2023,bias,413,0.36814002888184805
causal_router_min_100,season,2023,spearman,413,0.7973063820784224
projection_prediction,season,2024,rmse,407,3.160834095040489
projection_prediction,season,2024,mae,407,2.5613525579991125
projection_prediction,season,2024,bias,407,0.21162206431197883
projection_prediction,season,2024,spearman,407,0.8088683521133229
full_prediction,season,2024,rmse,407,3.147047663890341
full_prediction,season,2024,mae,407,2.5351480576801855
full_prediction,season,2024,bias,407,0.2849860537651897
full_prediction,season,2024,spearman,407,0.8103767188943857
no_prior_hybrid,season,2024,rmse,407,3.1329732324537405
no_prior_hybrid,season,2024,mae,407,2.51801586003239
no_prior_hybrid,season,2024,bias,407,0.22193724133891302
no_prior_hybrid,season,2024,spearman,407,0.8118017251374661
limited_history_hybrid,season,2024,rmse,407,3.1383086898345613
limited_history_hybrid,season,2024,mae,407,2.51744112357802
limited_history_hybrid,season,2024,bias,407,0.1940868893340111
limited_history_hybrid,season,2024,spearman,407,0.8102279004540756
causal_router_min_25,season,2024,rmse,407,3.1457429999556163
causal_router_min_25,season,2024,mae,407,2.5246674872308956
causal_router_min_25,season,2024,bias,407,0.21759210240415025
causal_router_min_25,season,2024,spearman,407,0.8068385351364613
causal_router_min_50,season,2024,rmse,407,3.1457429999556163
causal_router_min_50,season,2024,mae,407,2.5246674872308956
causal_router_min_50,season,2024,bias,407,0.21759210240415025
causal_router_min_50,season,2024,spearman,407,0.8068385351364613
