minimum_prior_rows,season,position,history_group,prior_rows,prior_seasons,prior_projection_rmse,prior_full_rmse,selected_model
25,2017,QB,limited,0,0,,,full
25,2017,QB,veteran,0,0,,,full
25,2017,RB,limited,0,0,,,full
25,2017,RB,veteran,0,0,,,full
25,2017,TE,limited,0,0,,,full
25,2017,TE,veteran,0,0,,,full
25,2017,WR,limited,0,0,,,full
25,2017,WR,veteran,0,0,,,full
25,2018,QB,limited,9,1,,,full
25,2018,QB,veteran,33,1,,,full
25,2018,RB,limited,39,1,,,full
25,2018,RB,veteran,71,1,,,full
25,2018,TE,limited,22,1,,,full
25,2018,TE,veteran,65,1,,,full
25,2018,WR,limited,57,1,,,full
25,2018,WR,veteran,111,1,,,full
25,2019,QB,limited,21,2,,,full
25,2019,QB,veteran,61,2,3.085651852253778,2.966660688489519,full
25,2019,RB,limited,83,2,4.701776854290164,4.581715392886487,full
25,2019,RB,veteran,136,2,3.326009635572493,3.2789815208388013,full
25,2019,TE,limited,52,2,2.290476650384899,2.3394016190513756,projection
25,2019,TE,veteran,130,2,2.349120928387253,2.277231693258815,full
25,2019,WR,limited,107,2,3.0363136084977644,3.0890949179916825,projection
25,2019,WR,veteran,222,2,3.1961643693037667,3.2169882560248557,projection
25,2020,QB,limited,34,3,4.786637536187314,4.8979372881720735,projection
25,2020,QB,veteran,88,3,3.1710999175844474,3.026747731081683,full
25,2020,RB,limited,125,3,4.111833708501336,4.026650324078765,full
25,2020,RB,veteran,199,3,3.3829249073732073,3.357040687890651,full
25,2020,TE,limited,74,3,2.4101011812855817,2.468484574431182,projection
25,2020,TE,veteran,194,3,2.3741973805109144,2.3391340247553463,full
25,2020,WR,limited,161,3,3.113889500209139,3.242689986092667,projection
25,2020,WR,veteran,324,3,3.163782417924611,3.182521237092416,projection
25,2021,QB,limited,43,4,4.9199641491507995,5.101129820119392,projection
25,2021,QB,veteran,121,4,3.239097758709777,3.1546690869742933,full
25,2021,RB,limited,168,4,3.9972992684856052,3.935910360618289,full
25,2021,RB,veteran,278,4,3.4387599039226022,3.4054538542797386,full
25,2021,TE,limited,89,4,2.328783732041435,2.3865880514167386,projection
25,2021,TE,veteran,266,4,2.419880942889596,2.3858759384645247,full
25,2021,WR,limited,220,4,3.06254344576588,3.192176331524715,projection
25,2021,WR,veteran,433,4,3.158349964742403,3.179762477449061,projection
25,2022,QB,limited,53,5,4.728710260568256,4.911257238972113,projection
25,2022,QB,veteran,152,5,3.1713654064499384,3.076729383489007,full
25,2022,RB,limited,203,5,3.929768603592235,3.8467128214070567,full
25,2022,RB,veteran,359,5,3.44290133826197,3.414395998756839,full
25,2022,TE,limited,108,5,2.25443976646696,2.3189963028014633,projection
25,2022,TE,veteran,331,5,2.4001294316948316,2.3683891379925894,full
25,2022,WR,limited,272,5,3.0394203778899054,3.143469305007549,projection
25,2022,WR,veteran,557,5,3.184405411954946,3.1874550811911697,projection
25,2023,QB,limited,61,6,4.605818470103896,4.777480515027648,projection
25,2023,QB,veteran,187,6,3.2570343464385094,3.198112691058183,full
25,2023,RB,limited,241,6,3.8277320525076926,3.761709934042802,full
25,2023,RB,veteran,443,6,3.35934559323447,3.3131016800959876,full
25,2023,TE,limited,137,6,2.1779806362381957,2.260368712307571,projection
25,2023,TE,veteran,396,6,2.3572263089678986,2.3258987161679916,full
