comparison,challenger,reference,challenger_rmse,reference_rmse,pooled_delta,mean_season_delta,recent_mean_delta,season_wins,season_count,sign_flip_pvalue,bootstrap_95_low,bootstrap_95_high
trajectory_log_adp_vs_incumbent_lasso,trajectory_log_adp_lasso,incumbent_lasso,3.1226597220022265,3.1584532391209064,-0.03579351711867984,-0.035768684343125204,-0.013491337410800478,8,9,0.0078125,-0.05225884503673554,-0.019916195950703163
log_adp_vs_incumbent_lasso,log_adp_lasso,incumbent_lasso,3.1265134527499816,3.1584532391209064,-0.03193978637092476,-0.031690719953969944,-0.010156969210732688,8,9,0.0078125,-0.049955967126940753,-0.016175028848794914
trajectory_log_adp_equal_thirds_vs_tree,trajectory_log_adp_equal_thirds,trajectory_log_adp_tree_average,3.092994107689153,3.11148607159596,-0.018491963906806852,-0.01868752540500345,-0.011152997339760903,8,9,0.0078125,-0.02918619253976858,-0.0098370897436954
log_adp_equal_thirds_vs_tree,log_adp_equal_thirds,log_adp_tree_average,3.0963437166234318,3.114717030150769,-0.018373313527337398,-0.01851781822725081,-0.009984120070246702,8,9,0.0078125,-0.028555984106174357,-0.010002487080253792
trajectory_equal_thirds_vs_tree,trajectory_equal_thirds,trajectory_tree_average,3.0949235953965,3.111206200187708,-0.01628260479120769,-0.01649590693396055,-0.014075861894101038,8,9,0.01171875,-0.02592198958279912,-0.007914003629125997
trajectory_log_adp_vs_incumbent_equal_thirds,trajectory_log_adp_equal_thirds,incumbent_equal_thirds,3.092994107689153,3.100055612217786,-0.007061504528632856,-0.007101973997472773,0.0024853587130405272,7,9,0.0546875,-0.012860195952680049,-0.0012396305712146752
trajectory_vs_incumbent_lasso,trajectory_lasso,incumbent_lasso,3.1522818302656175,3.1584532391209064,-0.006171408855288885,-0.006419909159907829,-0.002892473098564885,5,9,0.203125,-0.015478453575052018,0.001356811851904184
trajectory_vs_incumbent_equal_thirds,trajectory_equal_thirds,incumbent_equal_thirds,3.0949235953965,3.100055612217786,-0.005132016821285834,-0.005186445723290362,-0.0012765026129518315,7,9,0.05859375,-0.009311060053633914,-0.0007160027182110019
trajectory_log_adp_vs_incumbent_random_forest,trajectory_log_adp_random_forest,incumbent_random_forest,3.1202668210864877,3.124253466483619,-0.003986645397131117,-0.0038283573608735764,0.0016026549715276357,6,9,0.2109375,-0.008878928945280164,0.0012782530405867213
trajectory_vs_incumbent_random_forest,trajectory_random_forest,incumbent_random_forest,3.1202944616866537,3.124253466483619,-0.003959004796965093,-0.003800337535478556,0.0015834469126231692,6,9,0.2109375,-0.008842416925024002,0.0012286101159876609
log_adp_vs_incumbent_equal_thirds,log_adp_equal_thirds,incumbent_equal_thirds,3.0963437166234318,3.100055612217786,-0.003711895594354253,-0.0037015886218735674,0.0019848699646520807,7,9,0.140625,-0.008400618750600004,0.0006820831835245104
trajectory_vs_incumbent_tree_average,trajectory_tree_average,incumbent_tree_average,3.111206200187708,3.114326838449257,-0.003120638261548958,-0.0031151988191159396,0.0017849387558174594,7,9,0.16796875,-0.007235895800514574,0.0009400735526262607
trajectory_log_adp_vs_incumbent_tree_average,trajectory_log_adp_tree_average,incumbent_tree_average,3.11148607159596,3.114326838449257,-0.0028407668532968167,-0.0028391086222554485,0.002623935527469682,6,9,0.2265625,-0.0069606858654444916,0.0012759338370316414
trajectory_vs_incumbent_lightgbm,trajectory_lightgbm,incumbent_lightgbm,3.120974012933486,3.1229738660388224,-0.0019998531053362356,-0.0021600341158165806,0.0011694120666307188,6,9,0.41015625,-0.006656464781644148,0.0027091941672427763
trajectory_log_adp_vs_incumbent_lightgbm,trajectory_log_adp_lightgbm,incumbent_lightgbm,3.121475664751946,3.1229738660388224,-0.0014982012868762773,-0.0016588588814184667,0.0027195485378858444,7,9,0.50390625,-0.006001291157502335,0.0029822448175914
log_adp_vs_incumbent_random_forest,log_adp_random_forest,incumbent_random_forest,3.1242277538302363,3.124253466483619,-2.5712653382470307e-05,-2.484485571185857e-05,1.73215429811376e-05,6,9,0.2578125,-6.213977060374926e-05,1.1817626312391224e-05
log_adp_vs_incumbent_tree_average,log_adp_tree_average,incumbent_tree_average,3.114717030150769,3.114326838449257,0.0003901917015123324,0.000391569575591117,0.0009545695095670345,2,9,0.4609375,-0.0006154962817957651,0.0013554056634960492
log_adp_vs_incumbent_lightgbm,log_adp_lightgbm,incumbent_lightgbm,3.1237849307974295,3.1229738660388224,0.0008110647586070385,0.0008124142012205916,0.001872625661245723,2,9,0.4296875,-0.001091630930839666,0.0026597668440294124
