candidate_method,baseline_method,period,metric,n,season_clusters,candidate_minus_baseline,bootstrap_p025,bootstrap_p975,probability_candidate_better
ppg_w225,production,all_2017_2025,ppg_crps,1620,9,0.0032609771876427043,0.0006612858188307359,0.006671453418153386,0.005
ppg_w225,production,all_2017_2025,contribution_crps,1620,9,0.02752597579134935,0.009948092353754996,0.0464019581939837,0.001
ppg_w225,production,all_2017_2025,played_crps,1620,9,0.005093178315318829,0.0009894404728629097,0.009001486279689696,0.007
ppg_w225,production,all_2017_2025,plus3_brier_row,1620,9,0.0006257768253293868,-0.00015532279742763825,0.0014759754056237998,0.071
ppg_w225,production,all_2017_2025,plus5_brier_row,1620,9,0.00017725241648321072,-0.00021852164903098448,0.000603194393008298,0.2015
ppg_w225,production,all_2017_2025,impact_brier_row,1620,9,0.0003376628461119849,-5.124656058487396e-05,0.000730680196573703,0.042
ppg_w225,production,all_2017_2025,zero_brier_row,1620,9,-3.005544679232624e-05,-0.0002700779992067903,0.00020984397922371161,0.5865
ppg_w225,production,all_2017_2025,extended_absence_brier_row,1620,9,0.0004650856698733363,0.0001055607756398316,0.000824956328891253,0.0045
ppg_w225,production,development_2017_2022,ppg_crps,1080,6,0.001663109688882481,-0.0001317787038442445,0.0034509309510214244,0.0355
ppg_w225,production,development_2017_2022,contribution_crps,1080,6,0.022840879402985483,0.003972129081698139,0.03868599020930927,0.0105
ppg_w225,production,development_2017_2022,played_crps,1080,6,0.003249419137187468,-0.0008176979613490292,0.00568949560498006,0.067
ppg_w225,production,development_2017_2022,plus3_brier_row,1080,6,0.0004239324771575417,-0.00040429044791419756,0.0011602231450269617,0.124
ppg_w225,production,development_2017_2022,plus5_brier_row,1080,6,1.2132438898718667e-05,-0.0004817715208123171,0.0005525283876619522,0.4635
ppg_w225,production,development_2017_2022,impact_brier_row,1080,6,2.0037521147169386e-05,-0.0003359279213268445,0.00037246690640178203,0.444
ppg_w225,production,development_2017_2022,zero_brier_row,1080,6,-0.00015319819957383755,-0.00040085492881459275,7.918769699486503e-05,0.8895
ppg_w225,production,development_2017_2022,extended_absence_brier_row,1080,6,0.0003200289768330436,2.9132820949416657e-05,0.0005186761332158219,0.0115
ppg_w225,production,recent_2020_2025,ppg_crps,1080,6,0.004328314023985478,0.0008751590502062689,0.008595775717261719,0.0035
ppg_w225,production,recent_2020_2025,contribution_crps,1080,6,0.035891509866636244,0.014130544393306996,0.05782758372449041,0.0005
ppg_w225,production,recent_2020_2025,played_crps,1080,6,0.0053883132893612915,-0.0007240347938134674,0.01118819573592183,0.0385
