feature,non_null_rows,missing_rows,zero_rows,mean,std
team_qb1_passing_yards,3623,73,0,3746.5515579953153,682.9327189347052
team_qb1_rushing_yards,3623,73,0,253.69268415598395,203.46802369799804
team_qb1_passing_tds,3623,73,0,24.126552395441806,6.051372648347261
team_qb1_rushing_tds,3623,73,0,2.295517340972795,1.8786340188273634
team_qb1_rush_point_share,3623,73,0,0.1370444873462897,0.08836652571709805
team_core_skill_points,3623,73,0,963.5627688308991,108.53954302372085
team_core_skill_projection_percentile,3623,73,0,0.5100313966326249,0.2895780444519781
team_supporting_cast_points,3623,73,0,890.204433087695,135.0880342885282
team_projected_rushing_yards,3623,73,0,1673.0619648786433,313.10378813115096
team_projected_rushing_tds,3623,73,0,12.436530227401317,3.130822322852015
team_projected_offensive_tds,3623,73,0,36.563082622843126,7.447158905235686
