method,slice_type,slice_value,metric,n_rows,value
all_environment_lasso,pooled,all,rmse,3696,3.146309446617394
all_environment_lasso,pooled,all,mae,3696,2.4405654483820984
all_environment_lasso,pooled,all,bias,3696,-0.034922028417197326
all_environment_lasso,pooled,all,spearman,3696,0.8008078898342219
all_environment_lightgbm,pooled,all,rmse,3696,3.122786636635138
all_environment_lightgbm,pooled,all,mae,3696,2.443247750174302
all_environment_lightgbm,pooled,all,bias,3696,0.1968364476678542
all_environment_lightgbm,pooled,all,spearman,3696,0.8056396835781097
all_environment_random_forest,pooled,all,rmse,3696,3.1209556234897
all_environment_random_forest,pooled,all,mae,3696,2.440781784395016
all_environment_random_forest,pooled,all,bias,3696,0.18827150169047793
all_environment_random_forest,pooled,all,spearman,3696,0.8049146159342077
qb_style_lasso,pooled,all,rmse,3696,3.1469926768348
qb_style_lasso,pooled,all,mae,3696,2.4356890684117025
qb_style_lasso,pooled,all,bias,3696,-0.029564698769185743
qb_style_lasso,pooled,all,spearman,3696,0.8009026869285354
qb_style_lightgbm,pooled,all,rmse,3696,3.1164383849905346
qb_style_lightgbm,pooled,all,mae,3696,2.4328883047967307
qb_style_lightgbm,pooled,all,bias,3696,0.1765280484663245
qb_style_lightgbm,pooled,all,spearman,3696,0.803597529693111
qb_style_random_forest,pooled,all,rmse,3696,3.120518309911731
qb_style_random_forest,pooled,all,mae,3696,2.4356519886800707
qb_style_random_forest,pooled,all,bias,3696,0.18353577429259785
qb_style_random_forest,pooled,all,spearman,3696,0.8053067009707133
qb_tds_lasso,pooled,all,rmse,3696,3.1527481013478504
qb_tds_lasso,pooled,all,mae,3696,2.4385848208097025
qb_tds_lasso,pooled,all,bias,3696,-0.022310336333429402
qb_tds_lasso,pooled,all,spearman,3696,0.8001462051652092
qb_tds_lightgbm,pooled,all,rmse,3696,3.1227731524267544
qb_tds_lightgbm,pooled,all,mae,3696,2.443024288731874
qb_tds_lightgbm,pooled,all,bias,3696,0.19938945486128012
qb_tds_lightgbm,pooled,all,spearman,3696,0.8039949009666187
qb_tds_random_forest,pooled,all,rmse,3696,3.1216850578730058
qb_tds_random_forest,pooled,all,mae,3696,2.437261945233599
qb_tds_random_forest,pooled,all,bias,3696,0.18921627516855274
qb_tds_random_forest,pooled,all,spearman,3696,0.8057673984494568
qb_yardage_lasso,pooled,all,rmse,3696,3.1497005404074376
qb_yardage_lasso,pooled,all,mae,3696,2.439044470907393
qb_yardage_lasso,pooled,all,bias,3696,-0.03939962051925671
qb_yardage_lasso,pooled,all,spearman,3696,0.8004454279092988
qb_yardage_lightgbm,pooled,all,rmse,3696,3.121031172282925
qb_yardage_lightgbm,pooled,all,mae,3696,2.4456307352851434
qb_yardage_lightgbm,pooled,all,bias,3696,0.20790817578128792
qb_yardage_lightgbm,pooled,all,spearman,3696,0.8054854253090522
qb_yardage_random_forest,pooled,all,rmse,3696,3.1225726386958823
qb_yardage_random_forest,pooled,all,mae,3696,2.438082471648011
qb_yardage_random_forest,pooled,all,bias,3696,0.18696660443860963
qb_yardage_random_forest,pooled,all,spearman,3696,0.8054673559721961
team_rush_scoring_lasso,pooled,all,rmse,3696,3.1486374432105815
team_rush_scoring_lasso,pooled,all,mae,3696,2.4393159396312245
team_rush_scoring_lasso,pooled,all,bias,3696,-0.023024428099481572
team_rush_scoring_lasso,pooled,all,spearman,3696,0.8006389597959579
team_rush_scoring_lightgbm,pooled,all,rmse,3696,3.1234896929603884
team_rush_scoring_lightgbm,pooled,all,mae,3696,2.4447534130503343
team_rush_scoring_lightgbm,pooled,all,bias,3696,0.20796832511209268
team_rush_scoring_lightgbm,pooled,all,spearman,3696,0.8054357767041682
team_rush_scoring_random_forest,pooled,all,rmse,3696,3.1186585332474643
team_rush_scoring_random_forest,pooled,all,mae,3696,2.439473329349413
team_rush_scoring_random_forest,pooled,all,bias,3696,0.20030842045677474
team_rush_scoring_random_forest,pooled,all,spearman,3696,0.8048038848111202
team_support_lasso,pooled,all,rmse,3696,3.1470556238564216
team_support_lasso,pooled,all,mae,3696,2.436052567480828
team_support_lasso,pooled,all,bias,3696,-0.01683317673284427
team_support_lasso,pooled,all,spearman,3696,0.7993131804227405
team_support_lightgbm,pooled,all,rmse,3696,3.123183178497813
team_support_lightgbm,pooled,all,mae,3696,2.445438403569537
team_support_lightgbm,pooled,all,bias,3696,0.21388938204813684
team_support_lightgbm,pooled,all,spearman,3696,0.8050497745849048
team_support_random_forest,pooled,all,rmse,3696,3.1261352070676773
team_support_random_forest,pooled,all,mae,3696,2.4426439634178037
team_support_random_forest,pooled,all,bias,3696,0.18889729435239572
team_support_random_forest,pooled,all,spearman,3696,0.8043851114766785
trajectory_base_lasso,pooled,all,rmse,3696,3.1522818302656175
trajectory_base_lasso,pooled,all,mae,3696,2.4400594428158873
trajectory_base_lasso,pooled,all,bias,3696,-0.005371440658030683
trajectory_base_lasso,pooled,all,spearman,3696,0.7993390905589772
trajectory_base_lightgbm,pooled,all,rmse,3696,3.120974012933486
trajectory_base_lightgbm,pooled,all,mae,3696,2.4448811188460025
trajectory_base_lightgbm,pooled,all,bias,3696,0.21345944429543917
trajectory_base_lightgbm,pooled,all,spearman,3696,0.8048171651649766
trajectory_base_random_forest,pooled,all,rmse,3696,3.1202944616866537
trajectory_base_random_forest,pooled,all,mae,3696,2.4413153350042096
trajectory_base_random_forest,pooled,all,bias,3696,0.20607399557593833
trajectory_base_random_forest,pooled,all,spearman,3696,0.8048083431269514
trajectory_base_tree_average,pooled,all,rmse,3696,3.111206200187708
trajectory_base_tree_average,pooled,all,mae,3696,2.4357238366354523
trajectory_base_tree_average,pooled,all,bias,3696,0.20976671993568877
trajectory_base_tree_average,pooled,all,spearman,3696,0.806052674255375
trajectory_base_equal_thirds,pooled,all,rmse,3696,3.0949235953964997
trajectory_base_equal_thirds,pooled,all,mae,3696,2.4103010768196222
trajectory_base_equal_thirds,pooled,all,bias,3696,0.13805399973778232
trajectory_base_equal_thirds,pooled,all,spearman,3696,0.8060263771825215
qb_yardage_tree_average,pooled,all,rmse,3696,3.112754526087023
qb_yardage_tree_average,pooled,all,mae,3696,2.4350046700365184
qb_yardage_tree_average,pooled,all,bias,3696,0.19743739010994876
qb_yardage_tree_average,pooled,all,spearman,3696,0.8066627110858916
qb_yardage_equal_thirds,pooled,all,rmse,3696,3.0949241042161506
qb_yardage_equal_thirds,pooled,all,mae,3696,2.408375941329545
qb_yardage_equal_thirds,pooled,all,bias,3696,0.11849171990021361
qb_yardage_equal_thirds,pooled,all,spearman,3696,0.8070355841727034
qb_tds_tree_average,pooled,all,rmse,3696,3.1129019287874704
qb_tds_tree_average,pooled,all,mae,3696,2.4330974223956185
qb_tds_tree_average,pooled,all,bias,3696,0.1943028650149165
qb_tds_tree_average,pooled,all,spearman,3696,0.8061083087531702
qb_tds_equal_thirds,pooled,all,rmse,3696,3.0977635735015667
qb_tds_equal_thirds,pooled,all,mae,3696,2.4101289047657866
qb_tds_equal_thirds,pooled,all,bias,3696,0.12209846456546784
qb_tds_equal_thirds,pooled,all,spearman,3696,0.8064237313782927
qb_style_tree_average,pooled,all,rmse,3696,3.1085459067018375
qb_style_tree_average,pooled,all,mae,3696,2.426718921293974
qb_style_tree_average,pooled,all,bias,3696,0.18003191137946117
qb_style_tree_average,pooled,all,spearman,3696,0.8060860481327493
qb_style_equal_thirds,pooled,all,rmse,3696,3.0927926741398064
qb_style_equal_thirds,pooled,all,mae,3696,2.4041064773438294
qb_style_equal_thirds,pooled,all,bias,3696,0.11016637466324554
qb_style_equal_thirds,pooled,all,spearman,3696,0.8066717830620517
team_support_tree_average,pooled,all,rmse,3696,3.1157819477242934
team_support_tree_average,pooled,all,mae,3696,2.436257663141673
team_support_tree_average,pooled,all,bias,3696,0.20139333820026625
team_support_tree_average,pooled,all,spearman,3696,0.8059453138788577
team_support_equal_thirds,pooled,all,rmse,3696,3.0969370493046693
team_support_equal_thirds,pooled,all,mae,3696,2.409930004229409
team_support_equal_thirds,pooled,all,bias,3696,0.12865116655589612
team_support_equal_thirds,pooled,all,spearman,3696,0.8058586799699521
team_rush_scoring_tree_average,pooled,all,rmse,3696,3.111693484044124
team_rush_scoring_tree_average,pooled,all,mae,3696,2.434731904754705
team_rush_scoring_tree_average,pooled,all,bias,3696,0.20413837278443372
team_rush_scoring_tree_average,pooled,all,spearman,3696,0.8065067635079114
team_rush_scoring_equal_thirds,pooled,all,rmse,3696,3.0949942631079064
team_rush_scoring_equal_thirds,pooled,all,mae,3696,2.409571161267122
team_rush_scoring_equal_thirds,pooled,all,bias,3696,0.12841743915646198
team_rush_scoring_equal_thirds,pooled,all,spearman,3696,0.80708300922074
all_environment_tree_average,pooled,all,rmse,3696,3.1119835178538566
all_environment_tree_average,pooled,all,mae,3696,2.4335497854148476
all_environment_tree_average,pooled,all,bias,3696,0.19255397467916605
all_environment_tree_average,pooled,all,spearman,3696,0.8065540105365835
all_environment_equal_thirds,pooled,all,rmse,3696,3.094645250170623
all_environment_equal_thirds,pooled,all,mae,3696,2.409834515594735
all_environment_equal_thirds,pooled,all,bias,3696,0.11672864031371159
all_environment_equal_thirds,pooled,all,spearman,3696,0.8073457259924102
all_environment_lasso,season,2017,rmse,407,3.121072445148553
all_environment_lasso,season,2017,mae,407,2.4436204214167256
all_environment_lasso,season,2017,bias,407,0.3146832843256275
all_environment_lasso,season,2017,spearman,407,0.7837929972821676
all_environment_lightgbm,season,2017,rmse,407,3.1427858374114432
all_environment_lightgbm,season,2017,mae,407,2.4783903936626905
all_environment_lightgbm,season,2017,bias,407,0.5778980083713241
all_environment_lightgbm,season,2017,spearman,407,0.788093643264576
