league,method,match_rank,player,season_template,template_distance,template_sample_prob,historical_pred_fp_per_game,played_games
dk,production,1,Keenan Allen,2015,0.10974923795833964,0.043092441681998626,13.1525,8.0
dk,production,2,Terrelle Pryor,2017,0.25874208302515583,0.0326287923303868,13.376996722832896,8.0
dk,production,3,Ty Hilton,2014,0.3754495062030807,0.019861153796283164,13.54375,14.0
dk,production,4,Kenny Golladay,2019,0.3857857030181083,0.025767871183954138,13.226447591974608,15.0
dk,production,5,Chris Godwin,2019,0.3861324934211498,0.02574330174569907,13.148164196942776,14.0
dk,production,6,Greg Jennings,2008,0.388709561286949,0.013540723428609399,13.7375,15.0
dk,production,7,Stefon Diggs,2017,0.4236869875453758,0.020688145871319456,13.40803402562628,13.0
dk,production,8,Zay Flowers,2025,0.43181767963332024,0.03211741224798167,12.626147990477588,15.0
dk,production,9,Brandin Cooks,2016,0.46619102411234475,0.017386175716510473,14.416875,14.0
dk,production,10,Torrey Smith,2013,0.48569076317620596,0.013864454560973075,13.525,15.0
dk,production,11,Cooper Kupp,2020,0.49376511824546915,0.020322631566560143,14.191703013968334,15.0
dk,production,12,Diontae Johnson,2021,0.5059385704560511,0.020831860094540945,14.375124660572371,14.0
dk,one_year_w025_wr,1,Keenan Allen,2015,0.16082881774730445,0.04353389365715265,13.1525,8.0
dk,one_year_w025_wr,2,Terrelle Pryor,2017,0.4526544460924485,0.027228626463606003,13.376996722832896,8.0
dk,one_year_w025_wr,3,Greg Jennings,2008,0.4620663687986861,0.015780504210529924,13.7375,15.0
dk,one_year_w025_wr,4,Ty Hilton,2014,0.5137287943349729,0.019399557879858382,13.54375,14.0
dk,one_year_w025_wr,5,Zay Flowers,2025,0.5178697996450573,0.03621423542936819,12.626147990477588,15.0
dk,one_year_w025_wr,6,Desean Jackson,2011,0.5433036422037032,0.015063258577152367,12.725,14.0
dk,one_year_w025_wr,7,Juju Smith Schuster,2020,0.555195040873006,0.02453698389187511,13.802713100630097,15.0
dk,one_year_w025_wr,8,Brandin Cooks,2016,0.5627437079127416,0.0190848098430991,14.416875,14.0
dk,one_year_w025_wr,9,Torrey Smith,2013,0.5718026727287594,0.015663804177909572,13.525,15.0
dk,one_year_w025_wr,10,Kenny Golladay,2019,0.5746728135601484,0.02198257979073586,13.226447591974608,15.0
dk,one_year_w025_wr,11,Chris Godwin,2019,0.5807014221450081,0.021631285758803718,13.148164196942776,14.0
dk,one_year_w025_wr,12,Stefon Diggs,2017,0.5975993506126684,0.018422244663299548,13.40803402562628,13.0
dk,one_year_w050_wr,1,Keenan Allen,2015,0.21190839753626925,0.0427538697692853,13.1525,8.0
dk,one_year_w050_wr,2,Greg Jennings,2008,0.5354231763104231,0.016648359750618527,13.7375,15.0
dk,one_year_w050_wr,3,Desean Jackson,2011,0.5497087394538709,0.01905216714240331,12.725,14.0
dk,one_year_w050_wr,4,Juju Smith Schuster,2020,0.5836722101952457,0.02925608259730011,13.802713100630097,15.0
dk,one_year_w050_wr,5,Zay Flowers,2025,0.6039219196567944,0.037000891227294525,12.626147990477588,15.0
dk,one_year_w050_wr,6,Terry Mclaurin,2022,0.6460312076806867,0.02783113519247839,13.162693298727476,15.0
dk,one_year_w050_wr,7,Terrelle Pryor,2017,0.6465668091597412,0.020820379206731354,13.376996722832896,8.0
dk,one_year_w050_wr,8,Ty Hilton,2014,0.652008082466865,0.017258635911004714,13.54375,14.0
dk,one_year_w050_wr,9,Torrey Smith,2013,0.6579145822813128,0.016038818351869294,13.525,15.0
dk,one_year_w050_wr,10,Brandin Cooks,2016,0.6592963917131385,0.01900432446693478,14.416875,14.0
dk,one_year_w050_wr,11,Amari Cooper,2018,0.6691015318823901,0.02078955957468965,13.490985000256178,14.0
dk,one_year_w050_wr,12,Keenan Allen,2017,0.7472065570611739,0.016020739509038616,13.933190901747373,15.0
dk,three_year_w025_wr,1,Keenan Allen,2015,0.18497095780878742,0.04305554217450574,13.1525,8.0
dk,three_year_w025_wr,2,Terrelle Pryor,2017,0.3671577552526325,0.029290367299862362,13.376996722832896,8.0
dk,three_year_w025_wr,3,Greg Jennings,2008,0.4031104829459352,0.01579799905460457,13.7375,15.0
dk,three_year_w025_wr,4,Ty Hilton,2014,0.4235485845440945,0.021141888186118334,13.54375,14.0
dk,three_year_w025_wr,5,Kenny Golladay,2019,0.4878942153213862,0.023748177294421025,13.226447591974608,15.0
dk,three_year_w025_wr,6,Chris Godwin,2019,0.49295798685650327,0.02342985325492659,13.148164196942776,14.0
dk,three_year_w025_wr,7,Zay Flowers,2025,0.5043939442861212,0.032141787950651084,12.626147990477588,15.0
dk,three_year_w025_wr,8,Stefon Diggs,2017,0.5255524414322412,0.019143186088319622,13.40803402562628,13.0
dk,three_year_w025_wr,9,Brandin Cooks,2016,0.5285667521995514,0.017925256603641578,14.416875,14.0
dk,three_year_w025_wr,10,Torrey Smith,2013,0.5457847910121693,0.014403561200019184,13.525,15.0
dk,three_year_w025_wr,11,Juju Smith Schuster,2020,0.5464929798543269,0.021540732701129307,13.802713100630097,15.0
dk,three_year_w025_wr,12,Desean Jackson,2011,0.568501301474907,0.012088517290167914,12.725,14.0
dk,three_year_w050_wr,1,Keenan Allen,2015,0.2601926776592352,0.04142714165274457,13.1525,8.0
dk,three_year_w050_wr,2,Greg Jennings,2008,0.41751140460492137,0.01806007052914591,13.7375,15.0
dk,three_year_w050_wr,3,Ty Hilton,2014,0.47164766288510834,0.02211628609420736,13.54375,14.0
dk,three_year_w050_wr,4,Terrelle Pryor,2017,0.4755734274801092,0.026029301795971377,13.376996722832896,8.0
dk,three_year_w050_wr,5,Juju Smith Schuster,2020,0.5662680881578874,0.024418996105565183,13.802713100630097,15.0
dk,three_year_w050_wr,6,Zay Flowers,2025,0.576970208938922,0.031707327755052035,12.626147990477588,15.0
dk,three_year_w050_wr,7,Kenny Golladay,2019,0.5900027276246642,0.02168120413923559,13.226447591974608,15.0
dk,three_year_w050_wr,8,Brandin Cooks,2016,0.5909424802867582,0.018187709612367917,14.416875,14.0
dk,three_year_w050_wr,9,Chris Godwin,2019,0.5997834802918567,0.021144199900928102,13.148164196942776,14.0
dk,three_year_w050_wr,10,Desean Jackson,2011,0.6001040579962785,0.013309082508969788,12.725,14.0
dk,three_year_w050_wr,11,Torrey Smith,2013,0.6058788188481325,0.014719878296346153,13.525,15.0
dk,three_year_w050_wr,12,Stefon Diggs,2017,0.6274178953191065,0.017555690201724757,13.40803402562628,13.0
dk,both_w025_wr,1,Keenan Allen,2015,0.23605053759775224,0.043307509541286794,13.1525,8.0
dk,both_w025_wr,2,Greg Jennings,2008,0.47646729045767233,0.017631089264810548,13.7375,15.0
dk,both_w025_wr,3,Terrelle Pryor,2017,0.5610701183199251,0.02366813916188033,13.376996722832896,8.0
dk,both_w025_wr,4,Ty Hilton,2014,0.5618278726759867,0.019862657350775175,13.54375,14.0
dk,both_w025_wr,5,Desean Jackson,2011,0.5749063987250747,0.016136128399306608,12.725,14.0
dk,both_w025_wr,6,Juju Smith Schuster,2020,0.5749701491765666,0.027133069183401727,13.802713100630097,15.0
dk,both_w025_wr,7,Zay Flowers,2025,0.5904460642978582,0.034774299838115516,12.626147990477588,15.0
dk,both_w025_wr,8,Brandin Cooks,2016,0.6251194359999483,0.018885641627891716,14.416875,14.0
dk,both_w025_wr,9,Torrey Smith,2013,0.6318967005647227,0.01560348722256176,13.525,15.0
dk,both_w025_wr,10,Terry Mclaurin,2022,0.671273449034914,0.02370307006877021,13.162693298727476,15.0
dk,both_w025_wr,11,Kenny Golladay,2019,0.6767813258634264,0.019651904594695953,13.226447591974608,15.0
dk,both_w025_wr,12,Chris Godwin,2019,0.6875269155803615,0.019118309604235956,13.148164196942776,14.0
dk,both_w050_wr,1,Keenan Allen,2015,0.3623518372371648,0.04338623908463906,13.1525,8.0
dk,both_w050_wr,2,Greg Jennings,2008,0.5642250196283956,0.01998673901006281,13.7375,15.0
dk,both_w050_wr,3,Desean Jackson,2011,0.6129142524966139,0.020923758960407796,12.725,14.0
dk,both_w050_wr,4,Juju Smith Schuster,2020,0.623222426802367,0.034259162333533745,13.802713100630097,15.0
dk,both_w050_wr,5,Terry Mclaurin,2022,0.7056324061878094,0.031125698976239204,13.162693298727476,15.0
dk,both_w050_wr,6,Ty Hilton,2014,0.7482062391488926,0.01761619657882137,13.54375,14.0
dk,both_w050_wr,7,Zay Flowers,2025,0.7490744489623962,0.03318293234233564,12.626147990477588,15.0
dk,both_w050_wr,8,Torrey Smith,2013,0.7781026379532394,0.01543752002791905,13.525,15.0
dk,both_w050_wr,9,Brandin Cooks,2016,0.7840478478875519,0.018091124738689596,14.416875,14.0
dk,both_w050_wr,10,Santonio Holmes,2008,0.7877043523919331,0.011294547645213848,14.40625,14.0
dk,both_w050_wr,11,Amari Cooper,2018,0.7880932486180839,0.020105350109389915,13.490985000256178,14.0
dk,both_w050_wr,12,Eric Decker,2013,0.8469911910636125,0.01305333795937935,13.68125,15.0
dk,full_w025_wr,1,Keenan Allen,2015,0.23605053759775224,0.04208116281378188,13.1525,8.0
dk,full_w025_wr,2,Zay Flowers,2025,0.5904460642978582,0.03937652885510819,12.626147990477588,15.0
dk,full_w025_wr,3,Brandin Cooks,2016,0.6251194359999483,0.021361107250658148,14.416875,14.0
dk,full_w025_wr,4,Torrey Smith,2013,0.6318967005647227,0.017644675758358905,13.525,15.0
dk,full_w025_wr,5,Terrelle Pryor,2017,0.6444034516532585,0.021512040299967224,13.376996722832896,8.0
dk,full_w025_wr,6,Ty Hilton,2014,0.64516120600932,0.018053462625408096,13.54375,14.0
dk,full_w025_wr,7,Desean Jackson,2011,0.658239732058408,0.014669727304894301,12.725,14.0
dk,full_w025_wr,8,Juju Smith Schuster,2020,0.6583034825099,0.024667328354540944,13.802713100630097,15.0
dk,full_w025_wr,9,Kenny Golladay,2019,0.6767813258634264,0.022186688063233907,13.226447591974608,15.0
dk,full_w025_wr,10,Chris Godwin,2019,0.6875269155803615,0.02157533442636885,13.148164196942776,14.0
