variant,method,slice_type,slice_value,n_rows,n_seasons,rmse
incumbent,controlled_equal_thirds,pooled,all,3622,9,2.885459887404849
incumbent,controlled_equal_thirds,recent,2023_2025,1226,3,2.899234809414372
incumbent,controlled_equal_thirds,season,2017,402,1,2.868450433973028
incumbent,controlled_equal_thirds,season,2018,365,1,3.011385667067821
incumbent,controlled_equal_thirds,season,2019,385,1,2.9057516083321104
incumbent,controlled_equal_thirds,season,2020,409,1,3.095842146042887
incumbent,controlled_equal_thirds,season,2021,413,1,2.7909070705769436
incumbent,controlled_equal_thirds,season,2022,422,1,2.5968849789029504
incumbent,controlled_equal_thirds,season,2023,404,1,2.9671921599181332
incumbent,controlled_equal_thirds,season,2024,406,1,2.9787260040056918
incumbent,controlled_equal_thirds,season,2025,416,1,2.7499784367171243
incumbent,controlled_equal_thirds,position,QB,306,8,3.9978552558048888
incumbent,controlled_equal_thirds,position,RB,1011,9,3.2998709594537368
incumbent,controlled_equal_thirds,position,TE,802,9,1.9981518439997643
incumbent,controlled_equal_thirds,position,WR,1503,9,2.712012037564744
incumbent,controlled_equal_thirds,history_depth,other_no_history,23,7,2.1896086873670386
incumbent,controlled_equal_thirds,history_depth,rookie,518,9,3.235882934469596
incumbent,controlled_equal_thirds,history_depth,second_year,558,9,2.929419802913935
incumbent,controlled_equal_thirds,history_depth,veteran_with_history,2523,9,2.803771220761321
incumbent,equal_thirds,pooled,all,3622,9,2.8841119750079103
incumbent,equal_thirds,recent,2023_2025,1226,3,2.8956100859371037
incumbent,equal_thirds,season,2017,402,1,2.874270120987745
incumbent,equal_thirds,season,2018,365,1,3.0145761650383087
incumbent,equal_thirds,season,2019,385,1,2.900825140829989
incumbent,equal_thirds,season,2020,409,1,3.09721774397317
incumbent,equal_thirds,season,2021,413,1,2.7886079446190055
incumbent,equal_thirds,season,2022,422,1,2.5922993525537894
incumbent,equal_thirds,season,2023,404,1,2.967087398719588
incumbent,equal_thirds,season,2024,406,1,2.976062793719497
incumbent,equal_thirds,season,2025,416,1,2.7416344539022584
incumbent,equal_thirds,position,QB,306,8,3.994615000482557
incumbent,equal_thirds,position,RB,1011,9,3.293407699675016
incumbent,equal_thirds,position,TE,802,9,2.001387164736455
incumbent,equal_thirds,position,WR,1503,9,2.713540246930285
incumbent,equal_thirds,history_depth,other_no_history,23,7,2.212146995741843
incumbent,equal_thirds,history_depth,rookie,518,9,3.2391217532106955
incumbent,equal_thirds,history_depth,second_year,558,9,2.9288843014127877
