lock_version,model_run_id,forecast_origin,calibration_scope,prior_rows,prior_start_season,prior_end_season,intercept_correction,affine_intercept,affine_slope
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260730T140449Z_ef55415d,2017,global,0,,,0.0,0.0,1.0
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260730T140449Z_ef55415d,2018,global,402,2017,2017,0.39893056300705393,-0.5223933057601355,1.016534819412512
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260730T140449Z_ef55415d,2018,RB,110,2017,2017,-0.1908248005365557,-0.17455498560240024,1.0487176739497177
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260730T140449Z_ef55415d,2018,TE,87,2017,2017,0.39893056300705393,-0.5223933057601355,1.016534819412512
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260730T140449Z_ef55415d,2018,WR,168,2017,2017,0.7799290850315368,-0.7284655574211589,0.9926213090653084
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260730T140449Z_ef55415d,2019,global,767,2017,2018,0.03400275287448441,-0.5874796428574767,1.078396141299508
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260730T140449Z_ef55415d,2019,QB,37,2017,2018,0.03400275287448441,-0.5874796428574767,1.078396141299508
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260730T140449Z_ef55415d,2019,RB,219,2017,2018,-0.49880171273486484,-0.5793899393055923,1.1436342480468902
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260730T140449Z_ef55415d,2019,TE,182,2017,2018,0.5096518234682463,-0.8273653998774808,1.0612744726311059
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260730T140449Z_ef55415d,2019,WR,329,2017,2018,0.13936266718546886,-0.7223009672472731,1.0839368736410926
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260730T140449Z_ef55415d,2020,global,1152,2017,2019,-0.030363799537576126,-0.45267810633530026,1.0667290549631359
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260730T140449Z_ef55415d,2020,QB,74,2017,2019,-0.030363799537576126,-0.45267810633530026,1.0667290549631359
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260730T140449Z_ef55415d,2020,RB,324,2017,2019,-0.3967588615100524,-0.3694332495306103,1.1001857067349374
