lock_version,model_run_id,target_name,method,slice_type,slice_value,metric,n_rows,n_seasons,value
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260730T140449Z_ef55415d,conditional_ppg,conditional_ppg_history_gap_no_history_route,pooled,all,rmse,3622,9,2.8827730985543627
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260730T140449Z_ef55415d,conditional_ppg,conditional_ppg_history_gap_no_history_route,pooled,all,mae,3622,9,2.234247063065136
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260730T140449Z_ef55415d,conditional_ppg,conditional_ppg_history_gap_no_history_route,pooled,all,bias,3622,9,0.1305709486983173
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260730T140449Z_ef55415d,conditional_ppg,conditional_ppg_history_gap_no_history_route,pooled,all,spearman,3622,9,0.7873593127142687
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260730T140449Z_ef55415d,conditional_ppg,conditional_ppg_history_gap_no_history_route,provider_era,2023_2025,rmse,1226,3,2.894150459437117
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260730T140449Z_ef55415d,conditional_ppg,conditional_ppg_history_gap_no_history_route,provider_era,2023_2025,mae,1226,3,2.24820894649709
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260730T140449Z_ef55415d,conditional_ppg,conditional_ppg_history_gap_no_history_route,provider_era,2023_2025,bias,1226,3,0.2597824375865176
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260730T140449Z_ef55415d,conditional_ppg,conditional_ppg_history_gap_no_history_route,provider_era,2023_2025,spearman,1226,3,0.796315686464278
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260730T140449Z_ef55415d,conditional_ppg,conditional_ppg_history_gap_no_history_route,season,2017,rmse,402,1,2.8651036887198815
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260730T140449Z_ef55415d,conditional_ppg,conditional_ppg_history_gap_no_history_route,season,2017,mae,402,1,2.2184297062223277
