league,method,tier,period,n,ppg_crps_delta,ppg_crps_relative_delta,contribution_crps_relative_delta,played_crps_relative_delta,abs_played_bias_degradation,abs_extended_absence_calibration_degradation,ppg_80_coverage_delta
beta,usage_air_value_disp_w100,core_broad,development_2017_2022,936,3.34699288171425e-05,1.748562533143705e-05,-0.00015531628971177103,0.0006305883126589418,-0.0011527387249709864,-0.0001938851075157233,0.005341880341880434
beta,usage_air_value_disp_w100,core_broad,temporal_2023_2025,468,-0.0002603644986161058,-0.00013117283453134565,0.0005213015601244209,-0.000936198074221295,-0.0024825851132860913,-0.0013084814397802125,0.0
beta,usage_air_value_disp_w100,core_main,development_2017_2022,720,-4.730679471665056e-05,-2.4477739822836853e-05,-0.0003264949156198682,0.0008386669702611371,0.0008041659958350211,-0.0003511080801067712,0.00694444444444442
beta,usage_air_value_disp_w100,core_main,temporal_2023_2025,360,-0.0004134651361558106,-0.00020537190636404912,0.0004877610031075452,-0.000885774574032161,0.002932256235940421,0.0012171656516190982,-0.002777777777777768
beta,usage_air_value_disp_w100,core_main_qb1,development_2017_2022,718,-4.743856851807671e-05,-2.4554795159725806e-05,-0.0003272741299915616,0.0008414031770822561,0.0008064060125365091,-0.00035208609704297233,0.0069637883008356605
beta,usage_air_value_disp_w100,core_main_qb1,temporal_2023_2025,358,-0.0004157749972510949,-0.00020916699774464753,0.0004893653871695935,-0.0008936327608570771,0.0029486375556942376,0.0012239654597286792,-0.0027932960893854997
beta,usage_air_value_disp_w100,core_strict,development_2017_2022,504,0.0002282989316353401,0.00011853713549658806,-9.682945074795946e-05,0.0011262761710677527,0.0003932250350827532,-0.0002881747597409945,0.003968253968254065
beta,usage_air_value_disp_w100,core_strict,temporal_2023_2025,252,0.0002678588070375021,0.00014345826430028907,0.00041321122040094416,-0.0018441944143692268,-0.0012975194213817043,0.0012690451827426091,0.003968253968253954
beta,usage_air_value_disp_w100,depth_main,development_2017_2022,1039,0.00016286338937421263,9.852974367619005e-05,8.150258702266377e-05,6.462662695461141e-05,-0.007841947419592071,-0.0007872734753139876,0.0
beta,usage_air_value_disp_w100,depth_main,temporal_2023_2025,528,-0.00022543377494987915,-0.00012254621085816542,-0.000495128468453454,-0.00028660426647397763,0.005045030340677182,0.0007997071576968384,0.0037878787878787845
