league,domain,position,candidate,rows,seasons,production_rmse,opportunity_control_rmse,candidate_rmse,candidate_delta_vs_production,candidate_delta_vs_opportunity_control,mean_season_delta_vs_control,season_wins_vs_control,season_bootstrap_low,season_bootstrap_high,development_2018_2022_delta_vs_control,temporal_2023_2025_delta_vs_control,q90_rows,q90_rmse_delta_vs_control
beta,rushing,QB,rush_mtf_per_attempt,269,7,4.004873673425657,4.084988974289436,4.063488987765931,0.05861531434027345,-0.021499986523505044,-0.02082153837486603,6,-0.045011002048478285,0.005683770084695323,-0.023170117232039544,-0.01931362536199055,30,-0.26293121079197945
beta,rushing,QB,rush_yco_per_attempt,269,7,4.004873673425657,4.084988974289436,4.077113143124387,0.07223946969872941,-0.007875831165049085,-0.007026052402279603,5,-0.01806715185459097,0.005817812725085604,-0.004040438174679473,-0.01304030861380534,30,-0.20189942529381089
beta,rushing,QB,rush_first_downs_per_attempt,269,7,4.004873673425657,4.084988974289436,4.089883356325242,0.08500968289958433,0.004894382035805833,0.0009334557129050403,5,-0.07008993586827524,0.08522805466730625,-0.003302162611554138,0.015861217162878027,30,0.2536362729959638
beta,rushing,QB,rush_explosive_per_attempt,269,7,4.004873673425657,4.084988974289436,4.101416756018175,0.09654308259251732,0.01642778172873882,0.014354162970563245,2,-0.006877693718020225,0.03819726773041695,0.007808151880943193,0.027983024305644033,30,0.01272560778016718
beta,rushing,QB,rush_ypa,269,7,4.004873673425657,4.084988974289436,4.101850516023711,0.09697684259805328,0.016861541734274788,0.01718582471044997,4,-0.007108904875773726,0.04578383216535444,0.010131581356073838,0.025897917711637852,30,0.014604966055436819
beta,rushing,QB,rush_run_grade,269,7,4.004873673425657,4.084988974289436,4.105004346565028,0.10013067313937096,0.02001537227559247,0.022422600714326318,4,-0.012552747568147726,0.07780095006587516,0.028065672189176105,0.00925604267013913,30,-0.010343048115170284
beta,rushing,QB,rush_zone_share,269,7,4.004873673425657,4.084988974289436,4.108320196430397,0.10344652300473989,0.023331222140961394,0.017839718904115225,3,-0.056329174266097404,0.09235511577522047,0.016800569637617002,0.032115648113062445,30,0.32516525501094495
beta,rushing,QB,rush_scramble_share,269,7,4.004873673425657,4.084988974289436,4.112067839013891,0.10719416558823358,0.027078864724455087,0.027019629239465548,1,-0.00036082938527596094,0.05396380972084767,0.045823252614920484,0.001906415218905888,30,0.09622520189829054
beta,rushing,QB,rush_breakaway_percent,269,7,4.004873673425657,4.084988974289436,4.125741703470557,0.12086803004489965,0.04075272918112116,0.044405865741502355,4,-0.04056833979183765,0.16400696243710225,0.04846311447846041,0.030504316247248475,30,-0.05418531102323865
beta,rushing,QB,rush_designed_yards_per_attempt,269,7,4.004873673425657,4.084988974289436,4.128104831282425,0.1232311578567673,0.04311585699298881,0.047433582162675805,5,-0.02947883388521471,0.16229250876992646,0.060484338480087274,0.0198516816828449,30,-0.14444924683863558
beta,rushing,QB,rush_breakaway_yards_per_attempt,269,7,4.004873673425657,4.084988974289436,4.131100430002186,0.1262267565765285,0.046111455712749994,0.05016221130256155,3,-0.0312881698987869,0.16343234774047918,0.06289063461267208,0.02365249069313302,30,-0.0217936073088989
beta,rushing,QB,rush_gap_share,269,7,4.004873673425657,4.084988974289436,4.13364692094789,0.12877324752223274,0.04865794665845424,0.052176581543395564,2,0.0003642197229259168,0.1375725517269823,0.0806018957327641,0.005622279000829344,30,-0.05891125042851364
beta,receiving,RB,rec_yards_per_target,901,8,3.287746510328968,3.310960990363034,3.307131813827459,0.01938530349849099,-0.0038291765355751295,-0.0037595170016171964,4,-0.014354982055827303,0.004645682577544853,-0.0020560445205370925,-0.006875487196488894,93,0.03575938614440588
