league,scope,method,season,rmse_delta
beta,all,te_pff_mtf,2017,0.002648513832665955
beta,all,te_pff_mtf,2018,0.0008279940077695613
beta,all,te_pff_mtf,2019,0.0011598234731340362
beta,all,te_pff_mtf,2020,0.0009482404379821396
beta,all,te_pff_mtf,2021,-0.005343321855877825
beta,all,te_pff_mtf,2022,0.001752092642129277
beta,all,te_pff_mtf,2023,-0.0006323797134735187
beta,all,te_pff_mtf,2024,0.0016879072561288844
beta,all,te_pff_mtf,2025,0.0025408576580141506
beta,all,te_pff_mtf__te_route,2017,-0.0004357720577394808
beta,all,te_pff_mtf__te_route,2018,-0.0009846849905712496
beta,all,te_pff_mtf__te_route,2019,-0.00043550657759938716
beta,all,te_pff_mtf__te_route,2020,-0.0008776628284619115
beta,all,te_pff_mtf__te_route,2021,-7.160789410320945e-06
beta,all,te_pff_mtf__te_route,2022,-0.0005071480658238592
beta,all,te_pff_mtf__te_route,2023,-0.0004476585888748552
beta,all,te_pff_mtf__te_route,2024,-0.000669220943411819
beta,all,te_pff_mtf__te_route,2025,-0.000677822978234488
beta,all,te_pff_opportunity_control,2017,-0.0027951717280503274
beta,all,te_pff_opportunity_control,2018,-0.0007877036535721693
beta,all,te_pff_opportunity_control,2019,0.0009368121107371508
beta,all,te_pff_opportunity_control,2020,0.0032662132821195122
beta,all,te_pff_opportunity_control,2021,-0.0019074354171366714
beta,all,te_pff_opportunity_control,2022,0.0034981989214739606
beta,all,te_pff_opportunity_control,2023,-0.00023385212157878144
beta,all,te_pff_opportunity_control,2024,0.002358590530576077
beta,all,te_pff_opportunity_control,2025,0.0016357987919182193
beta,all,te_pff_opportunity_control__te_route,2017,-0.0011168230446338967
beta,all,te_pff_opportunity_control__te_route,2018,-0.001130749783589291
beta,all,te_pff_opportunity_control__te_route,2019,0.0009143993664357808
beta,all,te_pff_opportunity_control__te_route,2020,0.0003497840890367421
beta,all,te_pff_opportunity_control__te_route,2021,0.0003013801954079298
beta,all,te_pff_opportunity_control__te_route,2022,0.0008807944553201885
beta,all,te_pff_opportunity_control__te_route,2023,-0.0002416188135527797
beta,all,te_pff_opportunity_control__te_route,2024,0.0002511680637033997
beta,all,te_pff_opportunity_control__te_route,2025,-0.000682888300328699
beta,all,te_pff_yac,2017,0.002648514769904242
beta,all,te_pff_yac,2018,-0.0006063957373418916
beta,all,te_pff_yac,2019,0.002167351780529625
beta,all,te_pff_yac,2020,-0.001006588660887875
beta,all,te_pff_yac,2021,-0.005164694011301041
beta,all,te_pff_yac,2022,0.00409788381130749
beta,all,te_pff_yac,2023,5.594001635023105e-05
beta,all,te_pff_yac,2024,0.0016857641339629303
beta,all,te_pff_yac,2025,0.00031451932197512633
beta,all,te_pff_yac__te_route,2017,-0.0004787740745313407
beta,all,te_pff_yac__te_route,2018,-0.0009972887572415878
beta,all,te_pff_yac__te_route,2019,1.1109765192252041e-06
beta,all,te_pff_yac__te_route,2020,-0.0019469378557044337
beta,all,te_pff_yac__te_route,2021,0.00020241744815097107
beta,all,te_pff_yac__te_route,2022,0.0005702804598737288
beta,all,te_pff_yac__te_route,2023,-0.00027183244568229625
beta,all,te_pff_yac__te_route,2024,-0.0005475157895493687
beta,all,te_pff_yac__te_route,2025,-0.0020952966508929194
beta,te,te_pff_mtf,2017,-0.0032369643693315187
beta,te,te_pff_mtf,2018,-0.005122445691136068
beta,te,te_pff_mtf,2019,-0.0026783091177575713
beta,te,te_pff_mtf,2020,-0.006030328236349192
beta,te,te_pff_mtf,2021,-5.091928019607117e-05
beta,te,te_pff_mtf,2022,-0.003234925190471527
beta,te,te_pff_mtf,2023,-0.003461924646367187
beta,te,te_pff_mtf,2024,-0.004367849952578773
beta,te,te_pff_mtf,2025,-0.004026263275255015
beta,te,te_pff_mtf__te_route,2017,-0.0032369643693315187
beta,te,te_pff_mtf__te_route,2018,-0.005122445691136068
beta,te,te_pff_mtf__te_route,2019,-0.0026783091177575713
beta,te,te_pff_mtf__te_route,2020,-0.006030328236349192
beta,te,te_pff_mtf__te_route,2021,-5.091928019607117e-05
beta,te,te_pff_mtf__te_route,2022,-0.003234925190471527
beta,te,te_pff_mtf__te_route,2023,-0.003461924646367187
beta,te,te_pff_mtf__te_route,2024,-0.004367849952578773
beta,te,te_pff_mtf__te_route,2025,-0.004026263275255015
beta,te,te_pff_opportunity_control,2017,-0.008306683229576173
beta,te,te_pff_opportunity_control,2018,-0.005883154383252709
beta,te,te_pff_opportunity_control,2019,0.005613723437916551
beta,te,te_pff_opportunity_control,2020,0.002399033687487062
beta,te,te_pff_opportunity_control,2021,0.002141969068360172
beta,te,te_pff_opportunity_control,2022,0.005606208061884388
beta,te,te_pff_opportunity_control,2023,-0.0018677554639672245
beta,te,te_pff_opportunity_control,2024,0.0016372057232625359
beta,te,te_pff_opportunity_control,2025,-0.004056376769952408
beta,te,te_pff_opportunity_control__te_route,2017,-0.008306683229576173
beta,te,te_pff_opportunity_control__te_route,2018,-0.005883154383252709
beta,te,te_pff_opportunity_control__te_route,2019,0.005613723437916551
beta,te,te_pff_opportunity_control__te_route,2020,0.002399033687487062
beta,te,te_pff_opportunity_control__te_route,2021,0.002141969068360172
beta,te,te_pff_opportunity_control__te_route,2022,0.005606208061884388
beta,te,te_pff_opportunity_control__te_route,2023,-0.0018677554639672245
beta,te,te_pff_opportunity_control__te_route,2024,0.0016372057232625359
beta,te,te_pff_opportunity_control__te_route,2025,-0.004056376769952408
beta,te,te_pff_yac,2017,-0.003556679652106709
beta,te,te_pff_yac,2018,-0.0051880775819284075
beta,te,te_pff_yac,2019,6.8285342194052134e-06
beta,te,te_pff_yac,2020,-0.013398188757807183
beta,te,te_pff_yac,2021,0.0014388577871982111
beta,te,te_pff_yac,2022,0.003631546946512465
beta,te,te_pff_yac,2023,-0.0021014407441219962
beta,te,te_pff_yac,2024,-0.003572898894883547
beta,te,te_pff_yac,2025,-0.012468047133936011
beta,te,te_pff_yac__te_route,2017,-0.003556679652106709
beta,te,te_pff_yac__te_route,2018,-0.0051880775819284075
beta,te,te_pff_yac__te_route,2019,6.8285342194052134e-06
beta,te,te_pff_yac__te_route,2020,-0.013398188757807183
beta,te,te_pff_yac__te_route,2021,0.0014388577871982111
beta,te,te_pff_yac__te_route,2022,0.003631546946512465
beta,te,te_pff_yac__te_route,2023,-0.0021014407441219962
beta,te,te_pff_yac__te_route,2024,-0.003572898894883547
beta,te,te_pff_yac__te_route,2025,-0.012468047133936011
beta,non_te,te_pff_mtf,2017,0.003639566266994798
beta,non_te,te_pff_mtf,2018,0.0022747978256276724
beta,non_te,te_pff_mtf,2019,0.001927759162799525
beta,non_te,te_pff_mtf,2020,0.0021682712083146427
beta,non_te,te_pff_mtf,2021,-0.006293079713470373
beta,non_te,te_pff_mtf,2022,0.0027164607926746243
beta,non_te,te_pff_mtf,2023,-0.00021735803565015033
beta,non_te,te_pff_mtf,2024,0.002822557565881567
beta,non_te,te_pff_mtf,2025,0.0039051816699302577
beta,non_te,te_pff_mtf__te_route,2017,0.0
beta,non_te,te_pff_mtf__te_route,2018,0.0
beta,non_te,te_pff_mtf__te_route,2019,0.0
beta,non_te,te_pff_mtf__te_route,2020,0.0
beta,non_te,te_pff_mtf__te_route,2021,0.0
beta,non_te,te_pff_mtf__te_route,2022,0.0
beta,non_te,te_pff_mtf__te_route,2023,0.0
beta,non_te,te_pff_mtf__te_route,2024,0.0
beta,non_te,te_pff_mtf__te_route,2025,0.0
beta,non_te,te_pff_opportunity_control,2017,-0.001980190691223349
beta,non_te,te_pff_opportunity_control,2018,0.0004304977103424257
beta,non_te,te_pff_opportunity_control,2019,2.7096620505151492e-05
beta,non_te,te_pff_opportunity_control,2020,0.003464581735737937
beta,non_te,te_pff_opportunity_control,2021,-0.002605046919045062
beta,non_te,te_pff_opportunity_control,2022,0.003148765568515177
beta,non_te,te_pff_opportunity_control,2023,9.139537315405732e-06
beta,non_te,te_pff_opportunity_control,2024,0.0025243385985898037
beta,non_te,te_pff_opportunity_control,2025,0.002813294093233054
beta,non_te,te_pff_opportunity_control__te_route,2017,0.0
beta,non_te,te_pff_opportunity_control__te_route,2018,0.0
beta,non_te,te_pff_opportunity_control__te_route,2019,0.0
beta,non_te,te_pff_opportunity_control__te_route,2020,0.0
beta,non_te,te_pff_opportunity_control__te_route,2021,0.0
beta,non_te,te_pff_opportunity_control__te_route,2022,0.0
beta,non_te,te_pff_opportunity_control__te_route,2023,0.0
beta,non_te,te_pff_opportunity_control__te_route,2024,0.0
beta,non_te,te_pff_opportunity_control__te_route,2025,0.0
beta,non_te,te_pff_yac,2017,0.003690253601802862
beta,non_te,te_pff_yac,2018,0.0004905631247442699
beta,non_te,te_pff_yac,2019,0.002617993474126834
beta,non_te,te_pff_yac,2020,0.0011163024597613536
beta,non_te,te_pff_yac,2021,-0.006330060820781913
beta,non_te,te_pff_yac,2022,0.004243144291061096
beta,non_te,te_pff_yac,2023,0.0003857040712897941
beta,non_te,te_pff_yac,2024,0.0026743706414817936
beta,non_te,te_pff_yac,2025,0.002922349629070453
