league,scope,method,metric,mean_season_delta,season_wins,seasons,bootstrap_low,bootstrap_high
dk,te_core,te_pff_mtf_w025,ppg_crps,-0.000682474144244088,6,9,-0.0022444741672747724,0.0006553827638085618
dk,te_core,te_pff_mtf_w025,league_winner_q90_brier_row,0.00028387801427336786,2,9,-0.00019692166826535123,0.0007626376998577729
dk,te_core,te_pff_mtf_w050,ppg_crps,-0.0026679720018057025,6,9,-0.005433940678040518,4.551919210337096e-05
dk,te_core,te_pff_mtf_w050,league_winner_q90_brier_row,0.0002915273994382288,5,9,-0.00031562388234764846,0.0009168725067493829
dk,te_core,te_pff_yac_w025,ppg_crps,-0.0019196331013843003,7,9,-0.003361428889042719,-0.0001787018862159783
dk,te_core,te_pff_yac_w025,league_winner_q90_brier_row,-0.0004995924953456453,7,9,-0.000934629937749538,-6.48611046804376e-05
beta,te_core,te_pff_mtf_w025,ppg_crps,-5.415164781119617e-05,4,9,-0.001034217834949991,0.0008625472944582031
beta,te_core,te_pff_mtf_w025,league_winner_q90_brier_row,-2.8837679253139516e-05,5,9,-0.00037385730835967743,0.00028930507209483944
beta,te_core,te_pff_mtf_w050,ppg_crps,-0.0007334165821231598,5,9,-0.002825723971918326,0.0012012578890925648
beta,te_core,te_pff_mtf_w050,league_winner_q90_brier_row,9.197018276387934e-05,3,9,-0.0002266729890271727,0.00045675313536657153
beta,te_core,te_pff_yac_w025,ppg_crps,-0.0011059107784790884,6,9,-0.0024737463565028,0.00010324345253848105
beta,te_core,te_pff_yac_w025,league_winner_q90_brier_row,-0.00021134073883410066,6,9,-0.000474941094892509,1.3353014013856296e-05
