preference_order,slot,first_six_picks,most_common_first_pick,most_common_first_pick_share,heldout_ev,difference_vs_best,paired_se_vs_best,ci95_low_vs_best,ci95_high_vs_best,first_place_probability,expected_rank,rooms,audit_seasons,elapsed_seconds,top_equivalent_95
1,3,"3,22,34,39,58,63",Puka Nacua,0.91796875,2355.1584940161556,0.0,0.0,0.0,0.0,0.64686,1.44096,256,512,11.527493399997184,True
2,4,"4,21,33,40,57,64",Puka Nacua,0.73828125,2354.3653966663405,-0.7930973498150706,1.7916857026729018,-4.3048013270539585,2.7186066274238168,0.30468,1.80938,256,512,11.008005600000615,True
3,2,"2,23,35,38,59,62",Jahmyr Gibbs,0.5234375,2350.8075957139954,-4.3508983021602035,2.2983305529392073,-8.85562618592105,0.1538295816006432,0.01934,3.4789,256,512,10.742574799998692,True
4,5,"5,20,32,41,56,65",Amon-Ra St. Brown,0.7109375,2348.6845489433035,-6.473945072852075,3.266829021398236,-12.876929954792619,-0.07096019091153227,0.00221,4.28294,256,512,10.501162500000646,False
5,6,"6,19,31,42,55,66",Amon-Ra St. Brown,0.87890625,2348.498187728226,-6.660306287929416,4.0841684024568305,-14.665276356744803,1.3446637808859716,0.0267,4.27206,256,512,10.639511999997922,True
6,7,"7,18,30,43,54,67",Amon-Ra St. Brown,0.70703125,2344.1746189128608,-10.98387510329485,4.196884806148577,-19.20976932334606,-2.757980883243638,9e-05,6.26392,256,512,10.33405589999893,False
7,1,"1,24,36,37,60,61",Jahmyr Gibbs,1.0,2342.5353100448847,-12.623183971270919,4.148012377673191,-20.753288231510375,-4.493079711031465,0.00012,6.52365,256,512,10.449397000000317,False
8,8,"8,17,29,44,53,68",Saquon Barkley,0.5234375,2335.2913348190486,-19.867159197106957,4.393807431185623,-28.47902176223078,-11.255296631983137,0.0,7.95071,256,512,10.387550600000395,False
9,11,"11,14,26,47,50,71",Saquon Barkley,0.9765625,2329.2339920261875,-25.92450198996812,4.822765995397479,-35.37712334094718,-16.471880638989063,0.0,9.61157,256,512,10.693770999998378,False
10,9,"9,16,28,45,52,69",Saquon Barkley,0.828125,2328.92730635684,-26.231187659315765,4.623345092868691,-35.2929440413384,-17.16943127729313,0.0,9.94692,256,512,10.588119200001529,False
11,10,"10,15,27,46,51,70",Saquon Barkley,0.9453125,2327.764463000931,-27.394031015224755,4.815251969629876,-36.831924875699315,-17.9561371547502,0.0,10.85819,256,512,10.677373500002432,False
12,12,"12,13,25,48,49,72",Saquon Barkley,0.9609375,2326.6379962908104,-28.520497725345194,4.902623761221744,-38.12964029733981,-18.911355153350577,0.0,11.5608,256,512,10.841449600000487,False
