league,method,rows,baseline_rmse,baseline_mae,baseline_bias,baseline_spearman,challenger_rmse,challenger_mae,challenger_bias,challenger_spearman,rmse_delta,mae_delta,bias_delta,spearman_delta,bootstrap_low,bootstrap_high,player_clusters,draws
beta,current_plus_histgbm_equal4,1226.0,2.892610919065094,2.255844710160956,0.3133674342231486,0.7981569302585217,2.8936330841456552,2.2617525503946943,0.3278141423710736,0.7978123771375656,0.0010221650805610771,0.0059078402337382485,0.01444670814792498,-0.0003445531209561592,-0.0049696776809373,0.0071132628329261,604,20000
beta,current_plus_ridge_equal4,1226.0,2.892610919065094,2.255844710160956,0.3133674342231486,0.7981569302585217,2.888225902876677,2.2415274495823283,0.2557271657063934,0.7978048981774359,-0.004385016188417357,-0.0143172605786277,-0.05764026851675519,-0.00035203208108580686,-0.0119916550866741,0.0032297386384474,604,20000
beta,histgbm_replaces_lightgbm_equal3,1226.0,2.892610919065094,2.255844710160956,0.3133674342231486,0.7981569302585217,2.890253634138141,2.253684399033569,0.3114979564548,0.7983276244182063,-0.002357284926953085,-0.0021603111273869047,-0.0018694777683486152,0.00017069415968451462,-0.0099153444633981,0.005048709646446,604,20000
beta,lasso_ridge_split_linear_third,1226.0,2.892610919065094,2.255844710160956,0.3133674342231486,0.7981569302585217,2.889093676177004,2.251892218406822,0.3023860695828483,0.7980605014891711,-0.0035172428880900775,-0.003952491754133813,-0.010981364640300306,-9.642876935067601e-05,-0.0060144636627218,-0.0010930633785208,604,20000
beta,ridge_replaces_lasso_equal3,1226.0,2.892610919065094,2.255844710160956,0.3133674342231486,0.7981569302585217,2.886262586650869,2.2488921574409098,0.2914047049425479,0.7979620800669689,-0.006348332414225055,-0.006952552720046246,-0.021962729280600723,-0.00019485019155285332,-0.0112625002123767,-0.0013384716480414,604,20000
dk,current_plus_histgbm_equal4,1237.0,3.0909947236009616,2.4273535888154667,0.390228183400217,0.8119612156700928,3.0946410194318257,2.435760850529137,0.4048252142286264,0.811605304959173,0.003646295830864066,0.008407261713670344,0.014597030828409407,-0.0003559107109197823,-0.0005292450797827,0.0078562485306476,612,20000
dk,current_plus_ridge_equal4,1237.0,3.0909947236009616,2.4273535888154667,0.390228183400217,0.8119612156700928,3.0877969257714195,2.41459501501587,0.3412669169302642,0.811282348297993,-0.003197797829542104,-0.012758573799596551,-0.0489612664699528,-0.0006788673720998784,-0.0106151134441255,0.0042224704547425,612,20000
dk,histgbm_replaces_lightgbm_equal3,1237.0,3.0909947236009616,2.4273535888154667,0.390228183400217,0.8119612156700928,3.0884591148623857,2.4274284356389453,0.3902234959710059,0.8121674035422907,-0.002535608738575945,7.48468234785804e-05,-4.687429211058802e-06,0.0002061878721978383,-0.0059381343523012,0.0007305432275915,612,20000
dk,lasso_ridge_split_linear_third,1237.0,3.0909947236009616,2.4273535888154667,0.390228183400217,0.8119612156700928,3.089642289551908,2.4264842518264778,0.3838691873215845,0.8118166343731826,-0.00135243404905383,-0.0008693369889889446,-0.006358996078632495,-0.0001445812969101956,-0.002870493790354,0.000180831851622,612,20000
dk,ridge_replaces_lasso_equal3,1237.0,3.0909947236009616,2.4273535888154667,0.390228183400217,0.8119612156700928,3.0885521630802737,2.425816435822664,0.3775101912429519,0.8117518167116708,-0.0024425605206879197,-0.0015371529928027705,-0.012717992157265101,-0.0002093989584219802,-0.0054668819145669,0.0006172439308863,612,20000
