league,component_left,component_right,prediction_correlation,error_correlation
dk,conditional_ppg_lasso,conditional_ppg_random_forest,0.9838384723302582,0.9589112310482363
dk,conditional_ppg_lasso,conditional_ppg_lightgbm,0.988100204943039,0.9692120334842681
dk,conditional_ppg_lasso,conditional_ppg_ridge,0.9994249821024068,0.998572674033373
dk,conditional_ppg_lasso,conditional_ppg_hist_gradient_boosting,0.9881100330349695,0.9683196526678279
dk,conditional_ppg_random_forest,conditional_ppg_lightgbm,0.995824045777985,0.9906809371115789
dk,conditional_ppg_random_forest,conditional_ppg_ridge,0.9821293926158978,0.9542444326652091
dk,conditional_ppg_random_forest,conditional_ppg_hist_gradient_boosting,0.9964124565547551,0.9920005866310494
dk,conditional_ppg_lightgbm,conditional_ppg_ridge,0.9864245109000912,0.9646738784816384
dk,conditional_ppg_lightgbm,conditional_ppg_hist_gradient_boosting,0.9992818607433017,0.9983300240157278
dk,conditional_ppg_ridge,conditional_ppg_hist_gradient_boosting,0.9863819801885148,0.9635989329195255
dk,current_primary_blend,conditional_ppg_ridge,0.9931071226543725,0.9814927828472966
dk,current_primary_blend,conditional_ppg_hist_gradient_boosting,0.9981055747816179,0.9952026359412145
