model_family,candidate_id,origin,rows,rmse,parameters_json,league
conditional_ppg_ridge,0,2013,299,3.879275211079103,"{""alpha"": 0.001}",dk
conditional_ppg_ridge,1,2013,299,3.879798619137234,"{""alpha"": 0.01}",dk
conditional_ppg_ridge,2,2013,299,3.883632024273645,"{""alpha"": 0.1}",dk
conditional_ppg_ridge,3,2013,299,3.8883095875638958,"{""alpha"": 1.0}",dk
conditional_ppg_ridge,4,2013,299,3.872849449134757,"{""alpha"": 10.0}",dk
conditional_ppg_ridge,5,2013,299,3.8870241227150855,"{""alpha"": 100.0}",dk
conditional_ppg_ridge,6,2013,299,3.9153043282373203,"{""alpha"": 1000.0}",dk
conditional_ppg_ridge,0,2014,380,3.65676694239117,"{""alpha"": 0.001}",dk
conditional_ppg_ridge,1,2014,380,3.6523487432921775,"{""alpha"": 0.01}",dk
conditional_ppg_ridge,2,2014,380,3.6178252917950693,"{""alpha"": 0.1}",dk
conditional_ppg_ridge,3,2014,380,3.54250412652931,"{""alpha"": 1.0}",dk
conditional_ppg_ridge,4,2014,380,3.5361962249961256,"{""alpha"": 10.0}",dk
conditional_ppg_ridge,5,2014,380,3.5834882673452455,"{""alpha"": 100.0}",dk
conditional_ppg_ridge,6,2014,380,3.7069071367214725,"{""alpha"": 1000.0}",dk
conditional_ppg_ridge,0,2015,399,3.866311456967875,"{""alpha"": 0.001}",dk
conditional_ppg_ridge,1,2015,399,3.8662805101655286,"{""alpha"": 0.01}",dk
conditional_ppg_ridge,2,2015,399,3.865989661083602,"{""alpha"": 0.1}",dk
conditional_ppg_ridge,3,2015,399,3.8643617892774307,"{""alpha"": 1.0}",dk
conditional_ppg_ridge,4,2015,399,3.864782598543122,"{""alpha"": 10.0}",dk
conditional_ppg_ridge,5,2015,399,3.863345406979622,"{""alpha"": 100.0}",dk
conditional_ppg_ridge,6,2015,399,3.888578406049918,"{""alpha"": 1000.0}",dk
conditional_ppg_ridge,0,2016,372,3.3721543349508516,"{""alpha"": 0.001}",dk
conditional_ppg_ridge,1,2016,372,3.3718943900495217,"{""alpha"": 0.01}",dk
conditional_ppg_ridge,2,2016,372,3.3693477011582975,"{""alpha"": 0.1}",dk
conditional_ppg_ridge,3,2016,372,3.3482820306844263,"{""alpha"": 1.0}",dk
conditional_ppg_ridge,4,2016,372,3.2823985879056408,"{""alpha"": 10.0}",dk
conditional_ppg_ridge,5,2016,372,3.2834680933444043,"{""alpha"": 100.0}",dk
conditional_ppg_ridge,6,2016,372,3.3644347218448925,"{""alpha"": 1000.0}",dk
conditional_ppg_ridge,0,2017,407,3.1364158641670565,"{""alpha"": 0.001}",dk
conditional_ppg_ridge,1,2017,407,3.136423537197548,"{""alpha"": 0.01}",dk
conditional_ppg_ridge,2,2017,407,3.1365005084111375,"{""alpha"": 0.1}",dk
conditional_ppg_ridge,3,2017,407,3.1372925260252056,"{""alpha"": 1.0}",dk
conditional_ppg_ridge,4,2017,407,3.146383544269471,"{""alpha"": 10.0}",dk
conditional_ppg_ridge,5,2017,407,3.2236712422360174,"{""alpha"": 100.0}",dk
conditional_ppg_ridge,6,2017,407,3.318636792584331,"{""alpha"": 1000.0}",dk
conditional_ppg_ridge,0,2018,405,3.4370553723512685,"{""alpha"": 0.001}",dk
conditional_ppg_ridge,1,2018,405,3.4370427025025543,"{""alpha"": 0.01}",dk
conditional_ppg_ridge,2,2018,405,3.4369176358355724,"{""alpha"": 0.1}",dk
conditional_ppg_ridge,3,2018,405,3.435821350817836,"{""alpha"": 1.0}",dk
conditional_ppg_ridge,4,2018,405,3.4345081329608793,"{""alpha"": 10.0}",dk
conditional_ppg_ridge,5,2018,405,3.5190730286476675,"{""alpha"": 100.0}",dk
conditional_ppg_ridge,6,2018,405,3.6734417823140273,"{""alpha"": 1000.0}",dk
conditional_ppg_ridge,0,2019,388,3.1792104661452236,"{""alpha"": 0.001}",dk
conditional_ppg_ridge,1,2019,388,3.1792093117179174,"{""alpha"": 0.01}",dk
conditional_ppg_ridge,2,2019,388,3.1791982406607566,"{""alpha"": 0.1}",dk
conditional_ppg_ridge,3,2019,388,3.1791326826551995,"{""alpha"": 1.0}",dk
conditional_ppg_ridge,4,2019,388,3.1815830860682714,"{""alpha"": 10.0}",dk
conditional_ppg_ridge,5,2019,388,3.2547667641296187,"{""alpha"": 100.0}",dk
conditional_ppg_ridge,6,2019,388,3.4117523410859074,"{""alpha"": 1000.0}",dk
conditional_ppg_ridge,0,2020,414,3.3707558818276584,"{""alpha"": 0.001}",dk
conditional_ppg_ridge,1,2020,414,3.3707590669001903,"{""alpha"": 0.01}",dk
conditional_ppg_ridge,2,2020,414,3.370791187904269,"{""alpha"": 0.1}",dk
conditional_ppg_ridge,3,2020,414,3.37113717335345,"{""alpha"": 1.0}",dk
conditional_ppg_ridge,4,2020,414,3.3758244631773238,"{""alpha"": 10.0}",dk
conditional_ppg_ridge,5,2020,414,3.4188063905156802,"{""alpha"": 100.0}",dk
conditional_ppg_ridge,6,2020,414,3.5399765952476865,"{""alpha"": 1000.0}",dk
conditional_ppg_ridge,0,2021,419,3.1163881046431374,"{""alpha"": 0.001}",dk
conditional_ppg_ridge,1,2021,419,3.1163789753736597,"{""alpha"": 0.01}",dk
conditional_ppg_ridge,2,2021,419,3.1162878644187093,"{""alpha"": 0.1}",dk
conditional_ppg_ridge,3,2021,419,3.1153945016154267,"{""alpha"": 1.0}",dk
conditional_ppg_ridge,4,2021,419,3.107927834634861,"{""alpha"": 10.0}",dk
conditional_ppg_ridge,5,2021,419,3.0901623771164766,"{""alpha"": 100.0}",dk
conditional_ppg_ridge,6,2021,419,3.1709945307203293,"{""alpha"": 1000.0}",dk
conditional_ppg_ridge,0,2022,426,2.7990700709840466,"{""alpha"": 0.001}",dk
conditional_ppg_ridge,1,2022,426,2.799071638166989,"{""alpha"": 0.01}",dk
conditional_ppg_ridge,2,2022,426,2.7990873553234996,"{""alpha"": 0.1}",dk
conditional_ppg_ridge,3,2022,426,2.7992489210291174,"{""alpha"": 1.0}",dk
conditional_ppg_ridge,4,2022,426,2.8012068093369424,"{""alpha"": 10.0}",dk
conditional_ppg_ridge,5,2022,426,2.83022032274479,"{""alpha"": 100.0}",dk
conditional_ppg_ridge,6,2022,426,2.9826728317351145,"{""alpha"": 1000.0}",dk
conditional_ppg_hist_gradient_boosting,0,2013,299,3.883222450192514,"{""l2_regularization"": 0.0, ""learning_rate"": 0.03, ""max_depth"": 3, ""max_iter"": 150, ""max_leaf_nodes"": 7, ""min_samples_leaf"": 20}",dk
conditional_ppg_hist_gradient_boosting,1,2013,299,3.8892066173721345,"{""l2_regularization"": 0.1, ""learning_rate"": 0.03, ""max_depth"": 3, ""max_iter"": 150, ""max_leaf_nodes"": 7, ""min_samples_leaf"": 20}",dk
conditional_ppg_hist_gradient_boosting,2,2013,299,3.8848812692324195,"{""l2_regularization"": 1.0, ""learning_rate"": 0.03, ""max_depth"": 3, ""max_iter"": 150, ""max_leaf_nodes"": 7, ""min_samples_leaf"": 20}",dk
conditional_ppg_hist_gradient_boosting,3,2013,299,3.871633339767822,"{""l2_regularization"": 10.0, ""learning_rate"": 0.03, ""max_depth"": 3, ""max_iter"": 150, ""max_leaf_nodes"": 7, ""min_samples_leaf"": 20}",dk
conditional_ppg_hist_gradient_boosting,4,2013,299,3.9440436093182796,"{""l2_regularization"": 100.0, ""learning_rate"": 0.03, ""max_depth"": 3, ""max_iter"": 150, ""max_leaf_nodes"": 7, ""min_samples_leaf"": 20}",dk
conditional_ppg_hist_gradient_boosting,5,2013,299,3.9278595484311536,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_depth"": 4, ""max_iter"": 100, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 20}",dk
conditional_ppg_hist_gradient_boosting,6,2013,299,3.9197916030309905,"{""l2_regularization"": 0.1, ""learning_rate"": 0.05, ""max_depth"": 4, ""max_iter"": 100, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 20}",dk
conditional_ppg_hist_gradient_boosting,7,2013,299,3.9251759796482046,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_depth"": 4, ""max_iter"": 100, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 20}",dk
conditional_ppg_hist_gradient_boosting,8,2013,299,3.8955160921288283,"{""l2_regularization"": 10.0, ""learning_rate"": 0.05, ""max_depth"": 4, ""max_iter"": 100, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 20}",dk
conditional_ppg_hist_gradient_boosting,9,2013,299,3.916939744395979,"{""l2_regularization"": 100.0, ""learning_rate"": 0.05, ""max_depth"": 4, ""max_iter"": 100, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 20}",dk
conditional_ppg_hist_gradient_boosting,0,2014,380,3.5274199106121347,"{""l2_regularization"": 0.0, ""learning_rate"": 0.03, ""max_depth"": 3, ""max_iter"": 150, ""max_leaf_nodes"": 7, ""min_samples_leaf"": 20}",dk
conditional_ppg_hist_gradient_boosting,1,2014,380,3.524013261933708,"{""l2_regularization"": 0.1, ""learning_rate"": 0.03, ""max_depth"": 3, ""max_iter"": 150, ""max_leaf_nodes"": 7, ""min_samples_leaf"": 20}",dk
