lock_version,model_run_id,player_key,season,position,history_depth,limited_history,is_rookie,year_exp,has_prior_outcome,projection_provider_count,projection_trajectory_prior_year_available,adp_median,actual,method,prediction,residual,pred_resid_5,pred_resid_10,pred_resid_25,pred_resid_50,pred_resid_75,pred_resid_90,pred_resid_95,resid_calibration_available,resid_calibration_pool,resid_calibration_rows
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260803T042536Z_b4f0f20f,00502395-b3d2-5e90-b01d-3851aec0df28,2017,WR,veteran_with_history,0,0.0,10.0,1,3.0,1,122.7,9.507142857142858,production,8.879489678096155,0.6276531790467033,,,,,,,,0,unavailable,0
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260803T042536Z_b4f0f20f,006d6e97-5088-5763-9fce-72ff5ff45d7e,2017,QB,veteran_with_history,0,0.0,10.0,1,4.0,1,,10.44,production,10.986544674429444,-0.5465446744294447,,,,,,,,0,unavailable,0
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260803T042536Z_b4f0f20f,00e78b0e-b83e-5172-95f4-888a75977bb8,2017,WR,veteran_with_history,0,0.0,6.0,1,3.0,1,265.195,1.675,production,4.941012568583223,-3.266012568583223,,,,,,,,0,unavailable,0
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260803T042536Z_b4f0f20f,01116a05-438c-534f-a070-ba3de6f5a5d3,2017,WR,veteran_with_history,0,0.0,7.0,1,3.0,1,29.3,10.313333333333334,production,12.333885638036696,-2.0205523047033616,,,,,,,,0,unavailable,0
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260803T042536Z_b4f0f20f,01429bee-98f5-5f9a-bb7f-b7b74971c7b4,2017,WR,second_year,1,0.0,1.0,1,3.0,1,,0.9444444444444444,production,4.0166672635639,-3.072222819119455,,,,,,,,0,unavailable,0
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260803T042536Z_b4f0f20f,01a82437-ea57-5c07-8ce6-ea632dee563c,2017,WR,veteran_with_history,0,0.0,9.0,1,3.0,1,171.95,7.507142857142858,production,6.9127117281018995,0.5944311290409585,,,,,,,,0,unavailable,0
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260803T042536Z_b4f0f20f,02309952-4f46-54bd-a025-4de5c26988fc,2017,RB,second_year,1,0.0,1.0,0,1.0,0,,7.172727272727273,production,3.86177843533025,3.310948837397023,,,,,,,,0,unavailable,0
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260803T042536Z_b4f0f20f,02e1fe8f-ad36-5898-b1c5-3a4615cdefcf,2017,WR,veteran_with_history,0,0.0,4.0,1,3.0,1,222.77,8.92,production,6.415661104676595,2.5043388953234054,,,,,,,,0,unavailable,0
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260803T042536Z_b4f0f20f,03651d35-e813-52ba-9b8d-3ca4dd4d24a0,2017,WR,second_year,1,0.0,1.0,1,3.0,0,349.0,4.866666666666666,production,5.073099811985613,-0.20643314531894674,,,,,,,,0,unavailable,0
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260803T042536Z_b4f0f20f,03a021d9-fa9f-5db6-99fc-c79a23f269d5,2017,TE,rookie,1,1.0,0.0,0,1.0,0,,0.8375,production,3.4823451321908814,-2.6448451321908815,,,,,,,,0,unavailable,0
