arm,variation,path_index,branch,complete,failure_reason,roster_spend,unused_salary,full_replans,budget_replans,bounded_triggers,bounded_swaps,bounded_rebuilds,guard_rejections,max_projected_slack,roster,salary_map
bounded_replan,2,0,buy,True,,298.0,0.0,0,0,1,1,0,0,7.868067728400263,Bhayshul Tuten | Bijan Robinson | Bo Nix | Chase Brown | George Kittle | Jahmyr Gibbs | Jakobi Meyers | Jordan James | Mark Andrews | Quentin Johnston | Sean Tucker | Wan'Dale Robinson | Xavier Worthy,"{""Bhayshul Tuten"": 11.0, ""Bijan Robinson"": 105.0, ""Bo Nix"": 4.0, ""Chase Brown"": 34.0, ""George Kittle"": 2.0, ""Jahmyr Gibbs"": 110.0, ""Jakobi Meyers"": 4.0, ""Jordan James"": 2.0, ""Mark Andrews"": 7.0, ""Quentin Johnston"": 4.0, ""Sean Tucker"": 2.0, ""Wan'Dale Robinson"": 9.0, ""Xavier Worthy"": 4.0}"
bounded_replan,2,0,pass,True,,282.0,16.0,0,0,13,13,0,0,32.451910597486744,Alec Pierce | Bhayshul Tuten | Blake Corum | Chase Brown | Chris Godwin Jr. | David Montgomery | Jahmyr Gibbs | Jakobi Meyers | Jaxson Dart | Jaylen Warren | Quentin Johnston | Sam LaPorta | Tee Higgins,"{""Alec Pierce"": 6.0, ""Bhayshul Tuten"": 11.0, ""Blake Corum"": 12.0, ""Chase Brown"": 34.0, ""Chris Godwin Jr."": 5.0, ""David Montgomery"": 33.0, ""Jahmyr Gibbs"": 110.0, ""Jakobi Meyers"": 4.0, ""Jaxson Dart"": 8.0, ""Jaylen Warren"": 20.0, ""Quentin Johnston"": 4.0, ""Sam LaPorta"": 4.0, ""Tee Higgins"": 31.0}"
bounded_replan,2,1,buy,True,,293.0,5.0,0,0,2,2,0,0,5.483008591441774,Bhayshul Tuten | Bijan Robinson | C.J. Stroud | Caleb Douglas | Chase Brown | George Kittle | Jahmyr Gibbs | Jakobi Meyers | Jordan Addison | Rashid Shaheed | Stefon Diggs | Woody Marks | Zach Charbonnet,"{""Bhayshul Tuten"": 11.0, ""Bijan Robinson"": 105.0, ""C.J. Stroud"": 2.0, ""Caleb Douglas"": 3.0, ""Chase Brown"": 34.0, ""George Kittle"": 2.0, ""Jahmyr Gibbs"": 110.0, ""Jakobi Meyers"": 6.0, ""Jordan Addison"": 4.0, ""Rashid Shaheed"": 2.0, ""Stefon Diggs"": 9.0, ""Woody Marks"": 3.0, ""Zach Charbonnet"": 2.0}"
bounded_replan,2,1,pass,True,,280.0,18.0,0,0,8,8,0,0,39.65570593850913,Bhayshul Tuten | Chase Brown | George Kittle | J.K. Dobbins | Jahmyr Gibbs | Jakobi Meyers | Jalen Hurts | Jaylen Warren | Ladd McConkey | Michael Wilson | Quentin Johnston | Rhamondre Stevenson | Wan'Dale Robinson,"{""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""George Kittle"": 2.0, ""J.K. Dobbins"": 8.0, ""Jahmyr Gibbs"": 110.0, ""Jakobi Meyers"": 6.0, ""Jalen Hurts"": 12.0, ""Jaylen Warren"": 16.0, ""Ladd McConkey"": 31.0, ""Michael Wilson"": 9.0, ""Quentin Johnston"": 11.0, ""Rhamondre Stevenson"": 20.0, ""Wan'Dale Robinson"": 10.0}"
bounded_replan,2,2,buy,True,,296.0,2.0,0,0,1,2,0,0,5.4891108318786905,Bhayshul Tuten | Bijan Robinson | Brenton Strange | Chase Brown | Chris Godwin Jr. | Dak Prescott | Jahmyr Gibbs | Jake Ferguson | Jakobi Meyers | Jayden Reed | Jonah Coleman | Xavier Worthy | Zachariah Branch,"{""Bhayshul Tuten"": 11.0, ""Bijan Robinson"": 105.0, ""Brenton Strange"": 2.0, ""Chase Brown"": 34.0, ""Chris Godwin Jr."": 5.0, ""Dak Prescott"": 8.0, ""Jahmyr Gibbs"": 110.0, ""Jake Ferguson"": 2.0, ""Jakobi Meyers"": 4.0, ""Jayden Reed"": 5.0, ""Jonah Coleman"": 2.0, ""Xavier Worthy"": 5.0, ""Zachariah Branch"": 3.0}"
bounded_replan,2,2,pass,True,,291.0,7.0,0,0,9,9,0,0,35.27417768607211,Bhayshul Tuten | Chase Brown | Chris Godwin Jr. | Emeka Egbuka | J.K. Dobbins | Jahmyr Gibbs | Jake Ferguson | Jakobi Meyers | Jalen Hurts | Jayden Reed | Jaylen Warren | Rome Odunze | TreVeyon Henderson,"{""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""Chris Godwin Jr."": 5.0, ""Emeka Egbuka"": 36.0, ""J.K. Dobbins"": 9.0, ""Jahmyr Gibbs"": 110.0, ""Jake Ferguson"": 2.0, ""Jakobi Meyers"": 4.0, ""Jalen Hurts"": 15.0, ""Jayden Reed"": 5.0, ""Jaylen Warren"": 15.0, ""Rome Odunze"": 18.0, ""TreVeyon Henderson"": 27.0}"
bounded_replan,2,3,buy,True,,297.0,1.0,0,0,0,0,0,0,4.241110089373365,Aaron Jones | Bhayshul Tuten | Bijan Robinson | Chase Brown | Chris Godwin Jr. | Deebo Samuel Sr. | Jahmyr Gibbs | Jake Ferguson | Justin Herbert | KC Concepcion | Khalil Shakir | Terrance Ferguson | Xavier Worthy,"{""Aaron Jones"": 4.0, ""Bhayshul Tuten"": 11.0, ""Bijan Robinson"": 105.0, ""Chase Brown"": 34.0, ""Chris Godwin Jr."": 9.0, ""Deebo Samuel Sr."": 4.0, ""Jahmyr Gibbs"": 110.0, ""Jake Ferguson"": 2.0, ""Justin Herbert"": 6.0, ""KC Concepcion"": 2.0, ""Khalil Shakir"": 5.0, ""Terrance Ferguson"": 2.0, ""Xavier Worthy"": 3.0}"
bounded_replan,2,3,pass,True,,257.0,41.0,0,0,16,15,0,0,38.88339460395599,Alec Pierce | Bhayshul Tuten | Chase Brown | Christian Watson | Dak Prescott | Jahmyr Gibbs | Jake Ferguson | Jaylen Warren | Jonathon Brooks | Jordyn Tyson | Luther Burden III | Makai Lemon | Wan'Dale Robinson,"{""Alec Pierce"": 7.0, ""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""Christian Watson"": 18.0, ""Dak Prescott"": 6.0, ""Jahmyr Gibbs"": 110.0, ""Jake Ferguson"": 2.0, ""Jaylen Warren"": 14.0, ""Jonathon Brooks"": 9.0, ""Jordyn Tyson"": 4.0, ""Luther Burden III"": 27.0, ""Makai Lemon"": 9.0, ""Wan'Dale Robinson"": 6.0}"
bounded_replan,2,4,buy,True,,293.0,5.0,0,0,1,1,0,0,7.46292278249706,Bhayshul Tuten | Bijan Robinson | Brenton Strange | Chase Brown | Jahmyr Gibbs | Jayden Reed | Jonah Coleman | Matthew Golden | Patrick Mahomes | Rashid Shaheed | Terrance Ferguson | Wan'Dale Robinson | Xavier Worthy,"{""Bhayshul Tuten"": 11.0, ""Bijan Robinson"": 105.0, ""Brenton Strange"": 2.0, ""Chase Brown"": 34.0, ""Jahmyr Gibbs"": 110.0, ""Jayden Reed"": 8.0, ""Jonah Coleman"": 2.0, ""Matthew Golden"": 7.0, ""Patrick Mahomes"": 3.0, ""Rashid Shaheed"": 2.0, ""Terrance Ferguson"": 2.0, ""Wan'Dale Robinson"": 3.0, ""Xavier Worthy"": 4.0}"
bounded_replan,2,4,pass,True,,285.0,13.0,0,0,6,6,0,0,27.07278616824067,Bhayshul Tuten | Chase Brown | D'Andre Swift | Dalton Kincaid | Jahmyr Gibbs | Kenny Gainwell | Michael Wilson | Patrick Mahomes | RJ Harvey | Rome Odunze | Tee Higgins | Wan'Dale Robinson | Xavier Worthy,"{""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""D'Andre Swift"": 33.0, ""Dalton Kincaid"": 2.0, ""Jahmyr Gibbs"": 110.0, ""Kenny Gainwell"": 7.0, ""Michael Wilson"": 11.0, ""Patrick Mahomes"": 3.0, ""RJ Harvey"": 6.0, ""Rome Odunze"": 25.0, ""Tee Higgins"": 36.0, ""Wan'Dale Robinson"": 3.0, ""Xavier Worthy"": 4.0}"
bounded_replan,2,5,buy,True,,293.0,5.0,0,0,2,3,0,0,7.10620433535837,Bhayshul Tuten | Bijan Robinson | Chase Brown | DK Metcalf | George Kittle | Jahmyr Gibbs | Jakobi Meyers | Jaxson Dart | Jayden Reed | Josh Downs | Juwan Johnson | KC Concepcion | Nicholas Singleton,"{""Bhayshul Tuten"": 11.0, ""Bijan Robinson"": 105.0, ""Chase Brown"": 34.0, ""DK Metcalf"": 7.0, ""George Kittle"": 2.0, ""Jahmyr Gibbs"": 110.0, ""Jakobi Meyers"": 7.0, ""Jaxson Dart"": 4.0, ""Jayden Reed"": 2.0, ""Josh Downs"": 5.0, ""Juwan Johnson"": 2.0, ""KC Concepcion"": 2.0, ""Nicholas Singleton"": 2.0}"
