arm,variation,path_index,branch,complete,failure_reason,roster_spend,unused_salary,full_replans,budget_replans,bounded_triggers,bounded_swaps,bounded_rebuilds,guard_rejections,max_projected_slack,roster,salary_map
bounded_replan,6,0,buy,True,,292.0,6.0,0,0,4,3,0,0,6.232564982076724,Bhayshul Tuten | Bijan Robinson | Chase Brown | Jacory Croskey-Merritt | Jahmyr Gibbs | Jalen McMillan | Jaxson Dart | Jordan Addison | Josh Downs | KC Concepcion | Kyle Pitts | Rashid Shaheed | Zach Charbonnet,"{""Bhayshul Tuten"": 11.0, ""Bijan Robinson"": 105.0, ""Chase Brown"": 34.0, ""Jacory Croskey-Merritt"": 5.0, ""Jahmyr Gibbs"": 110.0, ""Jalen McMillan"": 2.0, ""Jaxson Dart"": 2.0, ""Jordan Addison"": 3.0, ""Josh Downs"": 2.0, ""KC Concepcion"": 2.0, ""Kyle Pitts"": 11.0, ""Rashid Shaheed"": 2.0, ""Zach Charbonnet"": 3.0}"
bounded_replan,6,0,pass,True,,275.0,23.0,0,0,9,7,0,0,22.575912464987994,Alec Pierce | Bhayshul Tuten | Chase Brown | Colston Loveland | Harold Fannin Jr. | Jacory Croskey-Merritt | Jahmyr Gibbs | Jameson Williams | Jaxson Dart | Jordan Addison | Makai Lemon | Marvin Harrison Jr. | TreVeyon Henderson,"{""Alec Pierce"": 10.0, ""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""Colston Loveland"": 29.0, ""Harold Fannin Jr."": 11.0, ""Jacory Croskey-Merritt"": 5.0, ""Jahmyr Gibbs"": 110.0, ""Jameson Williams"": 19.0, ""Jaxson Dart"": 2.0, ""Jordan Addison"": 3.0, ""Makai Lemon"": 6.0, ""Marvin Harrison Jr."": 11.0, ""TreVeyon Henderson"": 24.0}"
bounded_replan,6,1,buy,True,,296.0,2.0,0,0,1,1,0,0,7.323125359383766,Alec Pierce | Bhayshul Tuten | Bijan Robinson | Chase Brown | Chig Okonkwo | George Kittle | Jahmyr Gibbs | Jalen McMillan | Jayden Reed | Jordan Love | KC Concepcion | Makai Lemon | Tyler Allgeier,"{""Alec Pierce"": 6.0, ""Bhayshul Tuten"": 11.0, ""Bijan Robinson"": 105.0, ""Chase Brown"": 34.0, ""Chig Okonkwo"": 2.0, ""George Kittle"": 2.0, ""Jahmyr Gibbs"": 110.0, ""Jalen McMillan"": 2.0, ""Jayden Reed"": 7.0, ""Jordan Love"": 2.0, ""KC Concepcion"": 2.0, ""Makai Lemon"": 11.0, ""Tyler Allgeier"": 2.0}"
bounded_replan,6,1,pass,True,,285.0,13.0,0,0,9,6,0,0,15.288949817549849,Alec Pierce | Alvin Kamara | Bhayshul Tuten | Chase Brown | DK Metcalf | David Montgomery | Harold Fannin Jr. | Jahmyr Gibbs | Jameson Williams | Jaxson Dart | KC Concepcion | Quentin Johnston | TreVeyon Henderson,"{""Alec Pierce"": 6.0, ""Alvin Kamara"": 5.0, ""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""DK Metcalf"": 11.0, ""David Montgomery"": 38.0, ""Harold Fannin Jr."": 13.0, ""Jahmyr Gibbs"": 110.0, ""Jameson Williams"": 19.0, ""Jaxson Dart"": 5.0, ""KC Concepcion"": 2.0, ""Quentin Johnston"": 7.0, ""TreVeyon Henderson"": 24.0}"
bounded_replan,6,2,buy,True,,294.0,4.0,0,0,1,1,0,0,6.782932355535593,Bhayshul Tuten | Bijan Robinson | Bo Nix | Braelon Allen | Chase Brown | De'Zhaun Stribling | Jahmyr Gibbs | Jordan Addison | KC Concepcion | Kenyon Sadiq | Omar Cooper Jr. | Rashid Shaheed | Terrance Ferguson,"{""Bhayshul Tuten"": 11.0, ""Bijan Robinson"": 105.0, ""Bo Nix"": 2.0, ""Braelon Allen"": 2.0, ""Chase Brown"": 34.0, ""De'Zhaun Stribling"": 3.0, ""Jahmyr Gibbs"": 110.0, ""Jordan Addison"": 7.0, ""KC Concepcion"": 6.0, ""Kenyon Sadiq"": 2.0, ""Omar Cooper Jr."": 3.0, ""Rashid Shaheed"": 2.0, ""Terrance Ferguson"": 7.0}"
bounded_replan,6,2,pass,True,,277.0,21.0,0,0,7,5,0,0,21.491518562855447,Bhayshul Tuten | Carnell Tate | Chase Brown | Chris Godwin Jr. | Denzel Boston | Harold Fannin Jr. | Jahmyr Gibbs | Jameson Williams | Jayden Daniels | Jaylen Warren | Jordan Addison | Rashid Shaheed | TreVeyon Henderson,"{""Bhayshul Tuten"": 11.0, ""Carnell Tate"": 21.0, ""Chase Brown"": 34.0, ""Chris Godwin Jr."": 3.0, ""Denzel Boston"": 2.0, ""Harold Fannin Jr."": 8.0, ""Jahmyr Gibbs"": 110.0, ""Jameson Williams"": 24.0, ""Jayden Daniels"": 15.0, ""Jaylen Warren"": 18.0, ""Jordan Addison"": 7.0, ""Rashid Shaheed"": 2.0, ""TreVeyon Henderson"": 22.0}"
bounded_replan,6,3,buy,True,,298.0,0.0,0,0,0,0,0,0,3.89989723411918,Bhayshul Tuten | Bijan Robinson | Bo Nix | Cade Otton | Chase Brown | Harold Fannin Jr. | Jahmyr Gibbs | Jalen Coker | Jordan Addison | KC Concepcion | Rashid Shaheed | Xavier Worthy | Zach Charbonnet,"{""Bhayshul Tuten"": 11.0, ""Bijan Robinson"": 105.0, ""Bo Nix"": 2.0, ""Cade Otton"": 2.0, ""Chase Brown"": 34.0, ""Harold Fannin Jr."": 10.0, ""Jahmyr Gibbs"": 110.0, ""Jalen Coker"": 3.0, ""Jordan Addison"": 7.0, ""KC Concepcion"": 4.0, ""Rashid Shaheed"": 3.0, ""Xavier Worthy"": 5.0, ""Zach Charbonnet"": 2.0}"
bounded_replan,6,3,pass,True,,272.0,26.0,0,0,10,7,0,0,29.624997268202662,Bhayshul Tuten | Chase Brown | Christian Watson | DK Metcalf | Harold Fannin Jr. | J.K. Dobbins | Jahmyr Gibbs | Jayden Reed | KC Concepcion | Lamar Jackson | Makai Lemon | Parker Washington | TreVeyon Henderson,"{""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""Christian Watson"": 18.0, ""DK Metcalf"": 11.0, ""Harold Fannin Jr."": 10.0, ""J.K. Dobbins"": 8.0, ""Jahmyr Gibbs"": 110.0, ""Jayden Reed"": 4.0, ""KC Concepcion"": 4.0, ""Lamar Jackson"": 19.0, ""Makai Lemon"": 9.0, ""Parker Washington"": 12.0, ""TreVeyon Henderson"": 22.0}"
bounded_replan,6,4,buy,True,,297.0,1.0,0,0,0,0,0,0,5.322377247522354,Bhayshul Tuten | Bijan Robinson | Chase Brown | Jahmyr Gibbs | Jaydon Blue | Jonah Coleman | Jordan Addison | Josh Downs | KC Concepcion | Makai Lemon | Patrick Mahomes | T.J. Hockenson | Terrance Ferguson,"{""Bhayshul Tuten"": 11.0, ""Bijan Robinson"": 105.0, ""Chase Brown"": 34.0, ""Jahmyr Gibbs"": 110.0, ""Jaydon Blue"": 3.0, ""Jonah Coleman"": 2.0, ""Jordan Addison"": 5.0, ""Josh Downs"": 7.0, ""KC Concepcion"": 4.0, ""Makai Lemon"": 7.0, ""Patrick Mahomes"": 4.0, ""T.J. Hockenson"": 2.0, ""Terrance Ferguson"": 3.0}"
bounded_replan,6,4,pass,True,,244.0,54.0,0,0,12,9,0,0,51.976415682535475,Bhayshul Tuten | Brian Thomas Jr. | Chase Brown | Christian Watson | DK Metcalf | Dak Prescott | Jahmyr Gibbs | KC Concepcion | Makai Lemon | Mark Andrews | Quentin Johnston | RJ Harvey | TreVeyon Henderson,"{""Bhayshul Tuten"": 11.0, ""Brian Thomas Jr."": 8.0, ""Chase Brown"": 34.0, ""Christian Watson"": 14.0, ""DK Metcalf"": 15.0, ""Dak Prescott"": 7.0, ""Jahmyr Gibbs"": 110.0, ""KC Concepcion"": 4.0, ""Makai Lemon"": 7.0, ""Mark Andrews"": 2.0, ""Quentin Johnston"": 5.0, ""RJ Harvey"": 8.0, ""TreVeyon Henderson"": 19.0}"
