arm,variation,path_index,branch,complete,failure_reason,roster_spend,unused_salary,full_replans,budget_replans,bounded_triggers,bounded_swaps,bounded_rebuilds,guard_rejections,max_projected_slack,roster,salary_map
baseline,4,0,buy,True,,232.0,66.0,0,0,0,0,0,0,0.0,Alvin Kamara | Bhayshul Tuten | Chase Brown | Courtland Sutton | Deebo Samuel Sr. | George Kittle | Jahmyr Gibbs | Jakobi Meyers | Jalen Hurts | Jameson Williams | Rhamondre Stevenson | Terrance Ferguson | Zach Charbonnet,"{""Alvin Kamara"": 3.0, ""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""Courtland Sutton"": 7.0, ""Deebo Samuel Sr."": 2.0, ""George Kittle"": 3.0, ""Jahmyr Gibbs"": 110.0, ""Jakobi Meyers"": 4.0, ""Jalen Hurts"": 12.0, ""Jameson Williams"": 23.0, ""Rhamondre Stevenson"": 14.0, ""Terrance Ferguson"": 5.0, ""Zach Charbonnet"": 4.0}"
baseline,4,0,pass,True,,212.0,86.0,0,0,0,0,0,0,0.0,A.J. Brown | Alvin Kamara | Bhayshul Tuten | Chase Brown | Courtland Sutton | Deebo Samuel Sr. | George Kittle | Jakobi Meyers | Jalen Hurts | Jameson Williams | Jeremiyah Love | Rhamondre Stevenson | Zach Charbonnet,"{""A.J. Brown"": 38.0, ""Alvin Kamara"": 3.0, ""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""Courtland Sutton"": 7.0, ""Deebo Samuel Sr."": 2.0, ""George Kittle"": 3.0, ""Jakobi Meyers"": 4.0, ""Jalen Hurts"": 12.0, ""Jameson Williams"": 23.0, ""Jeremiyah Love"": 57.0, ""Rhamondre Stevenson"": 14.0, ""Zach Charbonnet"": 4.0}"
baseline,4,1,buy,True,,251.0,47.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Carnell Tate | Chase Brown | Chuba Hubbard | Dallas Goedert | George Kittle | Jahmyr Gibbs | Jameson Williams | Jayden Daniels | Matthew Golden | Michael Wilson | Rome Odunze | Zach Charbonnet,"{""Bhayshul Tuten"": 11.0, ""Carnell Tate"": 14.0, ""Chase Brown"": 34.0, ""Chuba Hubbard"": 6.0, ""Dallas Goedert"": 4.0, ""George Kittle"": 2.0, ""Jahmyr Gibbs"": 110.0, ""Jameson Williams"": 23.0, ""Jayden Daniels"": 11.0, ""Matthew Golden"": 5.0, ""Michael Wilson"": 8.0, ""Rome Odunze"": 20.0, ""Zach Charbonnet"": 3.0}"
baseline,4,1,pass,True,,213.0,85.0,0,0,0,0,0,0,0.0,Alvin Kamara | Bhayshul Tuten | Carnell Tate | Chase Brown | Chuba Hubbard | Dallas Goedert | Derrick Henry | George Kittle | Jameson Williams | Jayden Daniels | Matthew Golden | Tee Higgins | Zach Charbonnet,"{""Alvin Kamara"": 1.0, ""Bhayshul Tuten"": 11.0, ""Carnell Tate"": 14.0, ""Chase Brown"": 34.0, ""Chuba Hubbard"": 6.0, ""Dallas Goedert"": 4.0, ""Derrick Henry"": 71.0, ""George Kittle"": 2.0, ""Jameson Williams"": 23.0, ""Jayden Daniels"": 11.0, ""Matthew Golden"": 5.0, ""Tee Higgins"": 28.0, ""Zach Charbonnet"": 3.0}"
baseline,4,2,buy,True,,241.0,57.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Carnell Tate | Chase Brown | Dak Prescott | Harold Fannin Jr. | Jahmyr Gibbs | Jakobi Meyers | Jameson Williams | Jayden Reed | Rashid Shaheed | Rico Dowdle | Wan'Dale Robinson | Zach Charbonnet,"{""Bhayshul Tuten"": 11.0, ""Carnell Tate"": 14.0, ""Chase Brown"": 34.0, ""Dak Prescott"": 6.0, ""Harold Fannin Jr."": 11.0, ""Jahmyr Gibbs"": 110.0, ""Jakobi Meyers"": 8.0, ""Jameson Williams"": 21.0, ""Jayden Reed"": 5.0, ""Rashid Shaheed"": 3.0, ""Rico Dowdle"": 8.0, ""Wan'Dale Robinson"": 5.0, ""Zach Charbonnet"": 5.0}"
baseline,4,2,pass,True,,244.0,54.0,0,0,0,0,0,0,0.0,A.J. Brown | Bhayshul Tuten | Carnell Tate | Chase Brown | Dak Prescott | David Montgomery | Harold Fannin Jr. | Jameson Williams | Malik Nabers | Parker Washington | Rashid Shaheed | Rico Dowdle | Zach Charbonnet,"{""A.J. Brown"": 41.0, ""Bhayshul Tuten"": 11.0, ""Carnell Tate"": 14.0, ""Chase Brown"": 34.0, ""Dak Prescott"": 6.0, ""David Montgomery"": 28.0, ""Harold Fannin Jr."": 11.0, ""Jameson Williams"": 21.0, ""Malik Nabers"": 50.0, ""Parker Washington"": 12.0, ""Rashid Shaheed"": 3.0, ""Rico Dowdle"": 8.0, ""Zach Charbonnet"": 5.0}"
baseline,4,3,buy,True,,277.0,21.0,0,0,0,0,0,0,0.0,Alvin Kamara | Bhayshul Tuten | Chase Brown | David Montgomery | Deebo Samuel Sr. | Harold Fannin Jr. | Jahmyr Gibbs | Jalen Hurts | Jameson Williams | Michael Wilson | Rashid Shaheed | Rico Dowdle | Tee Higgins,"{""Alvin Kamara"": 3.0, ""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""David Montgomery"": 37.0, ""Deebo Samuel Sr."": 3.0, ""Harold Fannin Jr."": 9.0, ""Jahmyr Gibbs"": 110.0, ""Jalen Hurts"": 8.0, ""Jameson Williams"": 16.0, ""Michael Wilson"": 5.0, ""Rashid Shaheed"": 2.0, ""Rico Dowdle"": 12.0, ""Tee Higgins"": 27.0}"
baseline,4,3,pass,True,,221.0,77.0,0,0,0,0,0,0,0.0,Alvin Kamara | Bhayshul Tuten | Chase Brown | Christian Watson | Chuba Hubbard | David Montgomery | Emeka Egbuka | Harold Fannin Jr. | Jalen Hurts | Jameson Williams | Rashid Shaheed | Rico Dowdle | Tee Higgins,"{""Alvin Kamara"": 3.0, ""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""Christian Watson"": 16.0, ""Chuba Hubbard"": 6.0, ""David Montgomery"": 37.0, ""Emeka Egbuka"": 40.0, ""Harold Fannin Jr."": 9.0, ""Jalen Hurts"": 8.0, ""Jameson Williams"": 16.0, ""Rashid Shaheed"": 2.0, ""Rico Dowdle"": 12.0, ""Tee Higgins"": 27.0}"
baseline,4,4,buy,True,,227.0,71.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Chase Brown | Harold Fannin Jr. | Jahmyr Gibbs | Jalen Hurts | Jameson Williams | Jayden Reed | Jonathon Brooks | Josh Downs | KC Concepcion | Omar Cooper Jr. | Rico Dowdle | Zach Charbonnet,"{""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""Harold Fannin Jr."": 10.0, ""Jahmyr Gibbs"": 110.0, ""Jalen Hurts"": 7.0, ""Jameson Williams"": 23.0, ""Jayden Reed"": 5.0, ""Jonathon Brooks"": 6.0, ""Josh Downs"": 5.0, ""KC Concepcion"": 2.0, ""Omar Cooper Jr."": 2.0, ""Rico Dowdle"": 9.0, ""Zach Charbonnet"": 3.0}"
baseline,4,4,pass,True,,215.0,83.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Blake Corum | Chase Brown | Chris Olave | Drake Maye | Harold Fannin Jr. | Jameson Williams | Jonathon Brooks | Josh Downs | Malik Nabers | Omar Cooper Jr. | Rico Dowdle | Zach Charbonnet,"{""Bhayshul Tuten"": 11.0, ""Blake Corum"": 5.0, ""Chase Brown"": 34.0, ""Chris Olave"": 40.0, ""Drake Maye"": 20.0, ""Harold Fannin Jr."": 10.0, ""Jameson Williams"": 23.0, ""Jonathon Brooks"": 6.0, ""Josh Downs"": 5.0, ""Malik Nabers"": 47.0, ""Omar Cooper Jr."": 2.0, ""Rico Dowdle"": 9.0, ""Zach Charbonnet"": 3.0}"
baseline,4,5,buy,True,,235.0,63.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Chase Brown | Deebo Samuel Sr. | Harold Fannin Jr. | Jahmyr Gibbs | Jalen Hurts | Jameson Williams | Jordan Addison | Jordan James | Khalil Shakir | Omar Cooper Jr. | Rico Dowdle | Wan'Dale Robinson,"{""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""Deebo Samuel Sr."": 2.0, ""Harold Fannin Jr."": 6.0, ""Jahmyr Gibbs"": 110.0, ""Jalen Hurts"": 14.0, ""Jameson Williams"": 22.0, ""Jordan Addison"": 6.0, ""Jordan James"": 4.0, ""Khalil Shakir"": 3.0, ""Omar Cooper Jr."": 2.0, ""Rico Dowdle"": 13.0, ""Wan'Dale Robinson"": 8.0}"
