arm,variation,path_index,branch,complete,failure_reason,roster_spend,unused_salary,full_replans,budget_replans,bounded_triggers,bounded_swaps,bounded_rebuilds,guard_rejections,max_projected_slack,roster,salary_map
baseline,5,0,buy,True,,258.0,40.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Chase Brown | Christian Watson | D'Andre Swift | Dak Prescott | Isaiah Likely | Jahmyr Gibbs | Jonathon Brooks | Jordan Addison | Kyle Pitts | Rome Odunze | Wan'Dale Robinson | Zach Charbonnet,"{""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""Christian Watson"": 18.0, ""D'Andre Swift"": 27.0, ""Dak Prescott"": 8.0, ""Isaiah Likely"": 8.0, ""Jahmyr Gibbs"": 110.0, ""Jonathon Brooks"": 8.0, ""Jordan Addison"": 3.0, ""Kyle Pitts"": 6.0, ""Rome Odunze"": 15.0, ""Wan'Dale Robinson"": 8.0, ""Zach Charbonnet"": 2.0}"
baseline,5,0,pass,True,,227.0,71.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Chase Brown | Christian Watson | D'Andre Swift | Dak Prescott | Derrick Henry | Emeka Egbuka | Jonathon Brooks | Jordan Addison | Josh Downs | Kyle Pitts | Wan'Dale Robinson | Zach Charbonnet,"{""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""Christian Watson"": 18.0, ""D'Andre Swift"": 27.0, ""Dak Prescott"": 8.0, ""Derrick Henry"": 63.0, ""Emeka Egbuka"": 31.0, ""Jonathon Brooks"": 8.0, ""Jordan Addison"": 3.0, ""Josh Downs"": 8.0, ""Kyle Pitts"": 6.0, ""Wan'Dale Robinson"": 8.0, ""Zach Charbonnet"": 2.0}"
baseline,5,1,buy,True,,258.0,40.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Chase Brown | D'Andre Swift | DK Metcalf | Dak Prescott | Jahmyr Gibbs | Jordan Addison | Kenny Gainwell | Kyle Pitts | Romeo Doubs | Stefon Diggs | Tony Pollard | Wan'Dale Robinson,"{""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""D'Andre Swift"": 30.0, ""DK Metcalf"": 15.0, ""Dak Prescott"": 2.0, ""Jahmyr Gibbs"": 110.0, ""Jordan Addison"": 9.0, ""Kenny Gainwell"": 6.0, ""Kyle Pitts"": 13.0, ""Romeo Doubs"": 2.0, ""Stefon Diggs"": 2.0, ""Tony Pollard"": 16.0, ""Wan'Dale Robinson"": 8.0}"
baseline,5,1,pass,True,,182.0,116.0,0,0,0,0,0,0,0.0,Aaron Jones | Bhayshul Tuten | Chase Brown | Christian Watson | D'Andre Swift | DK Metcalf | Jayden Daniels | Jordan Addison | Josh Downs | Kenny Gainwell | Kyle Pitts | RJ Harvey | Wan'Dale Robinson,"{""Aaron Jones"": 4.0, ""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""Christian Watson"": 20.0, ""D'Andre Swift"": 30.0, ""DK Metcalf"": 15.0, ""Jayden Daniels"": 18.0, ""Jordan Addison"": 9.0, ""Josh Downs"": 8.0, ""Kenny Gainwell"": 6.0, ""Kyle Pitts"": 13.0, ""RJ Harvey"": 6.0, ""Wan'Dale Robinson"": 8.0}"
baseline,5,2,buy,True,,269.0,29.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Caleb Williams | Chase Brown | Christian Watson | D'Andre Swift | Jacory Croskey-Merritt | Jahmyr Gibbs | Jordan Addison | Josh Downs | Kenny Gainwell | Kyle Pitts | Luther Burden III | Wan'Dale Robinson,"{""Bhayshul Tuten"": 11.0, ""Caleb Williams"": 4.0, ""Chase Brown"": 34.0, ""Christian Watson"": 19.0, ""D'Andre Swift"": 32.0, ""Jacory Croskey-Merritt"": 7.0, ""Jahmyr Gibbs"": 110.0, ""Jordan Addison"": 4.0, ""Josh Downs"": 4.0, ""Kenny Gainwell"": 7.0, ""Kyle Pitts"": 9.0, ""Luther Burden III"": 20.0, ""Wan'Dale Robinson"": 8.0}"
baseline,5,2,pass,True,,227.0,71.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Caleb Williams | Chase Brown | Chris Olave | Christian Watson | D'Andre Swift | Jordan Addison | Kenny Gainwell | Kyle Pitts | Kyren Williams | Stefon Diggs | Travis Kelce | Wan'Dale Robinson,"{""Bhayshul Tuten"": 11.0, ""Caleb Williams"": 4.0, ""Chase Brown"": 34.0, ""Chris Olave"": 37.0, ""Christian Watson"": 19.0, ""D'Andre Swift"": 32.0, ""Jordan Addison"": 4.0, ""Kenny Gainwell"": 7.0, ""Kyle Pitts"": 9.0, ""Kyren Williams"": 52.0, ""Stefon Diggs"": 4.0, ""Travis Kelce"": 6.0, ""Wan'Dale Robinson"": 8.0}"
baseline,5,3,buy,True,,240.0,58.0,0,0,0,0,0,0,0.0,Alec Pierce | Bhayshul Tuten | Chase Brown | Christian Watson | DK Metcalf | Jahmyr Gibbs | Jared Goff | Jonathon Brooks | Jordan Addison | Kyle Pitts | Stefon Diggs | Tony Pollard | Zach Charbonnet,"{""Alec Pierce"": 9.0, ""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""Christian Watson"": 14.0, ""DK Metcalf"": 11.0, ""Jahmyr Gibbs"": 110.0, ""Jared Goff"": 2.0, ""Jonathon Brooks"": 10.0, ""Jordan Addison"": 5.0, ""Kyle Pitts"": 13.0, ""Stefon Diggs"": 3.0, ""Tony Pollard"": 16.0, ""Zach Charbonnet"": 2.0}"
baseline,5,3,pass,True,,186.0,112.0,0,0,0,0,0,0,0.0,Aaron Jones | Alec Pierce | Bhayshul Tuten | Chase Brown | Christian Watson | DK Metcalf | Derrick Henry | Jared Goff | Jonathon Brooks | Jordan Addison | Kyle Pitts | Stefon Diggs | Zach Charbonnet,"{""Aaron Jones"": 5.0, ""Alec Pierce"": 9.0, ""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""Christian Watson"": 14.0, ""DK Metcalf"": 11.0, ""Derrick Henry"": 67.0, ""Jared Goff"": 2.0, ""Jonathon Brooks"": 10.0, ""Jordan Addison"": 5.0, ""Kyle Pitts"": 13.0, ""Stefon Diggs"": 3.0, ""Zach Charbonnet"": 2.0}"
baseline,5,4,buy,True,,226.0,72.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Chase Brown | Chris Godwin Jr. | Christian Watson | Dylan Sampson | Jadarian Price | Jahmyr Gibbs | Jaxson Dart | Jordan Addison | Khalil Shakir | Kyle Pitts | Quentin Johnston | Rashid Shaheed,"{""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""Chris Godwin Jr."": 8.0, ""Christian Watson"": 15.0, ""Dylan Sampson"": 2.0, ""Jadarian Price"": 22.0, ""Jahmyr Gibbs"": 110.0, ""Jaxson Dart"": 3.0, ""Jordan Addison"": 3.0, ""Khalil Shakir"": 2.0, ""Kyle Pitts"": 10.0, ""Quentin Johnston"": 4.0, ""Rashid Shaheed"": 2.0}"
baseline,5,4,pass,True,,191.0,107.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Chase Brown | Chris Godwin Jr. | Christian Watson | Derrick Henry | Dylan Sampson | Jaxson Dart | Jordan Addison | Khalil Shakir | Kyle Pitts | Quentin Johnston | Rashid Shaheed | Tony Pollard,"{""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""Chris Godwin Jr."": 8.0, ""Christian Watson"": 15.0, ""Derrick Henry"": 73.0, ""Dylan Sampson"": 2.0, ""Jaxson Dart"": 3.0, ""Jordan Addison"": 3.0, ""Khalil Shakir"": 2.0, ""Kyle Pitts"": 10.0, ""Quentin Johnston"": 4.0, ""Rashid Shaheed"": 2.0, ""Tony Pollard"": 24.0}"
baseline,5,5,buy,True,,222.0,76.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Chase Brown | Courtland Sutton | Dak Prescott | Jahmyr Gibbs | Jordan Addison | Khalil Shakir | Kyle Pitts | Michael Wilson | RJ Harvey | Romeo Doubs | TreVeyon Henderson | Zach Charbonnet,"{""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""Courtland Sutton"": 8.0, ""Dak Prescott"": 7.0, ""Jahmyr Gibbs"": 110.0, ""Jordan Addison"": 6.0, ""Khalil Shakir"": 2.0, ""Kyle Pitts"": 11.0, ""Michael Wilson"": 5.0, ""RJ Harvey"": 6.0, ""Romeo Doubs"": 2.0, ""TreVeyon Henderson"": 18.0, ""Zach Charbonnet"": 2.0}"
