arm,variation,path_index,branch,complete,failure_reason,roster_spend,unused_salary,full_replans,budget_replans,bounded_triggers,bounded_swaps,bounded_rebuilds,guard_rejections,max_projected_slack,roster,salary_map
baseline,14,0,buy,True,,298.0,0.0,0,0,0,0,0,0,0.0,Alvin Kamara | Bhayshul Tuten | Bijan Robinson | Bo Nix | Chase Brown | Chris Godwin Jr. | Denzel Boston | George Kittle | Jahmyr Gibbs | Jakobi Meyers | Kyle Pitts | Mike Washington Jr. | Wan'Dale Robinson,"{""Alvin Kamara"": 2.0, ""Bhayshul Tuten"": 11.0, ""Bijan Robinson"": 105.0, ""Bo Nix"": 2.0, ""Chase Brown"": 34.0, ""Chris Godwin Jr."": 4.0, ""Denzel Boston"": 2.0, ""George Kittle"": 6.0, ""Jahmyr Gibbs"": 110.0, ""Jakobi Meyers"": 8.0, ""Kyle Pitts"": 4.0, ""Mike Washington Jr."": 2.0, ""Wan'Dale Robinson"": 8.0}"
baseline,14,0,pass,True,,254.0,44.0,0,0,0,0,0,0,0.0,Alvin Kamara | Bhayshul Tuten | Chase Brown | Chris Godwin Jr. | D'Andre Swift | DK Metcalf | George Kittle | Jahmyr Gibbs | Jakobi Meyers | Jordan Addison | Kyle Pitts | Patrick Mahomes | TreVeyon Henderson,"{""Alvin Kamara"": 2.0, ""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""Chris Godwin Jr."": 4.0, ""D'Andre Swift"": 33.0, ""DK Metcalf"": 9.0, ""George Kittle"": 6.0, ""Jahmyr Gibbs"": 110.0, ""Jakobi Meyers"": 8.0, ""Jordan Addison"": 10.0, ""Kyle Pitts"": 4.0, ""Patrick Mahomes"": 2.0, ""TreVeyon Henderson"": 21.0}"
baseline,14,1,buy,True,,295.0,3.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Bijan Robinson | Chase Brown | George Kittle | Ja'Kobi Lane | Jahmyr Gibbs | Jakobi Meyers | Jerry Jeudy | Jordan Addison | Josh Downs | Justin Herbert | Xavier Worthy | Zach Charbonnet,"{""Bhayshul Tuten"": 11.0, ""Bijan Robinson"": 105.0, ""Chase Brown"": 34.0, ""George Kittle"": 7.0, ""Ja'Kobi Lane"": 2.0, ""Jahmyr Gibbs"": 110.0, ""Jakobi Meyers"": 7.0, ""Jerry Jeudy"": 2.0, ""Jordan Addison"": 7.0, ""Josh Downs"": 3.0, ""Justin Herbert"": 2.0, ""Xavier Worthy"": 3.0, ""Zach Charbonnet"": 2.0}"
baseline,14,1,pass,True,,271.0,27.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Chase Brown | DJ Moore | George Kittle | Jacory Croskey-Merritt | Jahmyr Gibbs | Jameson Williams | Jayden Daniels | Josh Downs | Luther Burden III | RJ Harvey | Tony Pollard | Xavier Worthy,"{""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""DJ Moore"": 19.0, ""George Kittle"": 7.0, ""Jacory Croskey-Merritt"": 6.0, ""Jahmyr Gibbs"": 110.0, ""Jameson Williams"": 15.0, ""Jayden Daniels"": 11.0, ""Josh Downs"": 3.0, ""Luther Burden III"": 21.0, ""RJ Harvey"": 7.0, ""Tony Pollard"": 24.0, ""Xavier Worthy"": 3.0}"
baseline,14,2,buy,True,,292.0,6.0,0,0,0,0,0,0,0.0,Alvin Kamara | Bhayshul Tuten | Bijan Robinson | Chase Brown | Dalton Schultz | George Kittle | Jahmyr Gibbs | Jordan Addison | Nicholas Singleton | Quentin Johnston | Romeo Doubs | Sam Darnold | Tre Harris,"{""Alvin Kamara"": 2.0, ""Bhayshul Tuten"": 11.0, ""Bijan Robinson"": 105.0, ""Chase Brown"": 34.0, ""Dalton Schultz"": 4.0, ""George Kittle"": 7.0, ""Jahmyr Gibbs"": 110.0, ""Jordan Addison"": 7.0, ""Nicholas Singleton"": 2.0, ""Quentin Johnston"": 4.0, ""Romeo Doubs"": 2.0, ""Sam Darnold"": 2.0, ""Tre Harris"": 2.0}"
baseline,14,2,pass,True,,267.0,31.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Brian Thomas Jr. | Chase Brown | D'Andre Swift | DK Metcalf | George Kittle | Jahmyr Gibbs | Jayden Daniels | Jordan Addison | Michael Wilson | Quentin Johnston | Romeo Doubs | Tony Pollard,"{""Bhayshul Tuten"": 11.0, ""Brian Thomas Jr."": 14.0, ""Chase Brown"": 34.0, ""D'Andre Swift"": 28.0, ""DK Metcalf"": 8.0, ""George Kittle"": 7.0, ""Jahmyr Gibbs"": 110.0, ""Jayden Daniels"": 16.0, ""Jordan Addison"": 7.0, ""Michael Wilson"": 8.0, ""Quentin Johnston"": 4.0, ""Romeo Doubs"": 2.0, ""Tony Pollard"": 18.0}"
baseline,14,3,buy,True,,291.0,7.0,0,0,0,0,0,0,0.0,Alvin Kamara | Bhayshul Tuten | Bijan Robinson | Chase Brown | Dalton Kincaid | Devaughn Vele | Ja'Kobi Lane | Jahmyr Gibbs | Justin Herbert | Romeo Doubs | Samaje Perine | Travis Kelce | Wan'Dale Robinson,"{""Alvin Kamara"": 3.0, ""Bhayshul Tuten"": 11.0, ""Bijan Robinson"": 105.0, ""Chase Brown"": 34.0, ""Dalton Kincaid"": 2.0, ""Devaughn Vele"": 2.0, ""Ja'Kobi Lane"": 2.0, ""Jahmyr Gibbs"": 110.0, ""Justin Herbert"": 6.0, ""Romeo Doubs"": 2.0, ""Samaje Perine"": 2.0, ""Travis Kelce"": 4.0, ""Wan'Dale Robinson"": 8.0}"
baseline,14,3,pass,True,,279.0,19.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Chase Brown | DK Metcalf | Dalton Kincaid | Jahmyr Gibbs | Jayden Daniels | Jaylen Warren | Michael Wilson | Parker Washington | RJ Harvey | Rhamondre Stevenson | Romeo Doubs | Tetairoa McMillan,"{""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""DK Metcalf"": 15.0, ""Dalton Kincaid"": 2.0, ""Jahmyr Gibbs"": 110.0, ""Jayden Daniels"": 17.0, ""Jaylen Warren"": 14.0, ""Michael Wilson"": 7.0, ""Parker Washington"": 9.0, ""RJ Harvey"": 8.0, ""Rhamondre Stevenson"": 18.0, ""Romeo Doubs"": 2.0, ""Tetairoa McMillan"": 32.0}"
baseline,14,4,buy,True,,291.0,7.0,0,0,0,0,0,0,0.0,Alvin Kamara | Bhayshul Tuten | Bijan Robinson | Chase Brown | Dak Prescott | Jahmyr Gibbs | Jakobi Meyers | Jayden Reed | KC Concepcion | Khalil Shakir | Kyle Monangai | Travis Kelce | Xavier Worthy,"{""Alvin Kamara"": 2.0, ""Bhayshul Tuten"": 11.0, ""Bijan Robinson"": 105.0, ""Chase Brown"": 34.0, ""Dak Prescott"": 3.0, ""Jahmyr Gibbs"": 110.0, ""Jakobi Meyers"": 6.0, ""Jayden Reed"": 3.0, ""KC Concepcion"": 3.0, ""Khalil Shakir"": 2.0, ""Kyle Monangai"": 4.0, ""Travis Kelce"": 2.0, ""Xavier Worthy"": 6.0}"
baseline,14,4,pass,True,,262.0,36.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Chase Brown | Harold Fannin Jr. | Jahmyr Gibbs | Jakobi Meyers | Jayden Daniels | Jayden Reed | Jaylen Waddle | KC Concepcion | Khalil Shakir | Kyle Monangai | Tony Pollard | TreVeyon Henderson,"{""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""Harold Fannin Jr."": 17.0, ""Jahmyr Gibbs"": 110.0, ""Jakobi Meyers"": 6.0, ""Jayden Daniels"": 16.0, ""Jayden Reed"": 3.0, ""Jaylen Waddle"": 23.0, ""KC Concepcion"": 3.0, ""Khalil Shakir"": 2.0, ""Kyle Monangai"": 4.0, ""Tony Pollard"": 11.0, ""TreVeyon Henderson"": 22.0}"
baseline,14,5,buy,True,,296.0,2.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Bijan Robinson | Chase Brown | Dalton Kincaid | George Kittle | Jahmyr Gibbs | Jakobi Meyers | Jordan James | Jordan Love | Josh Downs | KC Concepcion | Makai Lemon | Quentin Johnston,"{""Bhayshul Tuten"": 11.0, ""Bijan Robinson"": 105.0, ""Chase Brown"": 34.0, ""Dalton Kincaid"": 2.0, ""George Kittle"": 7.0, ""Jahmyr Gibbs"": 110.0, ""Jakobi Meyers"": 3.0, ""Jordan James"": 2.0, ""Jordan Love"": 2.0, ""Josh Downs"": 3.0, ""KC Concepcion"": 4.0, ""Makai Lemon"": 8.0, ""Quentin Johnston"": 5.0}"
