league,method,tier,period,n,ppg_crps_delta,ppg_crps_relative_delta,contribution_crps_relative_delta,played_crps_relative_delta,abs_played_bias_degradation,abs_extended_absence_calibration_degradation,ppg_80_coverage_delta
beta,add_log_adp,core_broad,development_2017_2022,936,-0.00024082505139766397,-0.00012580252222282873,-0.0004669253020832542,-0.00098394002891955,-0.0022105944101286634,9.801773613854481e-05,-0.002136752136752129
beta,add_log_adp,core_broad,temporal_2023_2025,468,0.0003467827784187083,0.00017423953932071967,0.00027856677979953837,-0.00024610368883293265,0.0012923857953725665,-3.972594472505253e-05,0.0
beta,add_log_adp,core_main,development_2017_2022,720,-0.00010971203657961226,-5.674919439235815e-05,-0.0003332880780553271,-0.0009300923520504378,-0.0022462647912905587,-6.750831809770874e-05,-0.004166666666666652
beta,add_log_adp,core_main,temporal_2023_2025,360,0.0007627177740947566,0.0003777840036740532,6.988911195926484e-05,-0.00047905357129540693,-0.0019044370235043392,9.310888664831873e-05,0.0
beta,add_log_adp,core_main_qb1,development_2017_2022,718,-9.964340260171234e-05,-5.1576089874827424e-05,-0.0002975969765411923,-0.0008590966233726904,-0.0018883721831005063,-9.020955477587189e-05,-0.004178272980501441
beta,add_log_adp,core_main_qb1,temporal_2023_2025,358,0.0008073480594108506,0.0004049525564153722,0.00019998091782680305,-0.0002614194990668839,-0.0012884884951881127,0.00012102177753876842,0.0
beta,add_log_adp,core_strict,development_2017_2022,504,-3.434379240196961e-05,-1.7824357217866016e-05,-0.0006008060426389017,-0.00033864805546757193,-0.0014614286022335832,-0.00010485940462989785,-0.005952380952380931
beta,add_log_adp,core_strict,temporal_2023_2025,252,0.0011466114427836072,0.0006112740928390092,0.00043320794574941424,-0.0004108918803373829,0.0007837010862911595,-3.973022162137574e-06,-0.003968253968253954
beta,add_log_adp,depth_main,development_2017_2022,1039,0.00037684922965897094,0.0002281139840638602,4.169505152096242e-05,-0.000631098485611381,-0.005010846593548779,-0.0005142977085884071,0.0009624639076034613
beta,add_log_adp,depth_main,temporal_2023_2025,528,5.741822074267766e-05,3.1057021332214774e-05,0.0003268693959643798,0.0003841156605273177,-0.0029316541493353155,0.0004924147033530946,0.0037878787878787845
dk,add_log_adp,core_broad,development_2017_2022,936,-1.569534111656168e-05,-6.477903317203548e-06,-0.0001503677340431997,0.000685071071648613,9.14010123247988e-05,-3.535643954377665e-05,-0.002136752136752129
dk,add_log_adp,core_broad,temporal_2023_2025,468,-0.0004890811193272171,-0.00020592128738350368,0.0007434100742849115,-0.000489085027557401,0.0006618350173354434,-8.527318921508487e-05,0.008547008547008517
dk,add_log_adp,core_main,development_2017_2022,720,0.0004181421282747344,0.00016723112193961498,6.588540390595199e-05,0.0011066940477733045,0.0003188467399781181,-0.00016497009362710646,-0.002777777777777768
dk,add_log_adp,core_main,temporal_2023_2025,360,-0.0005797592759266834,-0.00023721504085194578,0.0008253154868673729,-0.0011594819090749997,-0.0009935258529647356,4.3844242542182e-05,0.008333333333333415
dk,add_log_adp,core_main_qb1,development_2017_2022,718,4.053076816257217e-05,1.6234771840428763e-05,0.00010495257307430172,0.0012198346891323375,0.0007940330067499196,-0.00020572896239925975,-0.0027855153203342198
dk,add_log_adp,core_main_qb1,temporal_2023_2025,358,-0.0002935051516979037,-0.00012125472623358835,0.0008649380045926414,-0.0010682947364923923,-0.0006364019332306958,9.524018394081735e-05,0.008379888268156388
dk,add_log_adp,core_strict,development_2017_2022,504,-0.0002863029804314188,-0.000108475396585761,-7.717609629953603e-05,0.0012767096770691655,0.0014905509240507597,-0.00022115344465847842,-0.003968253968253954
