scenario,stage,arm,branch,paths,completion_rate,failures,mean_spend,mean_unused,median_unused,p90_unused,max_unused,cap_legal_rate,position_legal_rate,top_n_legal_rate,mean_bounded_swaps,mean_bounded_rebuilds
early_brown_tuten_gibbs,early,baseline,buy,48,0.9791666666666666,1,251.06382978723406,46.93617021276596,48.0,67.19999999999999,87.0,1.0,1.0,1.0,0.0,0.0
early_brown_tuten_gibbs,early,baseline,pass,48,1.0,0,212.20833333333334,85.79166666666667,89.0,130.3,160.0,1.0,1.0,1.0,0.0,0.0
early_brown_tuten_gibbs,early,bounded,buy,48,1.0,0,279.7291666666667,18.270833333333332,16.0,34.400000000000034,47.0,1.0,1.0,1.0,8.3125,0.041666666666666664
early_brown_tuten_gibbs,early,bounded,pass,48,1.0,0,271.375,26.625,26.5,45.20000000000002,81.0,1.0,1.0,1.0,10.791666666666666,0.2708333333333333
late_cap_squeeze_pitts,late_cap_squeeze,baseline,buy,48,0.9791666666666666,1,296.4255319148936,1.574468085106383,2.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0
late_cap_squeeze_pitts,late_cap_squeeze,baseline,pass,48,1.0,0,294.3333333333333,3.6666666666666665,4.0,6.300000000000004,7.0,1.0,1.0,1.0,0.0,0.0
late_cap_squeeze_pitts,late_cap_squeeze,bounded,buy,48,0.9791666666666666,1,296.4255319148936,1.574468085106383,2.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0
late_cap_squeeze_pitts,late_cap_squeeze,bounded,pass,48,1.0,0,294.3541666666667,3.6458333333333335,3.0,6.0,10.0,1.0,1.0,1.0,1.3541666666666667,0.08333333333333333
middle_balanced_bowers,middle,baseline,buy,48,1.0,0,270.3125,27.6875,26.0,43.300000000000004,47.0,1.0,1.0,1.0,0.0,0.0
middle_balanced_bowers,middle,baseline,pass,48,1.0,0,250.91666666666666,47.083333333333336,42.5,75.80000000000003,102.0,1.0,1.0,1.0,0.0,0.0
middle_balanced_bowers,middle,bounded,buy,48,1.0,0,282.0833333333333,15.916666666666666,16.0,29.300000000000004,35.0,1.0,1.0,1.0,4.583333333333333,0.020833333333333332
middle_balanced_bowers,middle,bounded,pass,48,1.0,0,275.0625,22.9375,20.0,42.60000000000001,66.0,1.0,1.0,1.0,6.729166666666667,0.14583333333333334
