source,block,path,arm,complete,failure_reason,salary_spend,cap_legal,position_legal,top_n_legal,roster
actual,0,0,baseline,True,,297.0,True,True,True,Aaron Rodgers | Ashton Jeanty | Christian Watson | Chuba Hubbard | DK Metcalf | De'Von Achane | Drake Maye | Jadarian Price | Jonathan Taylor | Josh Jacobs | Quentin Johnston | Rome Odunze | Tyler Warren
actual,0,1,baseline,True,,298.0,True,True,True,Aaron Rodgers | Ashton Jeanty | Christian Watson | Chuba Hubbard | DK Metcalf | De'Von Achane | Drake Maye | Jadarian Price | Jonathan Taylor | Josh Jacobs | Rome Odunze | Tyler Warren | Xavier Worthy
actual,0,2,baseline,True,,297.0,True,True,True,Aaron Rodgers | Ashton Jeanty | Christian Watson | Chuba Hubbard | DK Metcalf | De'Von Achane | Drake Maye | Jadarian Price | Jonathan Taylor | Josh Jacobs | Quentin Johnston | Rome Odunze | Tyler Warren
actual,0,3,baseline,True,,297.0,True,True,True,Aaron Rodgers | Ashton Jeanty | Christian Watson | Chuba Hubbard | DK Metcalf | De'Von Achane | Drake Maye | Jadarian Price | Jonathan Taylor | Josh Jacobs | KC Concepcion | Rome Odunze | Tyler Warren
actual,0,4,baseline,True,,295.0,True,True,True,Ashton Jeanty | Christian Watson | Chuba Hubbard | DK Metcalf | Daniel Jones | De'Von Achane | Drake Maye | Jonathan Taylor | Josh Downs | Josh Jacobs | Rachaad White | Rome Odunze | Tyler Warren
actual,0,5,baseline,True,,297.0,True,True,True,Aaron Rodgers | Ashton Jeanty | Christian Watson | Chuba Hubbard | DK Metcalf | De'Von Achane | Drake Maye | Jadarian Price | Jonathan Taylor | Josh Jacobs | KC Concepcion | Rome Odunze | Tyler Warren
actual,0,6,baseline,True,,297.0,True,True,True,Aaron Rodgers | Ashton Jeanty | Christian Watson | Chuba Hubbard | DK Metcalf | De'Von Achane | Drake Maye | Jadarian Price | Jonathan Taylor | Josh Jacobs | Quentin Johnston | Rome Odunze | Tyler Warren
actual,0,7,baseline,True,,294.0,True,True,True,Aaron Rodgers | Ashton Jeanty | Christian Watson | DK Metcalf | De'Von Achane | Drake Maye | George Kittle | Jadarian Price | Jaylen Warren | Jonathan Taylor | Josh Jacobs | Quentin Johnston | Rome Odunze
actual,0,8,baseline,True,,297.0,True,True,True,Aaron Rodgers | Ashton Jeanty | Christian Watson | Chuba Hubbard | DK Metcalf | De'Von Achane | Drake Maye | Jadarian Price | Jonathan Taylor | Josh Jacobs | Quentin Johnston | Rome Odunze | Tyler Warren
actual,0,9,baseline,True,,297.0,True,True,True,Aaron Rodgers | Ashton Jeanty | Christian Watson | Chuba Hubbard | DK Metcalf | De'Von Achane | Drake Maye | Jadarian Price | Jonathan Taylor | Josh Jacobs | Quentin Johnston | Rome Odunze | Tyler Warren
actual,0,10,baseline,True,,297.0,True,True,True,Aaron Rodgers | Ashton Jeanty | Christian Watson | Chuba Hubbard | DK Metcalf | De'Von Achane | Drake Maye | Jadarian Price | Jonathan Taylor | Josh Jacobs | Quentin Johnston | Rome Odunze | Tyler Warren
