source,block,path,arm,complete,failure_reason,salary_spend,cap_legal,position_legal,top_n_legal,roster
predicted,2,0,baseline,True,,251.0,True,True,True,Bryce Young | Cam Skattebo | Christian Watson | De'Von Achane | Drake Maye | Emeka Egbuka | George Kittle | Jahmyr Gibbs | Jonathon Brooks | Josh Downs | Makai Lemon | Rico Dowdle | Tony Pollard
predicted,2,1,baseline,True,,271.0,True,True,True,Carnell Tate | Daniel Jones | De'Von Achane | Drake Maye | George Kittle | Jadarian Price | Jahmyr Gibbs | Jameson Williams | Kyren Williams | Quentin Johnston | Rico Dowdle | Rome Odunze | Tony Pollard
predicted,2,2,baseline,True,,276.0,True,True,True,Baker Mayfield | Christian Watson | DJ Moore | De'Von Achane | Drake Maye | George Kittle | Jadarian Price | Jahmyr Gibbs | Jameson Williams | Jaylen Warren | Kyle Monangai | Kyren Williams | Luther Burden III
predicted,2,3,baseline,True,,241.0,True,True,True,Bhayshul Tuten | Braelon Allen | Carnell Tate | De'Von Achane | Drake Maye | J.K. Dobbins | Jameson Williams | Jonathan Taylor | Jordan Love | Jordyn Tyson | Kyle Pitts | TreVeyon Henderson | Zay Flowers
predicted,2,4,baseline,True,,282.0,True,True,True,Baker Mayfield | Christian McCaffrey | Courtland Sutton | De'Von Achane | Drake Maye | Jameson Williams | Kyren Williams | Luther Burden III | Mike Evans | Rachaad White | Rhamondre Stevenson | TreVeyon Henderson | Tyler Warren
predicted,2,5,baseline,True,,293.0,True,True,True,Cam Skattebo | De'Von Achane | Derrick Henry | Drake Maye | George Pickens | Hunter Henry | Jadarian Price | Jayden Reed | Jordan Love | Malik Nabers | Rico Dowdle | Rome Odunze | Zay Flowers
predicted,2,6,baseline,True,,268.0,True,True,True,A.J. Brown | Alec Pierce | Christian Watson | David Montgomery | De'Von Achane | Drake Maye | J.K. Dobbins | Jahmyr Gibbs | Jaylen Warren | Jordan Addison | Malik Willis | Michael Wilson | Tyler Warren
predicted,2,7,baseline,True,,274.0,True,True,True,DK Metcalf | De'Von Achane | Drake Maye | Jahmyr Gibbs | Kyle Pitts | Kyren Williams | Luther Burden III | Makai Lemon | Mike Evans | Rhamondre Stevenson | Sam Darnold | TreVeyon Henderson | Tyler Warren
predicted,2,8,baseline,True,,282.0,True,True,True,Breece Hall | Carnell Tate | Christian Watson | Courtland Sutton | David Montgomery | De'Von Achane | Drake Maye | Jahmyr Gibbs | Jameson Williams | Malik Willis | Rhamondre Stevenson | TreVeyon Henderson | Tyler Warren
predicted,2,9,baseline,True,,261.0,True,True,True,DK Metcalf | Daniel Jones | David Montgomery | De'Von Achane | Drake Maye | George Kittle | J.K. Dobbins | Jahmyr Gibbs | Jameson Williams | Kyren Williams | Luther Burden III | Mike Evans | TreVeyon Henderson
