block,player,mean,p10,shaheed_mean,shaheed_p10,mean_delta_vs_shaheed,p10_delta_vs_shaheed
0,Rashid Shaheed,1629.6106033325195,1462.84775390625,1629.6106033325195,1462.84775390625,0.0,0.0
0,Jalen Coker,1628.9535274505615,1461.9321411132812,1629.6106033325195,1462.84775390625,-0.6570758819580078,-0.9156127929688864
0,Romeo Doubs,1631.955768585205,1454.3478515625,1629.6106033325195,1462.84775390625,2.345165252685547,-8.499902343750136
1,Rashid Shaheed,1646.3354740142822,1486.5165283203125,1646.3354740142822,1486.5165283203125,0.0,0.0
1,Jalen Coker,1641.2525730133057,1478.7180908203125,1646.3354740142822,1486.5165283203125,-5.0829010009765625,-7.798437500000091
1,Romeo Doubs,1643.5978565216064,1483.916552734375,1646.3354740142822,1486.5165283203125,-2.7376174926757812,-2.5999755859375
2,Rashid Shaheed,1633.4931049346924,1470.0333129882813,1633.4931049346924,1470.0333129882813,0.0,0.0
2,Jalen Coker,1634.944616317749,1479.5393920898437,1633.4931049346924,1470.0333129882813,1.4515113830566406,9.506079101562364
2,Romeo Doubs,1643.343225479126,1495.3789916992187,1633.4931049346924,1470.0333129882813,9.850120544433594,25.345678710937364
3,Rashid Shaheed,1645.2058715820312,1464.9808471679687,1645.2058715820312,1464.9808471679687,0.0,0.0
3,Jalen Coker,1642.69260597229,1458.8290649414062,1645.2058715820312,1464.9808471679687,-2.513265609741211,-6.1517822265625455
3,Romeo Doubs,1644.408977508545,1453.2990966796874,1645.2058715820312,1464.9808471679687,-0.7968940734863281,-11.681750488281295
