scenario,reference,block,mean_delta
tuten,tuten,0,0.0
tuten,tuten,1,0.0
tuten,tuten,2,0.0
tuten,tuten,3,0.0
tuten,tuten,4,0.0
tuten,tuten,5,0.0
tuten,tuten,6,0.0
tuten,tuten,7,0.0
burden,tuten,0,-33.42569613456726
burden,tuten,1,-10.985514640808105
burden,tuten,2,-8.690371553103128
burden,tuten,3,-3.4589572747548423
burden,tuten,4,-6.868658105532329
burden,tuten,5,5.654669006665547
burden,tuten,6,4.104776938756307
burden,tuten,7,-15.748940269152323
loveland,tuten,0,-5.881070017814636
loveland,tuten,1,-20.147043506304424
loveland,tuten,2,-6.072806477546692
loveland,tuten,3,-0.26441502571105957
loveland,tuten,4,-0.9666620095570883
loveland,tuten,5,12.89441180229187
loveland,tuten,6,-3.6919499238332114
loveland,tuten,7,-0.5473006169001261
