arm,player,pos,year_exp,blocks_selected,selection_rate
baseline,Aaron Jones,RB,8.0,3,0.375
baseline,Bhayshul Tuten,RB,0.0,1,0.125
baseline,Bijan Robinson,RB,2.0,1,0.125
baseline,Breece Hall,RB,3.0,1,0.125
baseline,Caleb Williams,QB,1.0,2,0.25
baseline,CeeDee Lamb,WR,5.0,5,0.625
baseline,Chris Olave,WR,3.0,1,0.125
baseline,DJ Moore,WR,7.0,1,0.125
baseline,Dalton Kincaid,TE,2.0,1,0.125
baseline,DeVonta Smith,WR,4.0,2,0.25
baseline,Deebo Samuel Sr.,WR,6.0,2,0.25
baseline,Garrett Wilson,WR,3.0,7,0.875
baseline,J.K. Dobbins,RB,5.0,1,0.125
baseline,Jalen Hurts,QB,5.0,3,0.375
baseline,James Conner,RB,8.0,3,0.375
baseline,Jameson Williams,WR,3.0,1,0.125
baseline,Jauan Jennings,WR,5.0,2,0.25
baseline,Javonte Williams,RB,4.0,1,0.125
baseline,Jayden Reed,WR,2.0,1,0.125
baseline,Joe Mixon,RB,8.0,3,0.375
baseline,Jordan Addison,WR,2.0,2,0.25
baseline,Josh Allen,QB,7.0,1,0.125
baseline,Josh Downs,WR,2.0,2,0.25
baseline,Josh Jacobs,RB,6.0,2,0.25
baseline,Justin Fields,QB,4.0,2,0.25
baseline,Justin Jefferson,WR,5.0,1,0.125
baseline,Kaleb Johnson,RB,0.0,5,0.625
baseline,Keon Coleman,WR,1.0,2,0.25
baseline,Malik Nabers,WR,1.0,1,0.125
baseline,Mark Andrews,TE,7.0,5,0.625
baseline,Marvin Harrison Jr.,WR,1.0,4,0.5
baseline,Michael Pittman,WR,5.0,1,0.125
baseline,Najee Harris,RB,4.0,1,0.125
baseline,Quinshon Judkins,RB,0.0,1,0.125
baseline,RJ Harvey,RB,0.0,1,0.125
baseline,Rashee Rice,WR,2.0,2,0.25
baseline,Rhamondre Stevenson,RB,4.0,3,0.375
baseline,Rome Odunze,WR,1.0,5,0.625
baseline,Sam LaPorta,TE,2.0,1,0.125
baseline,Tony Pollard,RB,6.0,1,0.125
baseline,Travis Etienne,RB,4.0,1,0.125
baseline,Trey Benson,RB,1.0,1,0.125
baseline,Tyjae Spears,RB,2.0,2,0.25
baseline,Tyler Warren,TE,0.0,1,0.125
baseline,Tyrone Tracy Jr.,RB,1.0,8,1.0
baseline,Xavier Worthy,WR,1.0,4,0.5
baseline,Zay Flowers,WR,2.0,2,0.25
championship_tiebreak,Aaron Jones,RB,8.0,4,0.5
championship_tiebreak,Bhayshul Tuten,RB,0.0,2,0.25
championship_tiebreak,Bijan Robinson,RB,2.0,1,0.125
championship_tiebreak,Breece Hall,RB,3.0,1,0.125
championship_tiebreak,Caleb Williams,QB,1.0,1,0.125
championship_tiebreak,Cam Skattebo,RB,0.0,1,0.125
championship_tiebreak,CeeDee Lamb,WR,5.0,5,0.625
championship_tiebreak,Chris Olave,WR,3.0,1,0.125
championship_tiebreak,DJ Moore,WR,7.0,1,0.125
championship_tiebreak,Dalton Kincaid,TE,2.0,1,0.125
championship_tiebreak,DeVonta Smith,WR,4.0,2,0.25
championship_tiebreak,Deebo Samuel Sr.,WR,6.0,2,0.25
championship_tiebreak,Dylan Sampson,RB,0.0,1,0.125
championship_tiebreak,Garrett Wilson,WR,3.0,6,0.75
championship_tiebreak,J.K. Dobbins,RB,5.0,1,0.125
championship_tiebreak,Jalen Hurts,QB,5.0,3,0.375
championship_tiebreak,James Conner,RB,8.0,4,0.5
championship_tiebreak,Jameson Williams,WR,3.0,1,0.125
championship_tiebreak,Jauan Jennings,WR,5.0,2,0.25
championship_tiebreak,Javonte Williams,RB,4.0,2,0.25
championship_tiebreak,Jayden Reed,WR,2.0,2,0.25
championship_tiebreak,Jaydon Blue,RB,0.0,1,0.125
championship_tiebreak,Jaylen Warren,RB,3.0,1,0.125
championship_tiebreak,Joe Mixon,RB,8.0,3,0.375
championship_tiebreak,Jordan Addison,WR,2.0,1,0.125
championship_tiebreak,Jordan Mason,RB,3.0,1,0.125
championship_tiebreak,Josh Allen,QB,7.0,1,0.125
championship_tiebreak,Josh Downs,WR,2.0,2,0.25
championship_tiebreak,Josh Jacobs,RB,6.0,2,0.25
championship_tiebreak,Justin Fields,QB,4.0,1,0.125
championship_tiebreak,Justin Jefferson,WR,5.0,1,0.125
championship_tiebreak,Kaleb Johnson,RB,0.0,5,0.625
championship_tiebreak,Keon Coleman,WR,1.0,2,0.25
championship_tiebreak,Lamar Jackson,QB,7.0,2,0.25
championship_tiebreak,Malik Nabers,WR,1.0,1,0.125
championship_tiebreak,Mark Andrews,TE,7.0,4,0.5
championship_tiebreak,Marvin Harrison Jr.,WR,1.0,2,0.25
championship_tiebreak,Michael Pittman,WR,5.0,2,0.25
championship_tiebreak,Quinshon Judkins,RB,0.0,1,0.125
championship_tiebreak,Rashee Rice,WR,2.0,2,0.25
championship_tiebreak,Rashid Shaheed,WR,3.0,1,0.125
championship_tiebreak,Rhamondre Stevenson,RB,4.0,2,0.25
championship_tiebreak,Ricky Pearsall,WR,1.0,1,0.125
championship_tiebreak,Rome Odunze,WR,1.0,5,0.625
championship_tiebreak,Sam LaPorta,TE,2.0,1,0.125
championship_tiebreak,Tony Pollard,RB,6.0,1,0.125
championship_tiebreak,Travis Etienne,RB,4.0,1,0.125
championship_tiebreak,Travis Kelce,TE,12.0,1,0.125
championship_tiebreak,Tyjae Spears,RB,2.0,1,0.125
championship_tiebreak,Tyler Warren,TE,0.0,1,0.125
championship_tiebreak,Tyrone Tracy Jr.,RB,1.0,5,0.625
championship_tiebreak,Xavier Worthy,WR,1.0,3,0.375
championship_tiebreak,Zay Flowers,WR,2.0,2,0.25
combined,Aaron Jones,RB,8.0,4,0.5
combined,Bhayshul Tuten,RB,0.0,2,0.25
combined,Bijan Robinson,RB,2.0,2,0.25
combined,Breece Hall,RB,3.0,2,0.25
combined,Caleb Williams,QB,1.0,1,0.125
combined,CeeDee Lamb,WR,5.0,5,0.625
combined,Colston Loveland,TE,0.0,1,0.125
combined,Dalton Kincaid,TE,2.0,3,0.375
combined,Dont'e Thornton Jr.,WR,0.0,1,0.125
combined,Dylan Sampson,RB,0.0,2,0.25
combined,Garrett Wilson,WR,3.0,8,1.0
combined,J.K. Dobbins,RB,5.0,1,0.125
combined,Jalen Hurts,QB,5.0,4,0.5
combined,James Conner,RB,8.0,3,0.375
combined,Jauan Jennings,WR,5.0,3,0.375
combined,Javonte Williams,RB,4.0,2,0.25
combined,Jayden Reed,WR,2.0,1,0.125
combined,Joe Mixon,RB,8.0,2,0.25
combined,Josh Allen,QB,7.0,1,0.125
combined,Josh Downs,WR,2.0,5,0.625
combined,Josh Jacobs,RB,6.0,4,0.5
combined,Justin Fields,QB,4.0,1,0.125
combined,Justin Jefferson,WR,5.0,1,0.125
combined,Kaleb Johnson,RB,0.0,3,0.375
combined,Keon Coleman,WR,1.0,2,0.25
combined,Lamar Jackson,QB,7.0,1,0.125
combined,Mark Andrews,TE,7.0,5,0.625
combined,Marvin Harrison Jr.,WR,1.0,3,0.375
combined,Najee Harris,RB,4.0,1,0.125
combined,Omarion Hampton,RB,0.0,1,0.125
combined,Puka Nacua,WR,2.0,1,0.125
combined,Rachaad White,RB,3.0,2,0.25
combined,Rashid Shaheed,WR,3.0,1,0.125
combined,Ray Davis,RB,1.0,1,0.125
combined,Rhamondre Stevenson,RB,4.0,3,0.375
combined,Rome Odunze,WR,1.0,5,0.625
combined,Sam LaPorta,TE,2.0,2,0.25
combined,Travis Etienne,RB,4.0,1,0.125
combined,Travis Kelce,TE,12.0,2,0.25
combined,Trey Benson,RB,1.0,3,0.375
