year,block,arm,player,pos,year_exp,forecast_cost
2022,0,mean_frontier,Cordarrelle Patterson,RB,1.0,13.0
2022,0,mean_frontier,DK Metcalf,WR,3.0,22.0
2022,0,mean_frontier,Darrell Henderson,RB,3.0,2.0
2022,0,mean_frontier,Diontae Johnson,WR,3.0,36.0
2022,0,mean_frontier,Drake London,WR,0.0,13.0
2022,0,mean_frontier,Gabe Davis,WR,2.0,22.0
2022,0,mean_frontier,George Kittle,TE,5.0,18.0
2022,0,mean_frontier,Jalen Tolbert,WR,0.0,2.0
2022,0,mean_frontier,Jamaal Williams,RB,5.0,2.0
2022,0,mean_frontier,Kyler Murray,QB,3.0,13.0
2022,0,mean_frontier,Najee Harris,RB,1.0,93.0
2022,0,mean_frontier,Travis Kelce,TE,9.0,56.0
2022,0,mean_frontier,Treylon Burks,WR,0.0,6.0
2022,0,excess_pure,Alvin Kamara,RB,5.0,86.0
2022,0,excess_pure,Brandon Aiyuk,WR,2.0,6.0
2022,0,excess_pure,Cordarrelle Patterson,RB,1.0,13.0
2022,0,excess_pure,DK Metcalf,WR,3.0,22.0
2022,0,excess_pure,Darrell Henderson,RB,3.0,2.0
2022,0,excess_pure,George Kittle,TE,5.0,18.0
2022,0,excess_pure,Jalen Tolbert,WR,0.0,2.0
2022,0,excess_pure,Jamaal Williams,RB,5.0,2.0
2022,0,excess_pure,Jerry Jeudy,WR,2.0,30.0
2022,0,excess_pure,Kyler Murray,QB,3.0,13.0
2022,0,excess_pure,Najee Harris,RB,1.0,93.0
2022,0,excess_pure,Skyy Moore,WR,0.0,5.0
2022,0,excess_pure,Treylon Burks,WR,0.0,6.0
2022,0,excess_half_mean,Alvin Kamara,RB,5.0,86.0
2022,0,excess_half_mean,Brandon Aiyuk,WR,2.0,6.0
2022,0,excess_half_mean,Cordarrelle Patterson,RB,1.0,13.0
2022,0,excess_half_mean,DK Metcalf,WR,3.0,22.0
2022,0,excess_half_mean,Darrell Henderson,RB,3.0,2.0
2022,0,excess_half_mean,George Kittle,TE,5.0,18.0
2022,0,excess_half_mean,Jalen Tolbert,WR,0.0,2.0
2022,0,excess_half_mean,Jamaal Williams,RB,5.0,2.0
2022,0,excess_half_mean,Jerry Jeudy,WR,2.0,30.0
2022,0,excess_half_mean,Kyler Murray,QB,3.0,13.0
2022,0,excess_half_mean,Najee Harris,RB,1.0,93.0
2022,0,excess_half_mean,Skyy Moore,WR,0.0,5.0
2022,0,excess_half_mean,Treylon Burks,WR,0.0,6.0
2022,1,mean_frontier,A.J. Brown,WR,3.0,46.0
2022,1,mean_frontier,Cordarrelle Patterson,RB,1.0,13.0
2022,1,mean_frontier,DK Metcalf,WR,3.0,22.0
2022,1,mean_frontier,Darrell Henderson,RB,3.0,2.0
2022,1,mean_frontier,DeVonta Smith,WR,1.0,12.0
2022,1,mean_frontier,Derrick Henry,RB,6.0,88.0
2022,1,mean_frontier,Drake London,WR,0.0,13.0
2022,1,mean_frontier,George Kittle,TE,5.0,18.0
2022,1,mean_frontier,James Robinson,RB,2.0,7.0
2022,1,mean_frontier,Kyler Murray,QB,3.0,13.0
2022,1,mean_frontier,Michael Carter,RB,1.0,8.0
2022,1,mean_frontier,Tee Higgins,WR,2.0,50.0
2022,1,mean_frontier,Treylon Burks,WR,0.0,6.0
2022,1,excess_pure,Chase Claypool,WR,2.0,3.0
2022,1,excess_pure,Christian McCaffrey,RB,5.0,112.0
2022,1,excess_pure,Cordarrelle Patterson,RB,1.0,13.0
2022,1,excess_pure,DJ Moore,WR,4.0,49.0
2022,1,excess_pure,Darrell Henderson,RB,3.0,2.0
2022,1,excess_pure,David Bell,WR,0.0,2.0
2022,1,excess_pure,DeVonta Smith,WR,1.0,12.0
2022,1,excess_pure,George Kittle,TE,5.0,18.0
2022,1,excess_pure,George Pickens,WR,0.0,4.0
2022,1,excess_pure,Irv Smith,TE,3.0,4.0
2022,1,excess_pure,James Cook,RB,0.0,15.0
2022,1,excess_pure,Josh Allen,QB,4.0,42.0
2022,1,excess_pure,Rashod Bateman,WR,1.0,22.0
2022,1,excess_half_mean,A.J. Brown,WR,3.0,46.0
2022,1,excess_half_mean,Cordarrelle Patterson,RB,1.0,13.0
2022,1,excess_half_mean,DK Metcalf,WR,3.0,22.0
2022,1,excess_half_mean,Darrell Henderson,RB,3.0,2.0
2022,1,excess_half_mean,DeVonta Smith,WR,1.0,12.0
2022,1,excess_half_mean,Derrick Henry,RB,6.0,88.0
2022,1,excess_half_mean,Drake London,WR,0.0,13.0
2022,1,excess_half_mean,George Kittle,TE,5.0,18.0
2022,1,excess_half_mean,James Robinson,RB,2.0,7.0
2022,1,excess_half_mean,Kyler Murray,QB,3.0,13.0
2022,1,excess_half_mean,Michael Carter,RB,1.0,8.0
2022,1,excess_half_mean,Tee Higgins,WR,2.0,50.0
2022,1,excess_half_mean,Treylon Burks,WR,0.0,6.0
2022,2,mean_frontier,Brandon Aiyuk,WR,2.0,6.0
2022,2,mean_frontier,Chase Claypool,WR,2.0,3.0
2022,2,mean_frontier,Cordarrelle Patterson,RB,1.0,13.0
2022,2,mean_frontier,DK Metcalf,WR,3.0,22.0
2022,2,mean_frontier,Darnell Mooney,WR,2.0,19.0
2022,2,mean_frontier,Darrell Henderson,RB,3.0,2.0
2022,2,mean_frontier,Derrick Henry,RB,6.0,88.0
2022,2,mean_frontier,Drake London,WR,0.0,13.0
2022,2,mean_frontier,George Kittle,TE,5.0,18.0
2022,2,mean_frontier,Jamaal Williams,RB,5.0,2.0
2022,2,mean_frontier,Kyler Murray,QB,3.0,13.0
2022,2,mean_frontier,Najee Harris,RB,1.0,93.0
2022,2,mean_frontier,Treylon Burks,WR,0.0,6.0
2022,2,excess_pure,Amari Cooper,WR,7.0,11.0
2022,2,excess_pure,Brandon Aiyuk,WR,2.0,6.0
2022,2,excess_pure,Cordarrelle Patterson,RB,1.0,13.0
2022,2,excess_pure,DK Metcalf,WR,3.0,22.0
2022,2,excess_pure,Dawson Knox,TE,3.0,3.0
2022,2,excess_pure,Derrick Henry,RB,6.0,88.0
2022,2,excess_pure,Gabe Davis,WR,2.0,22.0
2022,2,excess_pure,George Kittle,TE,5.0,18.0
2022,2,excess_pure,Kadarius Toney,WR,1.0,6.0
2022,2,excess_pure,Najee Harris,RB,1.0,93.0
2022,2,excess_pure,Tom Brady,QB,22.0,8.0
2022,2,excess_pure,Treylon Burks,WR,0.0,6.0
2022,2,excess_pure,Tyrion Davis-Price,RB,0.0,2.0
2022,2,excess_half_mean,Amari Cooper,WR,7.0,11.0
2022,2,excess_half_mean,Brandon Aiyuk,WR,2.0,6.0
2022,2,excess_half_mean,Cordarrelle Patterson,RB,1.0,13.0
2022,2,excess_half_mean,DK Metcalf,WR,3.0,22.0
2022,2,excess_half_mean,Dawson Knox,TE,3.0,3.0
2022,2,excess_half_mean,Derrick Henry,RB,6.0,88.0
2022,2,excess_half_mean,Gabe Davis,WR,2.0,22.0
2022,2,excess_half_mean,George Kittle,TE,5.0,18.0
2022,2,excess_half_mean,Kadarius Toney,WR,1.0,6.0
2022,2,excess_half_mean,Najee Harris,RB,1.0,93.0
2022,2,excess_half_mean,Tom Brady,QB,22.0,8.0
2022,2,excess_half_mean,Treylon Burks,WR,0.0,6.0
2022,2,excess_half_mean,Tyrion Davis-Price,RB,0.0,2.0
2022,3,mean_frontier,Brandon Aiyuk,WR,2.0,6.0
2022,3,mean_frontier,Cordarrelle Patterson,RB,1.0,13.0
2022,3,mean_frontier,DK Metcalf,WR,3.0,22.0
2022,3,mean_frontier,Darrell Henderson,RB,3.0,2.0
2022,3,mean_frontier,Derrick Henry,RB,6.0,88.0
2022,3,mean_frontier,Diontae Johnson,WR,3.0,36.0
2022,3,mean_frontier,Drake London,WR,0.0,13.0
2022,3,mean_frontier,George Kittle,TE,5.0,18.0
2022,3,mean_frontier,Jalen Tolbert,WR,0.0,2.0
2022,3,mean_frontier,James Robinson,RB,2.0,7.0
2022,3,mean_frontier,Jaylen Waddle,WR,1.0,39.0
2022,3,mean_frontier,Kyle Pitts,TE,1.0,39.0
2022,3,mean_frontier,Kyler Murray,QB,3.0,13.0
2022,3,excess_pure,A.J. Brown,WR,3.0,46.0
2022,3,excess_pure,Chase Claypool,WR,2.0,3.0
2022,3,excess_pure,Cordarrelle Patterson,RB,1.0,13.0
2022,3,excess_pure,Dallas Goedert,TE,4.0,6.0
2022,3,excess_pure,Dalvin Cook,RB,5.0,97.0
2022,3,excess_pure,Jahan Dotson,WR,0.0,3.0
2022,3,excess_pure,Kyler Murray,QB,3.0,13.0
2022,3,excess_pure,Michael Gallup,WR,4.0,4.0
2022,3,excess_pure,Najee Harris,RB,1.0,93.0
2022,3,excess_pure,Nyheim Hines,RB,4.0,2.0
2022,3,excess_pure,Russell Gage,WR,4.0,2.0
2022,3,excess_pure,T.J. Hockenson,TE,3.0,6.0
