arm,control,blocks,holdout_mean_delta,holdout_mean_delta_lcb80,holdout_p10_delta,holdout_p10_delta_lcb80,holdout_p90_delta,holdout_p90_delta_lcb80,holdout_expected_difference_makers_delta,holdout_expected_difference_makers_delta_lcb80,holdout_prob_two_difference_makers_delta,holdout_prob_two_difference_makers_delta_lcb80,holdout_win_probability_delta,holdout_win_probability_delta_lcb80,holdout_expected_excess_delta,holdout_expected_excess_delta_lcb80,holdout_log_excess_delta,holdout_log_excess_delta_lcb80,holdout_power_utility_delta,holdout_power_utility_delta_lcb80,holdout_dominant_win_probability_delta,holdout_dominant_win_probability_delta_lcb80,actual_managed_score_delta,actual_managed_score_delta_lcb80,actual_difference_maker_count_delta,actual_difference_maker_count_delta_lcb80,actual_win_probability_delta,actual_win_probability_delta_lcb80,actual_expected_excess_delta,actual_expected_excess_delta_lcb80,actual_log_excess_delta,actual_log_excess_delta_lcb80,actual_power_utility_delta,actual_power_utility_delta_lcb80,actual_dominant_win_probability_delta,actual_dominant_win_probability_delta_lcb80,dead_zone_rb_count_delta,dead_zone_rb_count_delta_lcb80,rb_mean_year_exp_delta,rb_mean_year_exp_delta_lcb80,rookie_rb_count_delta,rookie_rb_count_delta_lcb80,count_qb_delta,count_qb_delta_lcb80,count_rb_delta,count_rb_delta_lcb80,count_wr_delta,count_wr_delta_lcb80,count_te_delta,count_te_delta_lcb80,spend_qb_delta,spend_qb_delta_lcb80,spend_rb_delta,spend_rb_delta_lcb80,spend_wr_delta,spend_wr_delta_lcb80,spend_te_delta,spend_te_delta_lcb80
waiver_control,mean_frontier,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean_frontier,mean_frontier,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
win_g005,mean_frontier,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
excess_g005,mean_frontier,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
power_g005,mean_frontier,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
win_g010,mean_frontier,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
excess_g010,mean_frontier,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
power_g010,mean_frontier,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
win_direct_g010,mean_frontier,8,-3.0845754146575928,-8.53974463219731,-3.0308303833007812,-8.646966827517858,-2.24932861328125,-9.554367468740534,0.0419921875,0.02028462453465508,0.0205078125,0.011793059681951434,-0.0009140636021447712,-0.012108973387127004,-0.12089866708864716,-1.2090809440466113,-0.0011388739078383673,-0.016652763436434,-0.001198782079104354,-0.01627181199835672,0.00016066908496090767,-0.007553780313735905,1.8524932861328125,-22.168384927008574,0.0,-0.15905146301038114,6.376462424550425e-05,-4.87242852671691e-05,0.0007854560450653896,-0.0005646634504496687,2.331401148231763e-05,-1.6497307251526933e-05,6.959312711608367e-05,-5.2848166015587893e-05,3.7397096072076013e-07,-3.7474146438764537e-07,0.0,0.0,-0.08333333333333331,-0.3113687365023829,-0.125,-0.31569600503354817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.25,1.2962340529613963,-7.875,-16.24515407708074,-1.625,-2.9926345045559857
excess_direct_g010,mean_frontier,8,-4.225846529006958,-10.44140778084331,-5.3994598388671875,-12.92927845424166,-1.4760360717773438,-8.432107668231101,0.0322265625,0.010430270111190746,0.01318359375,0.0056013152395309376,-0.003396416379686136,-0.016037440804510028,-0.23714974678800615,-1.3903152186437866,-0.0035836208319398634,-0.02047457241149173,-0.004292321587671094,-0.021152600064251355,-0.00098310594614494,-0.009310352774680045,12.677490234375,-4.330105794619609,0.0,-0.15905146301038114,6.37723431798482e-05,-4.871203403366688e-05,0.0007855251172647374,-0.0005645540417567472,2.331613786954868e-05,-1.6493939164723756e-05,6.960137764723538e-05,-5.283507319030994e-05,3.7398447750526215e-07,-3.7472001404120795e-07,-0.125,-0.2302026541966143,0.10416666666666669,0.0017135021917493026,-0.125,-0.31569600503354817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.5,-8.287295551078113,9.625,1.3574787909686172,-3.75,-8.856394221780103,-1.625,-2.9926345045559857
