arm,holdout_mean,holdout_p10,holdout_p90,holdout_expected_difference_makers,holdout_prob_two_difference_makers,holdout_win_probability,holdout_expected_excess,holdout_log_excess,holdout_power_utility,holdout_dominant_win_probability,actual_managed_score,actual_difference_maker_count,actual_win_probability,actual_expected_excess,actual_log_excess,actual_power_utility,actual_dominant_win_probability,dead_zone_rb_count,rb_mean_year_exp,rookie_rb_count,count_qb,count_rb,count_wr,count_te,spend_qb,spend_rb,spend_wr,spend_te
excess_direct_g010,1666.6144755482674,1495.5908508300781,1847.8333358764648,0.95703125,0.24658203125,0.1623512222099363,10.65234877719228,0.17660198505502336,0.20650171847369214,0.08140959906149736,1476.8399963378906,0.5,0.003908276953955208,0.07764375074041051,0.0020559866482127566,0.004422273616008396,0.0001929366025610539,1.375,4.5625,0.875,1.0,6.0,4.0,2.0,34.0,146.875,101.625,15.25
excess_g005,1670.8403220772743,1500.9903106689453,1849.3093719482422,0.9248046875,0.2333984375,0.16574763858962246,10.889498523980286,0.18018560588696322,0.21079404006136326,0.08239270500764231,1464.1625061035156,0.5,0.003844504610775359,0.07685822562314577,0.002032670510343208,0.004352672238361162,0.00019256261808354866,1.5,4.458333333333333,1.0,1.0,6.0,4.0,2.0,38.5,137.25,105.375,16.875
excess_g010,1670.8403220772743,1500.9903106689453,1849.3093719482422,0.9248046875,0.2333984375,0.16574763858962246,10.889498523980286,0.18018560588696322,0.21079404006136326,0.08239270500764231,1464.1625061035156,0.5,0.003844504610775359,0.07685822562314577,0.002032670510343208,0.004352672238361162,0.00019256261808354866,1.5,4.458333333333333,1.0,1.0,6.0,4.0,2.0,38.5,137.25,105.375,16.875
excess_half_mean,1654.5369755625725,1483.1927490234375,1833.7381744384766,0.91552734375,0.2353515625,0.14510077720419917,9.430458193288775,0.15714408189404344,0.18438679767771005,0.07178041410033967,1525.0874938964844,0.625,0.046539929021055124,1.4944368825774272,0.03442127730512829,0.0551452483473372,0.010233883689869792,1.375,4.4375,0.875,1.0,6.0,4.0,2.0,38.375,156.625,90.5,12.25
excess_pure,1640.6692833900452,1467.6412963867188,1816.594108581543,0.87744140625,0.22509765625,0.13138032903955776,8.74346115694004,0.1437883344319926,0.1673274126475559,0.06602562222237653,1554.4250030517578,0.75,0.15490844219853564,13.339208140030832,0.20599062183051542,0.2064060976561645,0.10004441909021751,1.25,4.291666666666667,0.75,1.0,6.0,4.0,2.0,36.5,165.25,85.0,10.875
mean_frontier,1670.8403220772743,1500.9903106689453,1849.3093719482422,0.9248046875,0.2333984375,0.16574763858962246,10.889498523980286,0.18018560588696322,0.21079404006136326,0.08239270500764231,1464.1625061035156,0.5,0.003844504610775359,0.07685822562314577,0.002032670510343208,0.004352672238361162,0.00019256261808354866,1.5,4.458333333333333,1.0,1.0,6.0,4.0,2.0,38.5,137.25,105.375,16.875
power_direct_g010,1667.7557466626167,1497.9594802856445,1847.060043334961,0.966796875,0.25390625,0.1648335749874777,10.76859985689164,0.17904673197912485,0.20959525798225892,0.08255337409260322,1466.0149993896484,0.5,0.003908269235020864,0.07764368166821116,0.0020559845218255258,0.004422265365477245,0.0001929365890442694,1.5,4.375,0.875,1.0,6.0,4.0,2.0,38.5,146.5,97.5,15.25
power_g005,1670.8403220772743,1500.9903106689453,1849.3093719482422,0.9248046875,0.2333984375,0.16574763858962246,10.889498523980286,0.18018560588696322,0.21079404006136326,0.08239270500764231,1464.1625061035156,0.5,0.003844504610775359,0.07685822562314577,0.002032670510343208,0.004352672238361162,0.00019256261808354866,1.5,4.458333333333333,1.0,1.0,6.0,4.0,2.0,38.5,137.25,105.375,16.875
power_g010,1670.8403220772743,1500.9903106689453,1849.3093719482422,0.9248046875,0.2333984375,0.16574763858962246,10.889498523980286,0.18018560588696322,0.21079404006136326,0.08239270500764231,1464.1625061035156,0.5,0.003844504610775359,0.07685822562314577,0.002032670510343208,0.004352672238361162,0.00019256261808354866,1.5,4.458333333333333,1.0,1.0,6.0,4.0,2.0,38.5,137.25,105.375,16.875
power_half_mean,1663.174812078476,1490.1803359985352,1846.5837860107422,0.94921875,0.24658203125,0.1548753708967909,10.221322256682138,0.1683414658790137,0.19696073736654432,0.07693576515797673,1446.1925048828125,0.5,0.0037720228566975916,0.0759920642067459,0.0020071682096007753,0.004273814909097786,0.00019206875074329627,1.625,4.25,1.125,1.0,6.0,4.0,2.0,38.5,150.75,93.5,15.25
