candidate_method,baseline_method,period,metric,n,season_clusters,candidate_minus_baseline,bootstrap_p025,bootstrap_p975,probability_candidate_better
bull_add_w050,incumbent,full_2017_2025,ppg_crps,1620,9,-0.001690624382696908,-0.0034139798830423412,-4.6923906832937624e-05,0.9785
bull_add_w050,incumbent,full_2017_2025,contribution_crps,1620,9,-0.0199459227530001,-0.04474609925509934,0.006423624473033661,0.931
bull_add_w050,incumbent,full_2017_2025,played_crps,1620,9,0.0007886230125778918,-0.0029659498451557044,0.004413588326074297,0.3535
bull_add_w050,incumbent,full_2017_2025,plus3_brier_row,1620,9,-0.00046315955054889335,-0.001020079602480663,1.8720901467670195e-05,0.9655
bull_add_w050,incumbent,full_2017_2025,plus5_brier_row,1620,9,0.00010637080627342509,-8.663685044571417e-05,0.00025978406620273637,0.1185
bull_add_w050,incumbent,full_2017_2025,impact_brier_row,1620,9,-0.00014500792235570023,-0.0010467239138880775,0.0005962694161238323,0.61
bull_add_w050,incumbent,full_2017_2025,zero_brier_row,1620,9,0.00010137200621594644,-8.98613921091832e-05,0.00029580543582339094,0.158
bull_add_w050,incumbent,full_2017_2025,extended_absence_brier_row,1620,9,0.00024037631517224357,-3.0451297998360165e-06,0.0004509483537823861,0.0265
bull_add_w050,incumbent,recent_2020_2025,ppg_crps,1080,6,-0.001076581032000145,-0.003053695882206866,0.0010078499983342587,0.8355
bull_add_w050,incumbent,recent_2020_2025,contribution_crps,1080,6,-0.028953918672018377,-0.05433021267004635,0.005975479128834253,0.9535
bull_add_w050,incumbent,recent_2020_2025,played_crps,1080,6,-0.0011563667855435278,-0.005423160467419394,0.0026027431921638628,0.687
bull_add_w050,incumbent,recent_2020_2025,plus3_brier_row,1080,6,-0.000709707194598154,-0.0014056777385989434,-5.425112023796917e-05,0.978
bull_add_w050,incumbent,recent_2020_2025,plus5_brier_row,1080,6,0.00013462242825234527,-0.0001381648715740486,0.0003020498246882375,0.148
bull_add_w050,incumbent,recent_2020_2025,impact_brier_row,1080,6,-8.346867805475413e-05,-0.0014310543804160636,0.0009752427450033014,0.531
bull_add_w050,incumbent,recent_2020_2025,zero_brier_row,1080,6,0.00013454177094075499,-0.00013007442047108096,0.0004059508887049297,0.145
bull_add_w050,incumbent,recent_2020_2025,extended_absence_brier_row,1080,6,0.00023963372701018296,-9.963474807228816e-05,0.0005634021511336427,0.0775
bull_add_w050,incumbent,temporal_2023_2025,ppg_crps,540,3,0.0013852940788814355,-4.526734033277006e-05,0.0021191620287089787,0.045
bull_add_w050,incumbent,temporal_2023_2025,contribution_crps,540,3,-0.0019663455228153643,-0.035606491640453326,0.04835498110399457,0.639
bull_add_w050,incumbent,temporal_2023_2025,played_crps,540,3,0.0014176138917190032,-0.0014312116034215776,0.005898284140939171,0.2865
bull_add_w050,incumbent,temporal_2023_2025,plus3_brier_row,540,3,-0.0008649480448712436,-0.0013980435580901766,-0.0005962085199837029,1.0
bull_add_w050,incumbent,temporal_2023_2025,plus5_brier_row,540,3,0.00023815765691721327,0.00015889260065927974,0.00031117576425333105,0.0
bull_add_w050,incumbent,temporal_2023_2025,impact_brier_row,540,3,0.0008157164818541572,-0.00025385034209040816,0.0017660728532593434,0.045
bull_add_w050,incumbent,temporal_2023_2025,zero_brier_row,540,3,0.0003253094919621734,-2.9308843471506525e-05,0.0006959553707810474,0.045
bull_add_w050,incumbent,temporal_2023_2025,extended_absence_brier_row,540,3,0.0005551368142995894,0.0002521979199875601,0.0008678695792046294,0.0
asymmetric_add_w025,incumbent,full_2017_2025,ppg_crps,1620,9,-0.0019192799778310528,-0.003483740854492006,-0.0003680536398144124,0.994
asymmetric_add_w025,incumbent,full_2017_2025,contribution_crps,1620,9,-0.022791322680904464,-0.04246069490610759,-0.004303104990332968,0.9925
asymmetric_add_w025,incumbent,full_2017_2025,played_crps,1620,9,-0.0011612748754289842,-0.0035665119003874066,0.0019361731439854787,0.7955
asymmetric_add_w025,incumbent,full_2017_2025,plus3_brier_row,1620,9,-0.00035150225934377644,-0.0007753078923135181,7.492696025520788e-05,0.941
asymmetric_add_w025,incumbent,full_2017_2025,plus5_brier_row,1620,9,-8.702497794590253e-05,-0.00028774052749348046,9.087455463948364e-05,0.818
asymmetric_add_w025,incumbent,full_2017_2025,impact_brier_row,1620,9,6.378074767258223e-05,-0.0005010847537340132,0.0006105961637245575,0.4235
asymmetric_add_w025,incumbent,full_2017_2025,zero_brier_row,1620,9,5.525979077715709e-05,-0.00017855453303171342,0.00026470901268400577,0.3195
asymmetric_add_w025,incumbent,full_2017_2025,extended_absence_brier_row,1620,9,1.1411814260074928e-06,-0.00020770324294641442,0.00016785913680326055,0.4755
asymmetric_add_w025,incumbent,recent_2020_2025,ppg_crps,1080,6,-0.0006832632989615738,-0.0018709008509898053,0.0004470298093220397,0.857
asymmetric_add_w025,incumbent,recent_2020_2025,contribution_crps,1080,6,-0.027131550410020685,-0.04860130356894699,-0.004852842370980088,0.993
asymmetric_add_w025,incumbent,recent_2020_2025,played_crps,1080,6,-0.0030002466639587593,-0.0047502481340752165,-0.001159342801604935,0.999
asymmetric_add_w025,incumbent,recent_2020_2025,plus3_brier_row,1080,6,-0.0004904227774609874,-0.0010743215811823213,0.00018635440920450956,0.9235
asymmetric_add_w025,incumbent,recent_2020_2025,plus5_brier_row,1080,6,-9.083337877665798e-05,-0.00034220571484139413,0.00011425967773286045,0.7775
asymmetric_add_w025,incumbent,recent_2020_2025,impact_brier_row,1080,6,0.0003000816292092065,-0.0005220446242761701,0.0009922043670137627,0.2155
asymmetric_add_w025,incumbent,recent_2020_2025,zero_brier_row,1080,6,0.00017642266242723565,-9.49770138355864e-05,0.00041065775089045163,0.0825
