candidate_method,baseline_method,period,metric,n,season_clusters,candidate_minus_baseline,bootstrap_p025,bootstrap_p975,probability_candidate_better
bull_add_w050,incumbent,full_2017_2025,ppg_crps,1620,9,-0.002756763289178047,-0.005640043542935221,0.0001964623877540855,0.9675
bull_add_w050,incumbent,full_2017_2025,contribution_crps,1620,9,0.05119296970181339,0.014180390904099408,0.08713414886341057,0.002
bull_add_w050,incumbent,full_2017_2025,played_crps,1620,9,0.002143408538462345,-0.0037624236709740146,0.0077249232661097894,0.238
bull_add_w050,incumbent,full_2017_2025,plus3_brier_row,1620,9,0.00026032265883865286,-0.0006535052233077707,0.0010463596203041565,0.2715
bull_add_w050,incumbent,full_2017_2025,plus5_brier_row,1620,9,0.0004644405913919079,4.518849790333179e-05,0.0007957935831281164,0.019
bull_add_w050,incumbent,full_2017_2025,impact_brier_row,1620,9,0.001549740924195211,0.000865598184535654,0.0023412565882216674,0.0
bull_add_w050,incumbent,full_2017_2025,zero_brier_row,1620,9,0.00019434301458297527,-9.030600098793728e-05,0.0004505238030910787,0.0935
bull_add_w050,incumbent,full_2017_2025,extended_absence_brier_row,1620,9,0.00028398157396163895,-5.2795192635403416e-05,0.0006139458179006015,0.052
bull_add_w050,incumbent,recent_2020_2025,ppg_crps,1080,6,-0.002178842753765297,-0.005283839510818044,0.0011711237319428555,0.891
bull_add_w050,incumbent,recent_2020_2025,contribution_crps,1080,6,0.041173131672128216,-0.007931510271011176,0.09437431676000707,0.0555
bull_add_w050,incumbent,recent_2020_2025,played_crps,1080,6,-0.0012871724731633245,-0.0074368359609288705,0.004282565578121715,0.66
bull_add_w050,incumbent,recent_2020_2025,plus3_brier_row,1080,6,0.0004944151855547762,-0.0002948380898694653,0.0012961001292974782,0.115
bull_add_w050,incumbent,recent_2020_2025,plus5_brier_row,1080,6,0.00031162358658381274,-0.0002745128939681766,0.0007744119268548444,0.1325
bull_add_w050,incumbent,recent_2020_2025,impact_brier_row,1080,6,0.0014777352055817742,0.0006113981963609566,0.002549631707349212,0.0
bull_add_w050,incumbent,recent_2020_2025,zero_brier_row,1080,6,0.00025481415262588173,-9.437204067882146e-05,0.0005696672818226603,0.0645
bull_add_w050,incumbent,recent_2020_2025,extended_absence_brier_row,1080,6,0.00020376298240216766,-0.00014186779211453973,0.0006079244575682016,0.1395
bull_add_w050,incumbent,temporal_2023_2025,ppg_crps,540,3,0.00027905990633784225,-0.006087490750286439,0.0041991954559814325,0.3715
bull_add_w050,incumbent,temporal_2023_2025,contribution_crps,540,3,0.07092431701358215,-0.021949105511305907,0.14713642651963726,0.045
bull_add_w050,incumbent,temporal_2023_2025,played_crps,540,3,0.002929976037836322,-0.005045089678493256,0.010764570228783127,0.1495
bull_add_w050,incumbent,temporal_2023_2025,plus3_brier_row,540,3,0.001242981368788399,0.00013940711798903258,0.0019164886853483992,0.0
bull_add_w050,incumbent,temporal_2023_2025,plus5_brier_row,540,3,7.246341985366005e-05,-0.0010312618820018278,0.0010822406931474589,0.3715
bull_add_w050,incumbent,temporal_2023_2025,impact_brier_row,540,3,0.0016237909550633096,-1.523135445664913e-05,0.0039154199174133535,0.045
bull_add_w050,incumbent,temporal_2023_2025,zero_brier_row,540,3,0.0006039205871061499,0.0003951166017356691,0.0008045977773536885,0.0
